"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
1.052,-15.4086866117594,-0.475615356508769,-0.475615356508732,-15.4034927947986
1.053,-15.4015912814416,-0.476141885827726,-0.476141885827691,-15.3964145639722
1.054,-15.3945168299043,-0.476667920958405,-0.476667920958367,-15.389357213363
1.055,-15.3874632471619,-0.477193459962694,-0.47719345996266,-15.3823207330452
1.056,-15.3804305232093,-0.477718500909967,-0.47771850090993,-15.3753051130721
1.057,-15.3734186480219,-0.478243041877104,-0.478243041877064,-15.3683103434766
1.058,-15.3664276115553,-0.478767080948491,-0.478767080948457,-15.3613364142708
1.059,-15.3594574037455,-0.479290616216082,-0.479290616216046,-15.3543833154458
1.06,-15.3525080145084,-0.479813645779376,-0.479813645779342,-15.3474510369717
1.061,-15.3455794337401,-0.480336167745469,-0.480336167745434,-15.3405395687977
1.062,-15.3386716513167,-0.480858180229044,-0.480858180229008,-15.3336489008516
1.063,-15.3317846570937,-0.481379681352424,-0.481379681352389,-15.3267790230399
1.064,-15.3249184409067,-0.481900669245565,-0.481900669245527,-15.3199299252476
1.065,-15.3180729925705,-0.482421142046085,-0.482421142046051,-15.3131015973381
1.066,-15.3112483018798,-0.482941097899293,-0.482941097899259,-15.3062940291535
1.067,-15.3044443586082,-0.483460534958188,-0.483460534958155,-15.2995072105137
1.068,-15.297661152509,-0.4839794513835,-0.483979451383464,-15.2927411312169
1.069,-15.2908986733142,-0.484497845343685,-0.484497845343652,-15.2859957810394
1.07,-15.2841569107353,-0.485015715014979,-0.485015715014946,-15.2792711497354
1.071,-15.2774358544624,-0.485533058581365,-0.48553305858133,-15.2725672270368
1.072,-15.2707354941648,-0.486049874234652,-0.48604987423462,-15.2658840026534
1.073,-15.2640558194902,-0.486566160174439,-0.486566160174408,-15.2592214662726
1.074,-15.2573968200653,-0.487081914608175,-0.487081914608145,-15.2525796075593
1.075,-15.2507584854951,-0.487597135751152,-0.487597135751119,-15.2459584161557
1.076,-15.2441408053632,-0.488111821826529,-0.488111821826496,-15.2393578816816
1.077,-15.2375437692317,-0.488625971065351,-0.488625971065318,-15.232777993734
1.078,-15.2309673666407,-0.489139581706584,-0.489139581706548,-15.2262187418868
1.079,-15.2244115871088,-0.489652651997089,-0.489652651997057,-15.2196801156914
1.08,-15.2178764201324,-0.490165180191692,-0.490165180191661,-15.2131621046757
1.081,-15.2113618551864,-0.490677164553159,-0.490677164553126,-15.206664698345
1.082,-15.204867881723,-0.491188603352243,-0.491188603352215,-15.200187886181
1.083,-15.1983944891729,-0.491699494867686,-0.491699494867657,-15.1937316576424
1.084,-15.191941666944,-0.492209837386233,-0.492209837386203,-15.1872960021642
1.085,-15.1855094044222,-0.492719629202666,-0.492719629202634,-15.1808809091583
1.086,-15.179097690971,-0.49322886861979,-0.493228868619758,-15.174486368013
1.087,-15.1727065159312,-0.493737553948498,-0.493737553948467,-15.1681123680928
1.088,-15.1663358686213,-0.494245683507734,-0.494245683507704,-15.1617588987386
1.089,-15.159985738337,-0.494753255624548,-0.494753255624518,-15.1554259492676
1.09,-15.1536561143513,-0.495260268634096,-0.495260268634064,-15.1491135089731
1.091,-15.1473469859143,-0.495766720879648,-0.495766720879619,-15.1428215671246
1.092,-15.1410583422535,-0.496272610712631,-0.496272610712601,-15.1365501129673
1.093,-15.1347901725731,-0.496777936492625,-0.496777936492596,-15.1302991357226
1.094,-15.1285424660545,-0.497282696587377,-0.497282696587348,-15.1240686245877
1.095,-15.1223152118559,-0.497786889372822,-0.497786889372793,-15.1178585687355
1.096,-15.1161083991125,-0.498290513233101,-0.498290513233074,-15.1116689573146
1.097,-15.1099220169359,-0.498793566560574,-0.498793566560546,-15.1054997794494
1.098,-15.1037560544148,-0.499296047755833,-0.499296047755808,-15.0993510242397
1.099,-15.0976105006142,-0.499797955227716,-0.499797955227688,-15.0932226807608
1.1,-15.0914853445758,-0.500299287393339,-0.500299287393308,-15.0871147380636
1.101,-15.0853805753177,-0.500800042678074,-0.500800042678046,-15.0810271851743
1.102,-15.0792961818345,-0.501300219515608,-0.501300219515581,-15.0749600110943
1.103,-15.0732321530972,-0.501799816347918,-0.501799816347892,-15.0689132048004
1.104,-15.0671884780528,-0.502298831625317,-0.502298831625291,-15.0628867552445
1.105,-15.0611651456249,-0.502797263806446,-0.50279726380642,-15.0568806513535
1.106,-15.055162144713,-0.503295111358299,-0.503295111358274,-15.0508948820297
1.107,-15.0491794641928,-0.503792372756234,-0.503792372756207,-15.0449294361501
1.108,-15.0432170929161,-0.504289046483987,-0.50428904648396,-15.0389843025668
