Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB),S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
1060000000,-12.15898202,-3.2992275,-16.208,-3.3159544,-10.192078,-16.673746,116.97213,-97.97023,2.3699412,-97.861031,-150.41461,3.2689414
1061000000,-12.16318321,-3.3361983,-16.212029,-3.3245368,-10.188493,-16.658829,116.93268,-98.008583,2.3411214,-97.866165,-150.66342,3.20575
1062000000,-12.16738763,-3.3336556,-16.234875,-3.3234296,-10.21288,-16.72695,116.89941,-98.15979,2.3206613,-98.098755,-150.9104,3.2343338
1063000000,-12.17159529,-3.2845469,-16.213099,-3.3086331,-10.181127,-16.672974,116.82402,-98.187325,2.2325792,-97.963539,-150.79814,2.9865677
1064000000,-12.17580621,-3.3420646,-16.262192,-3.3186893,-10.202634,-16.744522,117.30669,-98.413864,2.0893106,-98.216835,-150.90715,3.0530884
1065000000,-12.18002037,-3.3033853,-16.183399,-3.3014886,-10.210646,-16.685152,116.597,-98.61985,2.1167724,-98.218765,-151.32384,3.0309784
1066000000,-12.18423779,-3.3479021,-16.287069,-3.2994149,-10.238541,-16.778624,116.74176,-98.589424,1.918353,-98.471321,-151.41034,2.8080988
1067000000,-12.18845846,-3.3162873,-16.240078,-3.2902696,-10.236441,-16.731598,116.86831,-98.598122,1.8804342,-98.513115,-151.54503,2.883944
1068000000,-12.19268239,-3.2969613,-16.221899,-3.3064783,-10.22697,-16.678078,116.62206,-98.712021,2.0733268,-98.57695,-151.59293,2.9063673
1069000000,-12.19690958,-3.3263743,-16.286222,-3.3245373,-10.254172,-16.753248,116.78815,-98.737404,2.0785391,-98.536728,-151.43889,2.93872
1070000000,-12.20114004,-3.3315251,-16.247421,-3.296581,-10.268863,-16.738287,116.619,-98.752518,1.6064997,-98.746872,-151.6093,2.5815103
1071000000,-12.20537377,-3.3096399,-16.264429,-3.317755,-10.241669,-16.719131,116.67765,-98.885551,1.8820715,-98.704292,-151.92261,2.846137
1072000000,-12.20961077,-3.3251798,-16.231411,-3.3219252,-10.264326,-16.706087,116.37334,-99.004326,1.6854055,-98.799904,-151.89133,2.584672
1073000000,-12.21385105,-3.3367116,-16.278658,-3.3323643,-10.303245,-16.746967,116.35899,-99.022079,1.8226563,-98.855576,-151.87845,2.6051838
1074000000,-12.2180946,-3.2916262,-16.302349,-3.3004506,-10.275352,-16.787573,116.60293,-99.112251,1.6284783,-98.885574,-152.19185,2.4523613
1075000000,-12.22234144,-3.3485451,-16.289974,-3.3271925,-10.293759,-16.758755,116.5543,-99.259468,1.4802651,-99.269653,-152.38765,2.3351316
1076000000,-12.22659156,-3.3235183,-16.319975,-3.3168166,-10.274597,-16.808714,116.63306,-99.501709,1.3838102,-99.279434,-152.54509,2.1520734
1077000000,-12.23084498,-3.3420601,-16.323294,-3.3282127,-10.322569,-16.791761,116.76625,-99.565483,1.3413275,-99.447571,-152.7493,2.198046
1078000000,-12.23510168,-3.302496,-16.26742,-3.295476,-10.27797,-16.744028,116.08965,-99.601852,1.3096402,-99.367409,-152.82423,2.2394409
1079000000,-12.23936168,-3.3202212,-16.302916,-3.3110723,-10.29604,-16.790409,116.01923,-99.701164,1.206181,-99.446312,-152.90192,2.2359486
1080000000,-12.24362497,-3.3189657,-16.301748,-3.2946754,-10.299706,-16.787659,116.17599,-99.810677,1.4353509,-99.682167,-152.97586,2.2459202
1081000000,-12.24789157,-3.3335114,-16.267216,-3.3103466,-10.310525,-16.759565,116.16558,-99.685272,1.3406115,-99.506966,-152.94641,2.0918436
1082000000,-12.25216147,-3.3751006,-16.341064,-3.3307035,-10.354845,-16.821522,116.12836,-99.966278,1.2579398,-99.747086,-153.19374,1.9999012
1083000000,-12.25643468,-3.3406274,-16.341339,-3.3063374,-10.361199,-16.832689,116.22675,-100.18055,1.2085596,-99.859741,-153.38493,2.014478
1084000000,-12.2607112,-3.3123097,-16.308666,-3.2946503,-10.326486,-16.808678,115.87576,-100.03252,1.2229465,-99.971344,-153.41692,2.1760767
1085000000,-12.26499104,-3.3216343,-16.354637,-3.2940104,-10.351471,-16.865126,115.878,-100.13791,1.0393897,-99.998352,-153.60567,1.8779407
