Freq(Hz),S21_90deg,S21_180deg,S21_thru,S21_thru_with_coupling
1339000000,-0.24192959,-0.34767458,-0.29278582,-0.33708224
1340000000,-0.26770103,-0.35045564,-0.28436372,-0.31540218
1341000000,-0.2581206,-0.33915496,-0.27941209,-0.33296591
1342000000,-0.24612953,-0.35547709,-0.29649848,-0.33590499
1343000000,-0.23166645,-0.36178386,-0.28553334,-0.34170842
1344000000,-0.23403129,-0.33640283,-0.26857597,-0.33201241
1345000000,-0.23467417,-0.35606664,-0.26796219,-0.32336143
1346000000,-0.25019753,-0.36580667,-0.30555692,-0.33518946
1347000000,-0.24271378,-0.34673777,-0.2663174,-0.32924277
1348000000,-0.25269803,-0.37701043,-0.30145869,-0.34844232
1349000000,-0.2596336,-0.36059824,-0.29246306,-0.36081713
1350000000,-0.21204177,-0.35184973,-0.28824973,-0.32295492
1351000000,-0.26241899,-0.36782715,-0.3003858,-0.36641166
1352000000,-0.26360008,-0.3586497,-0.28541079,-0.33965096
1353000000,-0.26089537,-0.36700198,-0.29357955,-0.37207273
1354000000,-0.25118089,-0.3484078,-0.28552061,-0.33354971
1355000000,-0.24012038,-0.35940534,-0.28677487,-0.33676422
1356000000,-0.2654528,-0.38207418,-0.28074056,-0.36416316
1357000000,-0.24743983,-0.36347252,-0.27797285,-0.35160559
1358000000,-0.23471008,-0.34360343,-0.28583544,-0.33128905
1359000000,-0.23561533,-0.36252236,-0.28217587,-0.346046
1360000000,-0.2201006,-0.3625139,-0.27559286,-0.34610757
1361000000,-0.25734308,-0.34846199,-0.29181889,-0.34006956
1362000000,-0.23143239,-0.35991552,-0.28838813,-0.33564016
1363000000,-0.23445678,-0.34088671,-0.28573647,-0.34017432
1364000000,-0.25624254,-0.36923945,-0.29321232,-0.35480985
1365000000,-0.23617584,-0.34129632,-0.27049756,-0.35845867
1366000000,-0.26767868,-0.39661658,-0.30439353,-0.38282859
1367000000,-0.26528051,-0.39536762,-0.29490459,-0.38389599
1368000000,-0.24508874,-0.37465811,-0.31896263,-0.38227394
1369000000,-0.27029559,-0.37507501,-0.29319248,-0.38712656
1370000000,-0.28488553,-0.3941997,-0.28354046,-0.38411254
1371000000,-0.26914173,-0.38370451,-0.29756615,-0.385131
1372000000,-0.23746388,-0.39412382,-0.27297485,-0.37945864
1373000000,-0.24649663,-0.36813709,-0.26437205,-0.39918455
1374000000,-0.26476848,-0.36834043,-0.29338655,-0.40039718
1375000000,-0.2550582,-0.3802008,-0.27845159,-0.38759598
1376000000,-0.24754983,-0.38395551,-0.26965442,-0.39717853
1377000000,-0.2669391,-0.36859012,-0.26955608,-0.40767929
1378000000,-0.24859764,-0.35855991,-0.27067631,-0.39322364
1379000000,-0.26576117,-0.38296029,-0.28722879,-0.40782854
1380000000,-0.25470942,-0.37584528,-0.28160045,-0.40140817
1381000000,-0.2565769,-0.36045626,-0.27249214,-0.40995848
1382000000,-0.25608134,-0.3916119,-0.31063393,-0.39554507
1383000000,-0.27197441,-0.37505001,-0.27622694,-0.3641589
1384000000,-0.26743463,-0.39022613,-0.2627762,-0.40498233
1385000000,-0.28130764,-0.40411249,-0.294184,-0.38768515
1386000000,-0.25854793,-0.37518707,-0.29707479,-0.366173
1387000000,-0.26387537,-0.38920441,-0.28866178,-0.3994087
1388000000,-0.28619522,-0.38992649,-0.30074221,-0.4078826
1389000000,-0.28287953,-0.3978022,-0.29723901,-0.39701551
1390000000,-0.28158823,-0.38913974,-0.28077313,-0.3729766
1391000000,-0.25417688,-0.353944,-0.25424284,-0.36857525
1392000000,-0.28942508,-0.39130771,-0.27979305,-0.34944198
1393000000,-0.28319818,-0.39630365,-0.28718701,-0.36068952
1394000000,-0.29138669,-0.39409414,-0.30853745,-0.38433111
1395000000,-0.28068352,-0.4067966,-0.29734111,-0.38484171
1396000000,-0.27139667,-0.40396574,-0.27717879,-0.37437746
1397000000,-0.25608024,-0.37259024,-0.28003043,-0.34657764
1398000000,-0.30331689,-0.39175382,-0.29213461,-0.35398021
1399000000,-0.27153298,-0.39468029,-0.27519032,-0.35079426
1400000000,-0.29541764,-0.38057375,-0.26084593,-0.35033274
1401000000,-0.31922996,-0.4175663,-0.29210702,-0.3866176
1402000000,-0.30739319,-0.41840217,-0.30390474,-0.36707965
1403000000,-0.29994184,-0.38281992,-0.26286918,-0.34147191
1404000000,-0.3262409,-0.41004285,-0.27733845,-0.35985872
1405000000,-0.30000809,-0.36729416,-0.27168208,-0.34419349
1406000000,-0.33508751,-0.42153037,-0.2937263,-0.34373543
1407000000,-0.34513733,-0.40678912,-0.3063091,-0.36232427
1408000000,-0.31655097,-0.39997604,-0.26674095,-0.35067695
1409000000,-0.35138538,-0.41786447,-0.29170203,-0.34991547
1410000000,-0.34767696,-0.41235396,-0.27117261,-0.33455995
1411000000,-0.3772932,-0.41326037,-0.2918112,-0.34011865
1412000000,-0.39120153,-0.43498766,-0.30182925,-0.36483073
1413000000,-0.37886655,-0.41420475,-0.29099172,-0.33348995
1414000000,-0.41088834,-0.4295817,-0.30030742,-0.34695622
1415000000,-0.39043197,-0.42007524,-0.26691154,-0.3554751
1416000000,-0.40724796,-0.42548233,-0.27339712,-0.35926455
1417000000,-0.40766874,-0.42050314,-0.25087938,-0.34193131
1418000000,-0.43678099,-0.42263776,-0.25851965,-0.33467764
