Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S22(dB)_HFSS,S22(dB)_measured,S33(dB)_HFSS,S33(dB)_measured,S44(dB)_HFSS,S44(dB)_measured
1.102,-4.63580443,-4.6768684,-4.61636837,-4.7154303,-4.622545262,-4.4997134,-4.620283573,-4.7030034
1.103,-4.634858606,-4.6922593,-4.615421696,-4.758924,-4.621600668,-4.4779768,-4.619318257,-4.6513643
1.104,-4.633916252,-4.6894956,-4.614478463,-4.7415452,-4.620659547,-4.4777741,-4.618356438,-4.6832981
1.105,-4.632977377,-4.6762805,-4.613538678,-4.721067,-4.619721907,-4.4889927,-4.617398125,-4.6866441
1.106,-4.632041989,-4.6703372,-4.61260235,-4.7281575,-4.618787757,-4.4783125,-4.616443326,-4.6982489
1.107,-4.631110097,-4.6744847,-4.611669487,-4.7636051,-4.617857105,-4.4866796,-4.61549205,-4.6611686
1.108,-4.630181708,-4.6457233,-4.610740099,-4.7131305,-4.616929959,-4.4667072,-4.614544306,-4.6626897
1.109,-4.629256833,-4.6496425,-4.609814193,-4.6922388,-4.616006329,-4.4373984,-4.613600101,-4.6794043
1.11,-4.628335478,-4.6579132,-4.608891778,-4.698689,-4.615086222,-4.4494019,-4.612659445,-4.6662822
1.111,-4.627417653,-4.65166,-4.607972863,-4.6883712,-4.614169648,-4.4733706,-4.611722345,-4.6346779
1.112,-4.626503367,-4.6848388,-4.607057455,-4.7188835,-4.613256615,-4.4947438,-4.610788811,-4.6914897
1.113,-4.625592628,-4.6719275,-4.606145564,-4.7299328,-4.612347131,-4.4794068,-4.60985885,-4.6800179
1.114,-4.624685444,-4.7016873,-4.605237198,-4.7490807,-4.611441205,-4.4599161,-4.608932473,-4.6860609
1.115,-4.623781824,-4.6307325,-4.604332366,-4.722403,-4.610538845,-4.4354081,-4.608009686,-4.7105517
1.116,-4.622881777,-4.6653485,-4.603431076,-4.735599,-4.609640061,-4.4801984,-4.607090498,-4.7095165
1.117,-4.621985312,-4.625484,-4.602533336,-4.6625686,-4.608744861,-4.4478192,-4.606174919,-4.6629734
1.118,-4.621092436,-4.6509485,-4.601639156,-4.7381296,-4.607853253,-4.4700441,-4.605262957,-4.6825533
1.119,-4.62020316,-4.6326623,-4.600748544,-4.7198982,-4.606965247,-4.4534702,-4.60435462,-4.6806092
1.12,-4.61931749,-4.6442304,-4.599861508,-4.702641,-4.60608085,-4.4745574,-4.603449918,-4.6866808
