"Freq [GHz]","dB(S(2,3)) []","dB(S(4,2)) []","dB(S(4,3)) []"
4.411,-6.11882805309769,-6.06057057426284,-6.52059331850001
4.412,-6.12028484730578,-6.06260174576942,-6.52058161542889
4.413,-6.12174038055542,-6.06462955880978,-6.5205711482978
4.414,-6.12319464835191,-6.06665401534412,-6.52056190410681
4.415,-6.12464764619095,-6.06867511731858,-6.52055386993034
4.416,-6.12609936955927,-6.07069286666546,-6.52054703291711
4.417,-6.12754981393456,-6.07270726530344,-6.5205413802896
4.418,-6.12899897478587,-6.07471831513795,-6.52053689934385
4.419,-6.13044684757373,-6.07672601806147,-6.52053357744903
4.42,-6.13189342775046,-6.07873037595363,-6.52053140204719
4.421,-6.13333871076044,-6.08073139068172,-6.52053036065293
4.422,-6.13478269204029,-6.08272906410076,-6.520530440853
4.423,-6.13622536701905,-6.084723398054,-6.52053163030607
4.424,-6.13766673111865,-6.08671439437296,-6.52053391674244
4.425,-6.13910677975398,-6.08870205487783,-6.52053728796359
4.426,-6.14054550833303,-6.09068638137783,-6.52054173184196
4.427,-6.14198291225741,-6.09266737567125,-6.52054723632065
4.428,-6.14341898692249,-6.09464503954596,-6.52055378941304
4.429,-6.14485372771759,-6.09661937477954,-6.52056137920258
4.43,-6.14628713002628,-6.09859038313965,-6.52056999384237
4.431,-6.14771918922669,-6.10055806638425,-6.52057962155494
4.432,-6.1491499006917,-6.10252242626183,-6.52059025063195
4.433,-6.15057925978924,-6.10448346451181,-6.52060186943377
4.434,-6.15200726188252,-6.10644118286467,-6.52061446638936
4.435,-6.15343390233034,-6.10839558304239,-6.52062802999585
4.436,-6.15485917648731,-6.11034666675856,-6.52064254881827
4.437,-6.15628307970413,-6.11229443571871,-6.52065801148927
4.438,-6.15770560732792,-6.11423889162066,-6.52067440670881
4.439,-6.15912675470242,-6.11618003615467,-6.52069172324389
4.44,-6.16054651716829,-6.11811787100379,-6.52070994992826
4.441,-6.16196489006338,-6.12005239784412,-6.52072907566209
4.442,-6.16338186872297,-6.12198361834506,-6.52074908941175
4.443,-6.16479744848015,-6.1239115341696,-6.52076998020948
4.444,-6.16621162466601,-6.12583614697458,-6.52079173715314
4.445,-6.1676243926099,-6.12775745841097,-6.52081434940589
4.446,-6.16903574763984,-6.12967547012414,-6.52083780619596
4.447,-6.1704456850827,-6.13159018375411,-6.52086209681628
4.448,-6.17185420026446,-6.13350160093586,-6.52088721062436
4.449,-6.17326128851061,-6.13540972329956,-6.52091313704188
4.45,-6.17466694514634,-6.13731455247082,-6.52093986555446
4.451,-6.17607116549687,-6.13921609007108,-6.52096738571142
4.452,-6.17747394488775,-6.14111433771772,-6.52099568712544
4.453,-6.17887527864515,-6.14300929702442,-6.52102475947237
4.454,-6.18027516209606,-6.14490096960142,-6.52105459249092
4.455,-6.18167359056881,-6.14678935705573,-6.52108517598243
4.456,-6.18307055939308,-6.14867446099149,-6.52111649981053
4.457,-6.18446606390045,-6.15055628301017,-6.52114855390098
4.458,-6.18586009942459,-6.15243482471087,-6.52118132824136
4.459,-6.18725266130144,-6.15431008769058,-6.52121481288074
4.46,-6.1886437448698,-6.15618207354435,-6.52124899792962
4.461,-6.19003334547139,-6.15805078386582,-6.52128387355944
4.462,-6.1914214584512,-6.1599162202471,-6.5213194300025
4.463,-6.19280807915788,-6.1617783842794,-6.52135565755161
4.464,-6.19419320294402,-6.16363727755307,-6.52139254655988
4.465,-6.19557682516637,-6.16549290165797,-6.5214300874405
4.466,-6.19695894118624,-6.16734525818364,-6.52146827066641
4.467,-6.19833954636982,-6.16919434871971,-6.52150708677012
4.468,-6.19971863608839,-6.17104017485597,-6.52154652634341
4.469,-6.20109620571874,-6.17288273818283,-6.52158658003718
4.47,-6.20247225064346,-6.17472204029139,-6.5216272385611
4.471,-6.20384676625117,-6.17655808277394,-6.52166849268342
4.472,-6.20521974793697,-6.17839086722396,-6.52171033323075
4.473,-6.2065911911027,-6.18022039523658,-6.5217527510878
4.474,-6.20796109115715,-6.18204666840871,-6.52179573719707
4.475,-6.20932944351658,-6.18386968833945,-6.5218392825588
4.476,-6.21069624360492,-6.18568945663018,-6.52188337823053
4.477,-6.21206148685404,-6.1875059748849,-6.52192801532701
4.478,-6.21342516870423,-6.18931924471056,-6.52197318501988
4.479,-6.21478728460439,-6.19112926771719,-6.52201887853749
4.48,-6.21614783001241,-6.19293604551825,-6.52206508716467
4.481,-6.21750680039545,-6.19473957973087,-6.52211180224248
4.482,-6.21886419123034,-6.19653987197602,-6.52215901516801
4.483,-6.22021999800389,-6.19833692387899,-6.5222067173941
4.484,-6.22157421621312,-6.20013073706934,-6.52225490042918
4.485,-6.22292684136569,-6.20192131318152,-6.52230355583704
4.486,-6.22427786898027,-6.20370865385472,-6.52235267523657
4.487,-6.22562729458667,-6.20549276073352,-6.52240225030155
4.488,-6.22697511372646,-6.20727363546785,-6.52245227276048
4.489,-6.22832132195303,-6.20905127971342,-6.52250273439629
4.49,-6.22966591483207,-6.21082569513191,-6.52255362704617
4.491,-6.23100888794189,-6.21259688339122,-6.52260494260134
4.492,-6.23235023687369,-6.21436484616574,-6.52265667300689
4.493,-6.23368995723207,-6.21612958513665,-6.52270881026144
4.494,-6.23502804463507,-6.21789110199209,-6.52276134641704
4.495,-6.23636449471479,-6.21964939842746,-6.52281427357896
4.496,-6.23769930311753,-6.22140447614571,-6.52286758390538
4.497,-6.23903246550431,-6.22315633685751,-6.52292126960734
4.498,-6.24036397755106,-6.22490498228153,-6.52297532294835
4.499,-6.24169383494895,-6.22665041414482,-6.52302973624434
4.5,-6.24302203340491,-6.22839263418284,-6.52308450186336
4.501,-6.24434856864173,-6.23013164413989,-6.52313961222544
4.502,-6.24567343639862,-6.23186744576933,-6.52319505980233
4.503,-6.24699663243141,-6.23360004083368,-6.52325083711738
4.504,-6.24831815251293,-6.23532943110514,-6.52330693674519
4.505,-6.24963799243338,-6.23705561836564,-6.5233633513116
4.506,-6.25095614800062,-6.23877860440713,-6.52342007349339
4.507,-6.25227261504061,-6.24049839103185,-6.52347709601807
4.508,-6.25358738939767,-6.24221498005265,-6.52353441166372
4.509,-6.25490046693479,-6.24392837329309,-6.52359201325877
4.51,-6.25621184353414,-6.24563857258777,-6.52364989368185
4.511,-6.25752151509721,-6.24734557978266,-6.52370804586156
4.512,-6.25882947754536,-6.24904939673521,-6.52376646277631
4.513,-6.26013572682001,-6.25075002531466,-6.52382513745406
4.514,-6.26144025888303,-6.25244746740235,-6.52388406297225
4.515,-6.26274306971721,-6.25414172489177,-6.52394323245749
4.516,-6.26404415532631,-6.25583279968911,-6.52400263908545
4.517,-6.26534351173581,-6.25752069371322,-6.52406227608064
4.518,-6.26664113499294,-6.25920540889605,-6.52412213671626
4.519,-6.26793702116719,-6.2608869471828,-6.52418221431395
4.52,-6.26923116635058,-6.2625653105322,-6.52424250224371
4.521,-6.27052356665806,-6.26424050091675,-6.52430299392363
4.522,-6.27181421822788,-6.26591252032293,-6.52436368281972
4.523,-6.27310311722191,-6.26758137075154,-6.52442456244579
4.524,-6.27439025982592,-6.26924705421789,-6.52448562636318
4.525,-6.27567564225013,-6.27090957275199,-6.52454686818066
4.526,-6.27695926072934,-6.27256892839891,-6.52460828155427
4.527,-6.2782411115234,-6.2742251232189,-6.524669860187
4.528,-6.27952119091756,-6.27587815928775,-6.52473159782879
4.529,-6.28079949522287,-6.27752803869698,-6.52479348827629
4.53,-6.28207602077641,-6.27917476355404,-6.52485552537264
4.531,-6.2833507639417,-6.28081833598262,-6.52491770300734
4.532,-6.28462372110913,-6.28245875812289,-6.5249800151161
4.533,-6.28589488869621,-6.28409603213174,-6.52504245568063
4.534,-6.28716426314798,-6.28573016018296,-6.52510501872849
4.535,-6.28843184093734,-6.28736114446757,-6.52516769833291
4.536,-6.28969761856544,-6.28898898719398,-6.5252304886127
4.537,-6.290961592562,-6.29061369058831,-6.52529338373185
4.538,-6.29222375948569,-6.29223525689458,-6.52535637789974
4.539,-6.29348411592453,-6.29385368837498,-6.52541946537062
4.54,-6.29474265849606,-6.29546898731007,-6.52548264044364
4.541,-6.29599938384798,-6.29708115599906,-6.52554589746264
4.542,-6.29725428865831,-6.29869019676003,-6.52560923081597
4.543,-6.29850736963581,-6.3002961119302,-6.52567263493638
4.544,-6.29975862352025,-6.30189890386613,-6.52573610430079
4.545,-6.30100804708293,-6.30349857494394,-6.52579963343021
4.546,-6.30225563712691,-6.30509512755964,-6.52586321688947
4.547,-6.30350139048746,-6.30668856412929,-6.5259268492872
4.548,-6.3047453040323,-6.30827888708921,-6.52599052527555
4.549,-6.3059873746621,-6.30986609889638,-6.52605423955017
4.55,-6.30722759931064,-6.3114502020285,-6.52611798684987
4.551,-6.30846597494546,-6.31303119898425,-6.52618176195663
4.552,-6.30970249856792,-6.31460909228363,-6.52624555969536
4.553,-6.31093716721375,-6.3161838844681,-6.52630937493383
4.554,-6.31216997795334,-6.31775557810089,-6.52637320258236
4.555,-6.31340092789205,-6.31932417576719,-6.52643703759388
4.556,-6.31463001417071,-6.32088968007438,-6.52650087496358
4.557,-6.31585723396585,-6.32245209365226,-6.52656470972891
4.558,-6.3170825844901,-6.32401141915333,-6.52662853696934
4.559,-6.31830606299257,-6.32556765925306,-6.52669235180628
4.56,-6.31952766675913,-6.3271208166499,-6.52675614940283
4.561,-6.32074739311288,-6.32867089406587,-6.52681992496379
4.562,-6.32196523941453,-6.33021789424647,-6.52688367373535
4.563,-6.32318120306249,-6.3317618199611,-6.52694739100506
4.564,-6.32439528149359,-6.33330267400322,-6.52701107210166
4.565,-6.32560747218319,-6.33484045919063,-6.52707471239484
4.566,-6.32681777264561,-6.33637517836563,-6.52713830729533
