"Freq [GHz]","dB(S(4,2)) []","dB(S(3,2)) []","dB(S(4,3)) []"
1.118,-5.85986633048243,-7.50798628080935,-7.6923575628844
1.119,-5.85877631792438,-7.50997313180228,-7.69489015994652
1.12,-5.85768282910973,-7.5119600392242,-7.69742375303293
1.121,-5.85658585930262,-7.51394700140021,-7.69995832594152
1.122,-5.85548540377111,-7.51593401665445,-7.70249386244676
1.123,-5.8543814577871,-7.5179210833102,-7.70503034629991
1.124,-5.85327401662647,-7.51990819968992,-7.70756776122924
1.125,-5.85216307556907,-7.5218953641153,-7.71010609094018
1.126,-5.85104862989871,-7.52388257490733,-7.7126453191155
1.127,-5.84993067490328,-7.52586983038632,-7.71518542941558
1.128,-5.84880920587471,-7.52785712887203,-7.7177264054785
1.129,-5.84768421810899,-7.52984446868366,-7.72026823092028
1.13,-5.84655570690629,-7.53183184813996,-7.72281088933501
1.131,-5.84542366757089,-7.53381926555928,-7.72535436429507
1.132,-5.84428809541128,-7.53580671925961,-7.72789863935128
1.133,-5.84314898574014,-7.5377942075587,-7.73044369803308
1.134,-5.84200633387444,-7.5397817287741,-7.73298952384865
1.135,-5.8408601351354,-7.54176928122322,-7.73553610028515
1.136,-5.83971038484855,-7.54375686322341,-7.73808341080881
1.137,-5.8385570783438,-7.54574447309205,-7.7406314388651
1.138,-5.8374002109554,-7.5477321091466,-7.74318016787894
1.139,-5.83623977802204,-7.5497197697047,-7.74572958125475
1.14,-5.83507577488683,-7.55170745308424,-7.74827966237666
1.141,-5.8339081968974,-7.55369515760343,-7.75083039460868
1.142,-5.83273703940583,-7.55568288158088,-7.75338176129475
1.143,-5.83156229776879,-7.55767062333571,-7.75593374575896
1.144,-5.83038396734753,-7.55965838118761,-7.75848633130563
1.145,-5.8292020435079,-7.56164615345694,-7.76103950121949
1.146,-5.82801652162038,-7.56363393846479,-7.76359323876573
1.147,-5.82682739706017,-7.56562173453312,-7.76614752719023
1.148,-5.82563466520715,-7.5676095399848,-7.76870234971956
1.149,-5.82443832144599,-7.56959735314373,-7.77125768956121
1.15,-5.82323836116612,-7.57158517233493,-7.77381352990363
1.151,-5.82203477976177,-7.57357299588464,-7.77636985391635
1.152,-5.82082757263208,-7.57556082212042,-7.77892664475013
1.153,-5.81961673518105,-7.57754864937122,-7.78148388553703
1.154,-5.81840226281762,-7.57953647596753,-7.78404155939049
1.155,-5.81718415095567,-7.58152430024144,-7.78659964940549
1.156,-5.81596239501411,-7.58351212052677,-7.78915813865858
1.157,-5.81473699041689,-7.58549993515917,-7.79171701020802
1.158,-5.81350793259301,-7.58748774247622,-7.79427624709383
1.159,-5.81227521697659,-7.58947554081755,-7.79683583233791
1.16,-5.81103883900691,-7.59146332852495,-7.7993957489441
1.161,-5.80979879412843,-7.59345110394248,-7.80195597989825
1.162,-5.80855507779082,-7.59543886541659,-7.80451650816832
1.163,-5.80730768544903,-7.59742661129623,-7.80707731670444
1.164,-5.80605661256328,-7.59941433993297,-7.80963838843898
1.165,-5.80480185459917,-7.60140204968113,-7.8121997062866
1.166,-5.80354340702765,-7.60338973889789,-7.81476125314434
1.167,-5.80228126532509,-7.60537740594342,-7.81732301189163
1.168,-5.8010154249733,-7.607365049181,-7.81988496539044
1.169,-5.7997458814596,-7.60935266697717,-7.82244709648521
1.17,-5.79847263027683,-7.61134025770182,-7.82500938800298
1.171,-5.79719566692343,-7.61332781972835,-7.82757182275342
1.172,-5.79591498690342,-7.61531535143381,-7.83013438352887
