"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
2.766,-13.4921951403168,-0.89310512745658
2.767,-13.4798857719008,-0.893838359739404
2.768,-13.4675818612257,-0.894573272319188
2.769,-13.4552834309418,-0.895309867614293
2.77,-13.4429905035375,-0.896048148044206
2.771,-13.4307031013405,-0.896788116029563
2.772,-13.4184212465182,-0.897529773992135
2.773,-13.4061449610788,-0.898273124354835
2.774,-13.3938742668717,-0.899018169541713
2.775,-13.3816091855889,-0.89976491197795
2.776,-13.3693497387653,-0.90051335408986
2.777,-13.3570959477798,-0.901263498304891
2.778,-13.344847833856,-0.90201534705162
2.779,-13.3326054180628,-0.902768902759754
2.78,-13.3203687213159,-0.903524167860126
2.781,-13.3081377643775,-0.904281144784692
2.782,-13.2959125678581,-0.905039835966537
2.783,-13.2836931522167,-0.905800243839871
2.784,-13.2714795377618,-0.906562370840012
2.785,-13.2592717446521,-0.907326219403416
2.786,-13.2470697928975,-0.908091791967654
2.787,-13.2348737023593,-0.908859090971396
2.788,-13.2226834927519,-0.909628118854453
2.789,-13.2104991836425,-0.910398878057736
2.79,-13.1983207944528,-0.911171371023274
2.791,-13.1861483444592,-0.911945600194205
2.792,-13.1739818527937,-0.912721568014775
2.793,-13.1618213384449,-0.913499276930356
2.794,-13.1496668202582,-0.914278729387399
2.795,-13.1375183169371,-0.915059927833492
2.796,-13.1253758470438,-0.915842874717308
2.797,-13.1132394289999,-0.916627572488628
2.798,-13.1011090810869,-0.917414023598347
2.799,-13.0889848214475,-0.91820223049844
2.8,-13.0768666680857,-0.918992195642003
2.801,-13.0647546388681,-0.919783921483232
2.802,-13.0526487515242,-0.920577410477387
2.803,-13.0405490236476,-0.921372665080868
2.804,-13.028455472696,-0.922169687751141
2.805,-13.0163681159928,-0.922968480946775
2.806,-13.0042869707272,-0.923769047127441
2.807,-12.9922120539549,-0.924571388753886
2.808,-12.9801433825995,-0.92537550828795
2.809,-12.9680809734522,-0.926181408192573
2.81,-12.9560248431735,-0.926989090931767
2.811,-12.9439750082931,-0.927798558970647
2.812,-12.9319314852111,-0.9286098147754
2.813,-12.9198942901986,-0.929422860813294
2.814,-12.9078634393983,-0.930237699552697
2.815,-12.8958389488252,-0.931054333463049
2.816,-12.8838208343675,-0.931872765014857
2.817,-12.8718091117869,-0.932692996679742
2.818,-12.8598037967196,-0.933515030930353
2.819,-12.8478049046771,-0.934338870240464
2.82,-12.8358124510463,-0.935164517084892
