Freq(Hz),S11 Log Mag_measured(dB),S11 Log Mag_HFSS(dB)
1932000000,-19.708324,-18.25506085
1933000000,-19.765583,-18.2643719
1934000000,-19.751459,-18.27363955
1935000000,-19.763697,-18.28286367
1936000000,-19.794235,-18.29204416
1937000000,-19.788866,-18.3011809
1938000000,-19.824844,-18.31027378
1939000000,-19.829081,-18.31932268
1940000000,-19.799129,-18.32832751
1941000000,-19.838388,-18.33728814
1942000000,-19.854633,-18.34620448
1943000000,-19.939289,-18.35507639
1944000000,-19.969067,-18.36390379
1945000000,-19.938538,-18.37268656
1946000000,-19.898731,-18.3814246
1947000000,-19.906359,-18.39011779
1948000000,-19.924587,-18.39876603
1949000000,-19.976109,-18.40736922
1950000000,-19.971088,-18.41592724
1951000000,-19.960732,-18.42444001
1952000000,-19.986967,-18.4329074
1953000000,-19.970402,-18.44132932
1954000000,-20.086664,-18.44970567
1955000000,-20.00955,-18.45803634
1956000000,-20.062204,-18.46632124
1957000000,-20.1077,-18.47456025
1958000000,-20.076323,-18.48275329
1959000000,-20.086056,-18.49090025
1960000000,-20.097128,-18.49900103
1961000000,-20.122438,-18.50705554
1962000000,-20.074955,-18.51506368
1963000000,-20.160103,-18.52302535
1964000000,-20.09528,-18.53094046
1965000000,-20.162031,-18.5388089
1966000000,-20.166368,-18.54663059
1967000000,-20.181887,-18.55440543
1968000000,-20.139227,-18.56213334
1969000000,-20.161087,-18.5698142
1970000000,-20.16844,-18.57744794
1971000000,-20.184923,-18.58503447
1972000000,-20.233309,-18.59257368
1973000000,-20.216255,-18.6000655
1974000000,-20.265024,-18.60750984
1975000000,-20.236288,-18.6149066
1976000000,-20.270645,-18.6222557
1977000000,-20.302151,-18.62955705
1978000000,-20.275541,-18.63681056
1979000000,-20.308315,-18.64401616
1980000000,-20.273956,-18.65117375
1981000000,-20.319963,-18.65828326
1982000000,-20.387777,-18.66534459
1983000000,-20.376793,-18.67235768
1984000000,-20.351625,-18.67932243
1985000000,-20.372538,-18.68623876
1986000000,-20.417305,-18.6931066
1987000000,-20.364292,-18.69992587
1988000000,-20.441936,-18.70669649
1989000000,-20.419956,-18.71341838
1990000000,-20.412121,-18.72009146
1991000000,-20.456871,-18.72671566
1992000000,-20.427938,-18.73329091
1993000000,-20.410976,-18.73981713
1994000000,-20.52968,-18.74629424
1995000000,-20.540359,-18.75272218
1996000000,-20.49157,-18.75910087
1997000000,-20.451567,-18.76543024
1998000000,-20.529104,-18.77171023
1999000000,-20.471664,-18.77794075
2000000000,-20.543018,-18.78412175
2001000000,-20.539707,-18.79025316
2002000000,-20.543863,-18.79633491
2003000000,-20.564259,-18.80236693
2004000000,-20.598408,-18.80834917
2005000000,-20.602203,-18.81428155
2006000000,-20.560108,-18.82016401
2007000000,-20.62196,-18.82599649
2008000000,-20.659321,-18.83177893
2009000000,-20.661329,-18.83751127
2010000000,-20.654879,-18.84319345
2011000000,-20.673504,-18.84882541
2012000000,-20.625637,-18.85440709
2013000000,-20.663698,-18.85993844
2014000000,-20.661165,-18.8654194
2015000000,-20.714178,-18.87084991
2016000000,-20.689068,-18.87622992
2017000000,-20.752825,-18.88155938
2018000000,-20.694313,-18.88683823
2019000000,-20.74201,-18.89206642
2020000000,-20.710016,-18.89724391
2021000000,-20.698402,-18.90237064
2022000000,-20.785166,-18.90744656
2023000000,-20.753233,-18.91247163
2024000000,-20.756958,-18.9174458
2025000000,-20.825203,-18.92236902
2026000000,-20.75803,-18.92724125
2027000000,-20.819115,-18.93206244
2028000000,-20.740345,-18.93683255
2029000000,-20.775757,-18.94155155
2030000000,-20.819094,-18.94621938
2031000000,-20.780931,-18.950836
2032000000,-20.804993,-18.95540139
2033000000,-20.830549,-18.95991549
2034000000,-20.837547,-18.96437827
2035000000,-20.846638,-18.9687897
2036000000,-20.842455,-18.97314974
2037000000,-20.906166,-18.97745836
2038000000,-20.907888,-18.98171551
2039000000,-20.879028,-18.98592118
2040000000,-20.948917,-18.99007532
2041000000,-20.945267,-18.99417791
2042000000,-20.894411,-18.99822891
2043000000,-20.9282,-19.0022283
2044000000,-20.964943,-19.00617605
2045000000,-21.004772,-19.01007214
2046000000,-20.997639,-19.01391653
2047000000,-20.991783,-19.0177092
2048000000,-21.023346,-19.02145013
2049000000,-20.977259,-19.0251393
2050000000,-21.041437,-19.02877668
2051000000,-20.986715,-19.03236225
2052000000,-21.025774,-19.035896
2053000000,-20.938984,-19.0393779
2054000000,-21.003498,-19.04280793
2055000000,-21.026463,-19.04618608
2056000000,-21.097992,-19.04951234
2057000000,-21.084995,-19.05278668
2058000000,-21.060694,-19.05600909
2059000000,-21.041954,-19.05917957
2060000000,-21.060276,-19.06229809
2061000000,-21.042606,-19.06536465
2062000000,-21.086153,-19.06837924
2063000000,-21.07724,-19.07134185
2064000000,-21.063614,-19.07425246
2065000000,-21.143295,-19.07711108
2066000000,-21.140471,-19.0799177
2067000000,-21.091431,-19.0826723
2068000000,-21.107872,-19.0853749
2069000000,-21.12219,-19.08802548
2070000000,-21.121153,-19.09062404
2071000000,-21.182552,-19.09317058
2072000000,-21.20406,-19.0956651
2073000000,-21.181837,-19.0981076
2074000000,-21.189707,-19.10049809
2075000000,-21.116957,-19.10283657
2076000000,-21.162323,-19.10512303
2077000000,-21.182318,-19.1073575
2078000000,-21.183559,-19.10953996
2079000000,-21.091679,-19.11167043
2080000000,-21.150341,-19.11374892
2081000000,-21.257521,-19.11577543
2082000000,-21.191923,-19.11774997
2083000000,-21.218651,-19.11967257
2084000000,-21.189972,-19.12154322
2085000000,-21.206865,-19.12336194
2086000000,-21.292589,-19.12512874
2087000000,-21.273134,-19.12684365
2088000000,-21.382099,-19.12850666
2089000000,-21.268927,-19.13011781
2090000000,-21.319942,-19.13167711
2091000000,-21.269762,-19.13318458
2092000000,-21.300528,-19.13464024
2093000000,-21.297302,-19.1360441
2094000000,-21.33931,-19.1373962
2095000000,-21.285021,-19.13869655
2096000000,-21.334116,-19.13994517
2097000000,-21.328108,-19.1411421
2098000000,-21.369379,-19.14228735
2099000000,-21.373604,-19.14338096
2100000000,-21.354111,-19.14442295
2101000000,-21.355213,-19.14541335
2102000000,-21.346479,-19.14635219
2103000000,-21.328274,-19.1472395
2104000000,-21.34458,-19.14807531
2105000000,-21.327414,-19.14885965
2106000000,-21.408072,-19.14959256
2107000000,-21.39908,-19.15027408
2108000000,-21.38958,-19.15090423
2109000000,-21.377298,-19.15148305
2110000000,-21.426996,-19.15201059
2111000000,-21.442163,-19.15248687
2112000000,-21.388292,-19.15291194
2113000000,-21.334742,-19.15328584
2114000000,-21.381226,-19.15360861
2115000000,-21.402109,-19.15388029
2116000000,-21.40873,-19.15410093
2117000000,-21.403072,-19.15427056
2118000000,-21.426794,-19.15438923
2119000000,-21.39813,-19.15445699
2120000000,-21.446033,-19.15447389
2121000000,-21.411261,-19.15443997
2122000000,-21.443197,-19.15435528
2123000000,-21.407429,-19.15421988
2124000000,-21.437639,-19.1540338
2125000000,-21.371893,-19.1537971
2126000000,-21.423056,-19.15350984
2127000000,-21.420977,-19.15317207
