!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:09:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1611000000,-7.9658852,-97.580254
1612000000,-7.9712429,-97.610489
1613000000,-7.9684114,-97.654366
1614000000,-7.9868937,-97.796341
1615000000,-7.9514227,-97.833237
1616000000,-7.9822025,-98.057152
1617000000,-7.9719667,-97.950035
1618000000,-7.9654889,-98.206627
1619000000,-7.9677234,-98.347008
1620000000,-7.9795284,-98.432648
1621000000,-7.9785342,-98.324631
1622000000,-8.0057821,-98.488846
1623000000,-7.9931779,-98.603386
1624000000,-7.9777932,-98.60553
1625000000,-7.9903965,-98.883659
1626000000,-8.0343781,-98.693924
1627000000,-8.0046415,-98.89447
1628000000,-8.0593529,-99.030945
1629000000,-8.0338297,-99.077896
1630000000,-8.0145931,-99.157219
1631000000,-8.0334501,-99.311256
1632000000,-8.0177727,-99.361
1633000000,-7.9972634,-99.433434
1634000000,-8.0234165,-99.401253
1635000000,-8.0160103,-99.456688
1636000000,-8.0356922,-99.676636
1637000000,-8.0240622,-99.492081
1638000000,-8.0212431,-99.869781
1639000000,-8.0486078,-99.98349
1640000000,-8.0343847,-100.06062
1641000000,-8.0372009,-99.92836
1642000000,-8.0463552,-100.0822
1643000000,-8.0586929,-100.19479
1644000000,-8.0460329,-100.24711
1645000000,-8.0716867,-100.30081
1646000000,-8.0678244,-100.56566
1647000000,-8.043478,-100.52541
1648000000,-8.0524216,-100.56812
1649000000,-8.0822868,-100.74212
1650000000,-8.0712957,-100.75726
1651000000,-8.077035,-100.78496
1652000000,-8.077672,-100.97294
1653000000,-8.0838575,-101.02322
1654000000,-8.0807114,-101.14722
1655000000,-8.0864992,-101.23025
1656000000,-8.0858564,-101.16089
1657000000,-8.1274137,-101.2916
1658000000,-8.098278,-101.35239
1659000000,-8.086071,-101.40879
1660000000,-8.1068506,-101.65585
1661000000,-8.0949926,-101.45311
1662000000,-8.1166029,-101.85758
1663000000,-8.102272,-101.65898
1664000000,-8.1133223,-101.82595
1665000000,-8.0903769,-101.78874
1666000000,-8.1028452,-102.1769
1667000000,-8.1242619,-102.21006
1668000000,-8.1202002,-102.0276
1669000000,-8.1342964,-102.27052
1670000000,-8.169282,-102.51315
