"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1.061,-12.8392303664765,-3.42393200057677,-12.8686921193603,-3.40344004487919,-7.60925132791639,-13.0156534281754
1.062,-12.8439818035303,-3.42378481232417,-12.8740820899518,-3.40335539861057,-7.61358822302517,-13.0206962115953
1.063,-12.8487336519175,-3.42363770881127,-12.879475190111,-3.40327098090381,-7.61792406654683,-13.0257405028375
1.064,-12.8534859122384,-3.42349069043399,-12.884871414777,-3.40318679127925,-7.62225886126362,-13.0307862980935
1.065,-12.8582385851088,-3.423343757587,-12.8902707586922,-3.40310282925547,-7.62659260996926,-13.0358335933836
1.066,-12.8629916711595,-3.4231969106637,-12.8956732164028,-3.40301909434925,-7.63092531546878,-13.0408823845577
1.067,-12.8677451710365,-3.42305015005627,-12.9010787822587,-3.40293558607567,-7.63525698057849,-13.045932667295
1.068,-12.8724990854007,-3.42290347615562,-12.906487450414,-3.40285230394803,-7.63958760812596,-13.0509844371048
1.069,-12.8772534149281,-3.42275688935141,-12.9118992148273,-3.40276924747794,-7.64391720094987,-13.056037689326
1.07,-12.8820081603095,-3.42261039003204,-12.9173140692616,-3.40268641617532,-7.64824576190002,-13.0610924191283
1.071,-12.8867633222505,-3.42246397858467,-12.9227320072849,-3.4026038095484,-7.65257329383723,-13.0661486215116
1.072,-12.8915189014717,-3.42231765539521,-12.9281530222705,-3.40252142710372,-7.65689979963328,-13.0712062913068
1.073,-12.896274898708,-3.4221714208483,-12.9335771073968,-3.4024392683462,-7.66122528217087,-13.0762654231761
1.074,-12.9010313147092,-3.42202527532733,-12.9390042556482,-3.40235733277912,-7.66554974434352,-13.0813260116129
1.075,-12.9057881502396,-3.42187921921445,-12.9444344598149,-3.40227561990411,-7.66987318905553,-13.0863880509423
1.076,-12.910545406078,-3.42173325289053,-12.9498677124933,-3.40219412922124,-7.67419561922192,-13.0914515353216
1.077,-12.9153030830175,-3.42158737673523,-12.9553040060867,-3.40211286022897,-7.67851703776837,-13.0965164587401
1.078,-12.9200611818656,-3.4214415911269,-12.9607433328047,-3.40203181242418,-7.68283744763113,-13.1015828150199
1.079,-12.9248197034442,-3.42129589644269,-12.9661856846644,-3.40195098530221,-7.68715685175701,-13.1066505978158
1.08,-12.9295786485893,-3.42115029305846,-12.9716310534902,-3.40187037835687,-7.69147525310326,-13.1117198006161
1.081,-12.9343380181511,-3.42100478134885,-12.9770794309145,-3.40178999108043,-7.69579265463755,-13.1167904167423
1.082,-12.9390978129937,-3.42085936168721,-12.9825308083773,-3.40170982296365,-7.70010905933789,-13.1218624393497
1.083,-12.9438580339955,-3.42071403444567,-12.9879851771273,-3.40162987349581,-7.70442447019259,-13.126935861428
1.084,-12.9486186820486,-3.42056879999509,-12.9934425282219,-3.40155014216473,-7.70873889020016,-13.1320106758012
1.085,-12.953379758059,-3.42042365870509,-12.9989028525274,-3.40147062845675,-7.71305232236932,-13.137086875128
1.086,-12.9581412629465,-3.42027861094403,-13.0043661407195,-3.40139133185677,-7.71736476971885,-13.1421644519024
1.087,-12.9629031976448,-3.42013365707903,-13.0098323832837,-3.40131225184828,-7.72167623527761,-13.1472433984537
1.088,-12.967665563101,-3.41998879747597,-13.0153015705154,-3.40123338791334,-7.72598672208443,-13.1523237069471
1.089,-12.9724283602759,-3.41984403249947,-13.0207736925205,-3.40115473953265,-7.73029623318808,-13.1574053693838
1.09,-12.9771915901437,-3.4196993625129,-13.0262487392156,-3.4010763061855,-7.73460477164719,-13.1624883776017
1.091,-12.9819552536924,-3.41955478787838,-13.0317267003285,-3.40099808734985,-7.73891234053023,-13.1675727232754
1.092,-12.9867193519228,-3.41941030895682,-13.0372075653982,-3.40092008250228,-7.74321894291537,-13.1726583979165
1.093,-12.9914838858495,-3.41926592610784,-13.0426913237759,-3.40084229111809,-7.74752458189055,-13.1777453928747
1.094,-12.9962488565001,-3.41912163968985,-13.0481779646247,-3.40076471267123,-7.75182926055327,-13.182833699337
1.095,-13.0010142649154,-3.41897745006002,-13.0536674769206,-3.40068734663438,-7.7561329820107,-13.187923308329
1.096,-13.0057801121492,-3.41883335757426,-13.0591598494521,-3.40061019247894,-7.76043574937945,-13.193014210715
1.097,-13.0105463992683,-3.41868936258725,-13.0646550708216,-3.40053324967504,-7.76473756578564,-13.1981063971981
1.098,-13.0153131273527,-3.41854546545243,-13.0701531294448,-3.40045651769156,-7.76903843436481,-13.2031998583212
1.099,-13.020080297495,-3.41840166652203,-13.0756540135519,-3.40037999599618,-7.77333835826184,-13.2082945844665
1.1,-13.0248479108006,-3.41825796614702,-13.0811577111873,-3.40030368405535,-7.7776373406309,-13.2133905658568
1.101,-13.0296159683878,-3.41811436467714,-13.0866642102107,-3.40022758133434,-7.78193538463543,-13.2184877925552
1.102,-13.0343844713874,-3.41797086246089,-13.0921734982968,-3.40015168729721,-7.78623249344803,-13.223586254466
1.103,-13.0391534209427,-3.41782745984559,-13.0976855629364,-3.40007600140689,-7.79052867025046,-13.2286859413348
1.104,-13.0439228182097,-3.41768415717728,-13.1032003914363,-3.40000052312516,-7.79482391823353,-13.2337868427488
1.105,-13.0486926643566,-3.4175409548008,-13.1087179709201,-3.39992525191268,-7.79911824059709,-13.2388889481375
1.106,-13.0534629605643,-3.41739785305976,-13.1142382883282,-3.39985018722896,-7.80341164054996,-13.2439922467732
1.107,-13.0582337080255,-3.41725485229655,-13.1197613304187,-3.39977532853248,-7.80770412130986,-13.249096727771
1.108,-13.0630049079455,-3.41711195285235,-13.1252870837676,-3.39970067528058,-7.81199568610339,-13.2542023800893
1.109,-13.0677765615415,-3.41696915506712,-13.1308155347691,-3.39962622692958,-7.81628633816593,-13.2593091925307
1.11,-13.0725486700428,-3.41682645927958,-13.1363466696365,-3.39955198293475,-7.82057608074164,-13.2644171537418
1.111,-13.0773212346907,-3.41668386582729,-13.1418804744022,-3.39947794275032,-7.82486491708336,-13.269526252214
1.112,-13.0820942567384,-3.41654137504655,-13.1474169349183,-3.39940410582951,-7.82915285045258,-13.2746364762838
1.113,-13.086867737451,-3.41639898727248,-13.1529560368571,-3.39933047162457,-7.83343988411939,-13.2797478141335
1.114,-13.0916416781051,-3.416256702839,-13.1584977657117,-3.39925703958674,-7.83772602136242,-13.2848602537911
1.115,-13.0964160799892,-3.41611452207881,-13.1640421067961,-3.39918380916632,-7.84201126546878,-13.2899737831312
1.116,-13.1011909444033,-3.41597244532341,-13.1695890452462,-3.39911077981268,-7.84629561973402,-13.2950883898754
1.117,-13.1059662726589,-3.41583047290312,-13.1751385660197,-3.39903795097423,-7.85057908746208,-13.3002040615926
1.118,-13.110742066079,-3.41568860514706,-13.180690653897,-3.3989653220985,-7.85486167196522,-13.3053207856996
1.119,-13.115518325998,-3.41554684238315,-13.1862452934816,-3.39889289263212,-7.85914337656401,-13.3104385494612
1.12,-13.1202950537614,-3.41540518493811,-13.1918024692004,-3.39882066202083,-7.86342420458721,-13.3155573399914
1.121,-13.125072250726,-3.41526363313753,-13.1973621653046,-3.39874862970953,-7.8677041593718,-13.320677144253
1.122,-13.1298499182598,-3.41512218730575,-13.2029243658696,-3.39867679514228,-7.87198324426284,-13.3257979490587
1.123,-13.1346280577417,-3.41498084776596,-13.2084890547961,-3.3986051577623,-7.87626146261352,-13.3309197410714
1.124,-13.1394066705618,-3.41483961484018,-13.2140562158103,-3.39853371701202,-7.88053881778503,-13.3360425068044
1.125,-13.1441857581209,-3.41469848884926,-13.2196258324646,-3.39846247233305,-7.88481531314653,-13.3411662326224
1.126,-13.1489653218305,-3.41455747011286,-13.2251978881378,-3.39839142316627,-7.88909095207514,-13.3462909047415
1.127,-13.1537453631131,-3.41441655894948,-13.2307723660359,-3.39832056895176,-7.89336573795582,-13.35141650923
1.128,-13.1585258834017,-3.41427575567647,-13.2363492491927,-3.39824990912889,-7.8976396741814,-13.3565430320087
1.129,-13.16330688414,-3.41413506061,-13.2419285204699,-3.3981794431363,-7.90191276415245,-13.3616704588515
1.13,-13.1680883667819,-3.41399447406509,-13.2475101625581,-3.39810917041192,-7.9061850112773,-13.366798775386
1.131,-13.172870332792,-3.41385399635562,-13.2530941579771,-3.398039090393,-7.91045641897195,-13.3719279670936
1.132,-13.1776527836451,-3.41371362779432,-13.2586804890766,-3.3979692025161,-7.91472699066004,-13.3770580193105
1.133,-13.1824357208262,-3.41357336869275,-13.2642691380366,-3.39789950621714,-7.9189967297728,-13.3821889172279
1.134,-13.1872191458307,-3.41343321936135,-13.2698600868679,-3.39783000093141,-7.92326563974899,-13.3873206458927
1.135,-13.1920030601637,-3.41329318010942,-13.275453317413,-3.39776068609356,-7.92753372403486,-13.3924531902077
1.136,-13.1967874653406,-3.41315325124512,-13.281048811346,-3.39769156113764,-7.93180098608412,-13.3975865349325
1.137,-13.2015723628865,-3.41301343307548,-13.2866465501741,-3.39762262549713,-7.93606742935785,-13.4027206646838
1.138,-13.2063577543366,-3.4128737259064,-13.2922465152373,-3.39755387860493,-7.9403330573245,-13.407855563936
1.139,-13.2111436412356,-3.41273413004268,-13.2978486877095,-3.39748531989338,-7.94459787345981,-13.4129912170217
1.14,-13.215930025138,-3.41259464578798,-13.3034530485987,-3.39741694879431,-7.9488618812468,-13.4181276081321
1.141,-13.2207169076079,-3.41245527344485,-13.3090595787481,-3.39734876473899,-7.95312508417566,-13.423264721318
1.142,-13.2255042902186,-3.41231601331472,-13.314668258836,-3.39728076715824,-7.95738748574377,-13.4284025404895
1.143,-13.2302921745533,-3.41217686569794,-13.3202790693771,-3.39721295548235,-7.96164908945563,-13.4335410494175
1.144,-13.2350805622041,-3.41203783089375,-13.3258919907226,-3.39714532914117,-7.9659098988228,-13.4386802317335
1.145,-13.2398694547725,-3.41189890920029,-13.3315070030608,-3.39707788756409,-7.97016991736387,-13.4438200709306
1.146,-13.2446588538693,-3.41176010091458,-13.337124086418,-3.39701063018007,-7.97442914860441,-13.4489605503637
1.147,-13.2494487611141,-3.41162140633261,-13.3427432206591,-3.39694355641766,-7.97868759607693,-13.4541016532505
1.148,-13.2542391781357,-3.41148282574925,-13.3483643854877,-3.39687666570501,-7.98294526332083,-13.4592433626716
1.149,-13.2590301065717,-3.41134435945829,-13.3539875604473,-3.39680995746988,-7.98720215388236,-13.4643856615711
1.15,-13.2638215480683,-3.41120600775245,-13.3596127249217,-3.39674343113966,-7.99145827131456,-13.4695285327576
1.151,-13.2686135042809,-3.41106777092341,-13.3652398581354,-3.39667708614141,-7.99571361917724,-13.4746719589043
1.152,-13.2734059768732,-3.41092964926173,-13.3708689391546,-3.39661092190187,-7.99996820103693,-13.4798159225499
1.153,-13.2781989675174,-3.41079164305696,-13.3764999468876,-3.39654493784742,-8.00422202046681,-13.4849604060987
1.154,-13.2829924778943,-3.41065375259757,-13.3821328600855,-3.39647913340419,-8.00847508104671,-13.4901053918217
1.155,-13.2877865096931,-3.410515978171,-13.3877676573427,-3.39641350799803,-8.01272738636303,-13.4952508618569
1.156,-13.2925810646111,-3.41037832006364,-13.3934043170977,-3.39634806105449,-8.01697894000871,-13.50039679821
1.157,-13.297376144354,-3.41024077856081,-13.3990428176338,-3.3962827919989,-8.02122974558321,-13.5055431827547
1.158,-13.3021717506353,-3.41010335394684,-13.4046831370794,-3.39621770025637,-8.0254798066924,-13.5106899972338
1.159,-13.3069678851769,-3.40996604650501,-13.4103252534091,-3.39615278525179,-8.02972912694861,-13.5158372232592
1.16,-13.3117645497082,-3.40982885651758,-13.4159691444439,-3.39608804640987,-8.03397770997051,-13.5209848423129
1.161,-13.3165617459668,-3.40969178426579,-13.4216147878523,-3.3960234831551,-8.03822555938313,-13.5261328357474
1.162,-13.3213594756977,-3.40955483002987,-13.4272621611505,-3.39595909491187,-8.04247267881774,-13.5312811847864
1.163,-13.3261577406538,-3.40941799408905,-13.4329112417035,-3.39589488110439,-8.04671907191191,-13.5364298705254
1.164,-13.3309565425955,-3.40928127672153,-13.4385620067255,-3.39583084115675,-8.05096474230936,-13.5415788739322
1.165,-13.3357558832904,-3.40914467820457,-13.4442144332806,-3.39576697449294,-8.05520969366002,-13.5467281758473
1.166,-13.3405557645138,-3.40900819881437,-13.4498684982834,-3.39570328053687,-8.0594539296199,-13.5518777569853
1.167,-13.3453561880481,-3.4088718388262,-13.4555241784999,-3.39563975871233,-8.06369745385114,-13.5570275979344
