Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1525000000,-7.7088861,-90.508835
1526000000,-7.6928473,-90.559517
1527000000,-7.7170205,-90.615082
1528000000,-7.729218,-90.546982
1529000000,-7.709136,-90.882576
1530000000,-7.7200494,-90.777847
1531000000,-7.7242222,-90.995567
1532000000,-7.7340426,-90.926422
1533000000,-7.7278371,-90.915367
1534000000,-7.7133803,-91.039032
1535000000,-7.7429709,-91.21611
1536000000,-7.7187891,-91.557556
1537000000,-7.7270203,-91.425217
1538000000,-7.7407117,-91.40419
1539000000,-7.7562575,-91.369858
1540000000,-7.7407699,-91.518623
1541000000,-7.7600384,-91.795998
1542000000,-7.74897,-91.659279
1543000000,-7.7456946,-91.893387
1544000000,-7.7460823,-92.014412
1545000000,-7.779923,-92.234665
1546000000,-7.7340541,-92.017548
1547000000,-7.7804408,-92.285622
1548000000,-7.7606406,-91.971397
1549000000,-7.7695494,-92.224236
1550000000,-7.8078074,-92.447662
1551000000,-7.7662625,-92.569839
1552000000,-7.779552,-92.598976
1553000000,-7.7722101,-92.39431
1554000000,-7.7695761,-92.434586
1555000000,-7.7642879,-92.744888
1556000000,-7.7810416,-92.769371
1557000000,-7.8067656,-93.108543
1558000000,-7.8041916,-93.03447
1559000000,-7.7873316,-92.839348
1560000000,-7.7957678,-93.079948
1561000000,-7.796906,-93.048744
1562000000,-7.8117104,-93.439621
1563000000,-7.8332958,-93.357033
1564000000,-7.7980342,-93.297394
1565000000,-7.8224974,-93.543205
1566000000,-7.8172035,-93.401131
1567000000,-7.803915,-93.586945
1568000000,-7.8201771,-93.646835
1569000000,-7.8459544,-93.840828
1570000000,-7.8141084,-93.86869
1571000000,-7.8208284,-93.935036
1572000000,-7.8073511,-93.908241
1573000000,-7.8470745,-94.231972
1574000000,-7.8348131,-94.008255
1575000000,-7.8287501,-94.291512
1576000000,-7.8326244,-94.227669
1577000000,-7.8386555,-94.529137
1578000000,-7.8597822,-94.398567
1579000000,-7.8793902,-94.420464
1580000000,-7.863718,-94.715614
1581000000,-7.8373342,-94.731171
1582000000,-7.8778048,-94.821899
1583000000,-7.8395576,-94.763435
1584000000,-7.8734264,-95.130318
1585000000,-7.8708377,-94.964081
1586000000,-7.8911014,-95.233246
1587000000,-7.869669,-95.130104
1588000000,-7.9001932,-95.228157
1589000000,-7.8815393,-95.44384
1590000000,-7.8942494,-95.521156
1591000000,-7.914145,-95.470261
1592000000,-7.8956537,-95.661613
1593000000,-7.8825741,-95.639725
1594000000,-7.8897157,-95.644585
1595000000,-7.918366,-96.020454
1596000000,-7.925983,-95.945267
1597000000,-7.9365492,-95.9366
1598000000,-7.9194989,-96.007889
1599000000,-7.9341044,-95.952019
1600000000,-7.912569,-96.298309
1601000000,-7.9030175,-96.472832
1602000000,-7.927227,-96.40136
1603000000,-7.9551907,-96.498955
1604000000,-7.94136,-96.679871
1605000000,-7.9261336,-96.46431
1606000000,-7.9606133,-96.838577
1607000000,-7.9649744,-96.645897
1608000000,-7.943821,-96.668152
1609000000,-7.9454479,-97.124359
1610000000,-7.9817595,-97.047737
1611000000,-7.9528956,-96.971588
1612000000,-7.9839764,-97.181213
1613000000,-7.9715052,-97.227669
1614000000,-7.9861469,-97.294495
1615000000,-7.9551535,-97.189972
1616000000,-7.9924293,-97.205406
1617000000,-7.9647665,-97.477158
1618000000,-8.0019379,-97.608177
1619000000,-7.9774451,-97.685638
1620000000,-7.9903092,-98.008644
1621000000,-7.9816151,-97.802063
1622000000,-7.9975653,-97.804382
1623000000,-7.9762011,-98.103683
1624000000,-7.9891338,-98.191467
1625000000,-8.0049162,-98.140495
