"Freq [GHz]","dB(S(1,1)) [] - line_width='1mm' reflect_length='10mm'","dB(S(1,1)) [] - line_width='3.09mm' reflect_length='15mm'"
1.133,-0.0779617817419857,-0.140358378310209
1.134,-0.078018633478843,-0.14044537899169
1.135,-0.0780753624865719,-0.140532141841096
1.136,-0.0781319691358448,-0.140618668090444
1.137,-0.0781884537967739,-0.140704958967014
1.138,-0.0782448168389228,-0.140791015693387
1.139,-0.0783010586312761,-0.140876839487446
1.14,-0.0783571795422766,-0.140962431562394
1.141,-0.0784131799397952,-0.141047793126772
1.142,-0.0784690601911427,-0.14113292538447
1.143,-0.0785248206630582,-0.14121782953475
1.144,-0.0785804617217215,-0.141302506772254
1.145,-0.0786359837327414,-0.141386958287016
1.146,-0.0786913870611578,-0.141471185264489
1.147,-0.0787466720714469,-0.141555188885552
1.148,-0.0788018391275035,-0.141638970326525
1.149,-0.0788568885926575,-0.141722530759183
1.15,-0.0789118208296641,-0.141805871350777
1.151,-0.0789666362007045,-0.141888993264043
1.152,-0.0790213350673844,-0.141971897657215
1.153,-0.0790759177907314,-0.142054585684046
1.154,-0.0791303847311992,-0.142137058493825
1.155,-0.0791847362486557,-0.142219317231368
1.156,-0.0792389727023977,-0.142301363037075
1.157,-0.0792930944511406,-0.142383197046903
1.158,-0.0793471018530095,-0.142464820392403
1.159,-0.0794009952655547,-0.142546234200731
1.16,-0.0794547750457418,-0.142627439594652
1.161,-0.0795084415499489,-0.142708437692567
1.162,-0.079561995133975,-0.142789229608533
1.163,-0.0796154361530237,-0.142869816452245
1.164,-0.0796687649617214,-0.142950199329089
1.165,-0.0797219819140923,-0.143030379340133
1.166,-0.0797750873635888,-0.143110357582145
1.167,-0.0798280816630592,-0.143190135147612
1.168,-0.0798809651647672,-0.143269713124749
1.169,-0.0799337382203848,-0.143349092597512
1.17,-0.0799864011809907,-0.14342827464562
1.171,-0.0800389543970708,-0.143507260344555
1.172,-0.0800913982185136,-0.143586050765593
1.173,-0.0801437329946166,-0.143664646975796
1.174,-0.0801959590740777,-0.143743050038053
1.175,-0.0802480768050031,-0.143821261011063
1.176,-0.080300086534901,-0.143899280949375
1.177,-0.0803519886106731,-0.143977110903383
1.178,-0.0804037833786355,-0.14405475191935
1.179,-0.080455471184498,-0.144132205039422
1.18,-0.0805070523733643,-0.144209471301626
1.181,-0.0805585272897488,-0.144286551739906
1.182,-0.08060989627756,-0.144363447384119
1.183,-0.0806611596800982,-0.144440159260054
1.184,-0.0807123178400668,-0.144516688389444
1.185,-0.0807633710995675,-0.144593035789986
1.186,-0.0808143198000941,-0.144669202475338
1.187,-0.0808651642825351,-0.144745189455154
1.188,-0.0809159048871726,-0.144820997735073
1.189,-0.0809665419536902,-0.144896628316753
1.19,-0.0810170758211533,-0.144972082197867
1.191,-0.0810675068280315,-0.145047360372131
1.192,-0.0811178353121822,-0.145122463829304
1.193,-0.0811680616108492,-0.145197393555205
1.194,-0.0812181860606735,-0.145272150531731
1.195,-0.0812682089976856,-0.145346735736863
1.196,-0.0813181307573072,-0.145421150144679
1.197,-0.0813679516743485,-0.145495394725369
1.198,-0.0814176720830056,-0.145569470445245
1.199,-0.081467292316867,-0.145643378266761
1.2,-0.0815168127089102,-0.145717119148514
1.201,-0.0815662335914969,-0.14579069404526
1.202,-0.0816155552963797,-0.145864103907933
1.203,-0.0816647781546933,-0.145937349683653
1.204,-0.0817139024969661,-0.146010432315729
1.205,-0.0817629286530991,-0.146083352743688
1.206,-0.0818118569523991,-0.146156111903276
1.207,-0.0818606877235347,-0.146228710726473
1.208,-0.0819094212945796,-0.146301150141506
1.209,-0.0819580579929796,-0.146373431072854
1.21,-0.0820065981455709,-0.146445554441276
1.211,-0.0820550420785656,-0.146517521163802
1.212,-0.0821033901175672,-0.146589332153762
1.213,-0.0821516425875578,-0.146660988320792
1.214,-0.0821997998129049,-0.146732490570842
1.215,-0.0822478621173556,-0.146803839806192
1.216,-0.0822958298240365,-0.14687503692546
1.217,-0.0823437032554641,-0.146946082823623
1.218,-0.0823914827335297,-0.147016978392019
1.219,-0.0824391685795085,-0.147087724518356
1.22,-0.0824867611140513,-0.147158322086733
1.221,-0.0825342606571996,-0.147228771977652
1.222,-0.0825816675283655,-0.14729907506802
1.223,-0.0826289820463438,-0.147369232231164
1.224,-0.0826762045293136,-0.147439244336845
1.225,-0.0827233352948298,-0.147509112251276
1.226,-0.0827703746598253,-0.147578836837111
1.227,-0.0828173229406121,-0.147648418953485
1.228,-0.0828641804528896,-0.147717859456
1.229,-0.0829109475117235,-0.147787159196751
1.23,-0.0829576244315669,-0.147856319024335
1.231,-0.0830042115262458,-0.14792533978386
1.232,-0.0830507091089707,-0.147994222316951
1.233,-0.0830971174923221,-0.148062967461777
1.234,-0.0831434369882713,-0.148131576053041
1.235,-0.083189667908154,-0.148200048922007
1.236,-0.0832358105626869,-0.148268386896505
1.237,-0.0832818652619693,-0.148336590800941
1.238,-0.0833278323154756,-0.148404661456307
1.239,-0.083373712032054,-0.148472599680198
1.24,-0.0834195047199365,-0.148540406286815
1.241,-0.0834652106867248,-0.148608082086984
1.242,-0.0835108302394084,-0.148675627888157
1.243,-0.0835563636843403,-0.148743044494427
1.244,-0.0836018113272624,-0.14881033270655
1.245,-0.0836471734732866,-0.148877493321929
1.246,-0.083692450426905,-0.148944527134652
1.247,-0.0837376424919827,-0.149011434935487
1.248,-0.0837827499717655,-0.149078217511895
1.249,-0.0838277731688752,-0.149144875648049
1.25,-0.0838727123853113,-0.149211410124829
1.251,-0.0839175679224473,-0.149277821719841
1.252,-0.0839623400810354,-0.149344111207432
1.253,-0.0840070291612052,-0.149410279358694
1.254,-0.0840516354624593,-0.149476326941473
1.255,-0.0840961592836847,-0.149542254720384
1.256,-0.084140600923136,-0.14960806345682
1.257,-0.0841849606784503,-0.149673753908954
1.258,-0.0842292388466431,-0.149739326831768
1.259,-0.0842734357241054,-0.149804782977044
1.26,-0.0843175516066005,-0.149870123093379
1.261,-0.084361586789275,-0.149935347926206
1.262,-0.0844055415666517,-0.150000458217785
1.263,-0.0844494162326299,-0.150065454707235
1.264,-0.0844932110804799,-0.150130338130523
1.265,-0.0845369264028639,-0.150195109220486
1.266,-0.0845805624918085,-0.150259768706841
1.267,-0.0846241196387263,-0.150324317316188
1.268,-0.0846675981344017,-0.150388755772022
1.269,-0.0847109982689983,-0.150453084794753
1.27,-0.0847543203320644,-0.150517305101699
1.271,-0.0847975646125132,-0.150581417407112
1.272,-0.0848407313986565,-0.150645422422166
1.273,-0.0848838209781624,-0.150709320854996
1.274,-0.0849268336380911,-0.15077311341068
1.275,-0.0849697696648798,-0.150836800791264
1.276,-0.0850126293443384,-0.150900383695773
1.277,-0.085055412961668,-0.150963862820207
1.278,-0.0850981208014375,-0.151027238857565
1.279,-0.0851407531475993,-0.151090512497845
1.28,-0.0851833102834881,-0.15115368442806
1.281,-0.0852257924918178,-0.151216755332239
1.282,-0.0852682000546772,-0.151279725891442
1.283,-0.0853105332535399,-0.151342596783781
1.284,-0.0853527923692648,-0.151405368684395
1.285,-0.0853949776820793,-0.151468042265504
1.286,-0.0854370894716036,-0.15153061819638
1.287,-0.0854791280168332,-0.151593097143374
1.288,-0.0855210935961475,-0.151655479769932
1.289,-0.0855629864873052,-0.151717766736583
1.29,-0.0856048069674487,-0.151779958700968
1.291,-0.0856465553131015,-0.151842056317838
1.292,-0.0856882318001737,-0.151904060239068
1.293,-0.0857298367039545,-0.151965971113666
1.294,-0.0857713702991139,-0.152027789587769
1.295,-0.0858128328597094,-0.152089516304681
1.296,-0.0858542246591834,-0.15215115190485
1.297,-0.0858955459703588,-0.152212697025897
1.298,-0.0859367970654403,-0.152274152302618
1.299,-0.0859779782160277,-0.152335518366993
1.3,-0.0860190896930901,-0.152396795848192
1.301,-0.0860601317669952,-0.152457985372601
1.302,-0.0861011047074946,-0.1525190875638
1.303,-0.0861420087837162,-0.152580103042592
1.304,-0.0861828442641842,-0.152641032427026
1.305,-0.0862236114168061,-0.152701876332363
1.306,-0.0862643105088725,-0.152762635371127
1.307,-0.0863049418070654,-0.152823310153089
1.308,-0.0863455055774547,-0.152883901285286
1.309,-0.0863860020854956,-0.152944409372024
1.31,-0.0864264315960323,-0.153004835014888
1.311,-0.086466794373299,-0.153065178812762
1.312,-0.0865070906809206,-0.153125441361813
1.313,-0.0865473207819045,-0.153185623255521
1.314,-0.0865874849386543,-0.153245725084681
1.315,-0.086627583412957,-0.153305747437401
1.316,-0.0866676164660009,-0.153365690899135
1.317,-0.0867075843583545,-0.153425556052663
1.318,-0.0867474873499903,-0.153485343478121
1.319,-0.0867873257002542,-0.153545053752989
1.32,-0.0868270996678974,-0.153604687452126
1.321,-0.0868668095110664,-0.153664245147754
1.322,-0.0869064554872856,-0.153723727409475
1.323,-0.0869460378534867,-0.153783134804279
1.324,-0.0869855568659936,-0.153842467896564
1.325,-0.087025012780512,-0.153901727248116
1.326,-0.0870644058521625,-0.153960913418142
1.327,-0.0871037363354424,-0.154020026963276
1.328,-0.0871430044842558,-0.154079068437569
1.329,-0.0871822105519003,-0.154138038392517
1.33,-0.0872213547910636,-0.154196937377058
1.331,-0.0872604374538383,-0.154255765937588
1.332,-0.0872994587917143,-0.154314524617957
1.333,-0.0873384190555705,-0.154373213959486
1.334,-0.0873773184956966,-0.154431834500971
1.335,-0.0874161573617713,-0.154490386778705
1.336,-0.0874549359028743,-0.154548871326457
1.337,-0.0874936543674908,-0.154607288675504
1.338,-0.0875323130034983,-0.154665639354631
1.339,-0.0875709120581795,-0.154723923890141
1.34,-0.0876094517782193,-0.154782142805856
1.341,-0.0876479324096989,-0.154840296623133
1.342,-0.0876863541981131,-0.154898385860866
1.343,-0.0877247173883377,-0.154956411035498
1.344,-0.0877630222246805,-0.155014372661026
1.345,-0.0878012689508262,-0.155072271249003
1.346,-0.0878394578098855,-0.155130107308563
1.347,-0.0878775890443559,-0.155187881346411
1.348,-0.0879156628961531,-0.155245593866835
1.349,-0.08795367960659,-0.155303245371722
