Freq(Hz),S11 50 Mag,S21 50 Mag,,S11 BSF Mag,S21 BSF Mag,,S11 BSF HFSS Mag,S21 BSF HFSS Mag,,S11 BSF Milled Mag,S21 BSF Milled Mag
1180000000,-21.300344,-0.38263559,,-15.026682,-0.4759165,,-20.68955377,-0.683132979,,-18.070816,-0.44830054
1181000000,-21.263226,-0.38470608,,-14.985007,-0.46475536,,-20.65616411,-0.684018478,,-18.056068,-0.43535471
1182000000,-21.243019,-0.36636403,,-14.969851,-0.4618901,,-20.62314456,-0.684903135,,-18.039421,-0.43930745
1183000000,-21.272129,-0.37273613,,-15.014564,-0.46172172,,-20.59049272,-0.685786918,,-18.170458,-0.43437618
1184000000,-21.244711,-0.39641142,,-15.001806,-0.49398804,,-20.55820625,-0.686669792,,-18.194551,-0.44562224
1185000000,-21.227114,-0.36342415,,-14.97893,-0.4790549,,-20.52628286,-0.687551728,,-18.207203,-0.44286904
1186000000,-21.209856,-0.37871337,,-14.979704,-0.47576827,,-20.4947203,-0.688432691,,-18.26531,-0.4506686
1187000000,-21.232248,-0.38390112,,-14.955007,-0.45257735,,-20.46351638,-0.689312649,,-18.268951,-0.45418608
1188000000,-21.2269,-0.41591358,,-14.941768,-0.49198169,,-20.43266894,-0.690191571,,-18.359953,-0.46109724
1189000000,-21.18416,-0.40148982,,-14.927745,-0.45414865,,-20.40217588,-0.691069425,,-18.319427,-0.43379384
1190000000,-21.204784,-0.40319306,,-14.966176,-0.50137746,,-20.37203514,-0.691946177,,-18.341286,-0.44639307
1191000000,-21.195063,-0.40235227,,-14.933095,-0.47193733,,-20.34224468,-0.692821797,,-18.318747,-0.44948298
1192000000,-21.178278,-0.38008836,,-14.941576,-0.47531202,,-20.31280255,-0.693696251,,-18.427845,-0.43552011
1193000000,-21.162186,-0.38751081,,-14.931617,-0.49828938,,-20.28370679,-0.69456951,,-18.377115,-0.43675131
1194000000,-21.147161,-0.37841201,,-14.910279,-0.47450995,,-20.25495553,-0.69544154,,-18.504829,-0.43140861
1195000000,-21.140127,-0.35674328,,-14.901871,-0.47317868,,-20.2265469,-0.69631231,,-18.491232,-0.44840267
1196000000,-21.145906,-0.39362162,,-14.863742,-0.46878749,,-20.1984791,-0.697181789,,-18.570589,-0.45712101
1197000000,-21.137316,-0.36768493,,-14.889425,-0.46085498,,-20.17075036,-0.698049945,,-18.608776,-0.44452429
1198000000,-21.138018,-0.37948364,,-14.893535,-0.46753284,,-20.14335893,-0.698916747,,-18.629816,-0.45100933
1199000000,-21.107931,-0.35992318,,-14.869904,-0.4600665,,-20.11630312,-0.699782164,,-18.599226,-0.42832059
1200000000,-21.136639,-0.39522845,,-14.898479,-0.49740264,,-20.08958127,-0.700646164,,-18.647507,-0.43182737
1201000000,-21.122833,-0.39210832,,-14.873096,-0.46494678,,-20.06319177,-0.701508717,,-18.769279,-0.46627703
1202000000,-21.129822,-0.37101373,,-14.916569,-0.46668172,,-20.03713302,-0.702369793,,-18.780672,-0.45733637
1203000000,-21.091524,-0.35645583,,-14.896728,-0.48010379,,-20.01140348,-0.703229359,,-18.834181,-0.42619607
1204000000,-21.10421,-0.38634193,,-14.911648,-0.49783978,,-19.98600164,-0.704087387,,-18.826769,-0.45627692
1205000000,-21.101608,-0.396781,,-14.869893,-0.48195148,,-19.96092601,-0.704943845,,-18.842804,-0.42578197
1206000000,-21.090408,-0.37852913,,-14.895438,-0.48306549,,-19.93617515,-0.705798702,,-18.963089,-0.44512597
1207000000,-21.072739,-0.38116163,,-14.852135,-0.50672019,,-19.91174764,-0.70665193,,-18.985888,-0.44322425
1208000000,-21.037596,-0.37974569,,-14.817629,-0.4688001,,-19.88764213,-0.707503497,,-19.04303,-0.43168592
1209000000,-21.026152,-0.39453784,,-14.847505,-0.49981961,,-19.86385724,-0.708353375,,-19.048317,-0.45561224
1210000000,-21.015057,-0.3794919,,-14.805654,-0.46453172,,-19.84039169,-0.709201533,,-19.149979,-0.44309208
1211000000,-21.063797,-0.3874656,,-14.851278,-0.48896912,,-19.81724418,-0.710047941,,-19.216835,-0.44890881
1212000000,-21.006372,-0.39529312,,-14.80717,-0.49109352,,-19.79441347,-0.710892571,,-19.189045,-0.44807139
1213000000,-20.999228,-0.3643682,,-14.823211,-0.46557668,,-19.77189834,-0.711735393,,-19.264175,-0.44414201
1214000000,-21.00061,-0.39980954,,-14.807949,-0.50121391,,-19.74969761,-0.712576378,,-19.343946,-0.45006713
1215000000,-21.030899,-0.39021981,,-14.836147,-0.48437062,,-19.72781012,-0.713415497,,-19.380505,-0.46442476
1216000000,-21.044594,-0.38095647,,-14.877946,-0.47659191,,-19.70623475,-0.714252722,,-19.360842,-0.45204246
1217000000,-21.011675,-0.39679125,,-14.808582,-0.46766004,,-19.68497041,-0.715088023,,-19.455421,-0.4607698
1218000000,-20.982197,-0.38081476,,-14.81587,-0.47085264,,-19.66401602,-0.715921373,,-19.517076,-0.46264404
1219000000,-20.955833,-0.392959,,-14.813428,-0.5049364,,-19.64337055,-0.716752743,,-19.468838,-0.4174571
1220000000,-20.968546,-0.40083265,,-14.801715,-0.51106006,,-19.62303299,-0.717582105,,-19.643276,-0.43791327
1221000000,-20.947994,-0.38871714,,-14.824099,-0.5001694,,-19.60300237,-0.718409431,,-19.588388,-0.44492391
