Freq(Hz),S11 50 Phase,S21 50 Phase,,S11 BSF Phase,S21 BSF Phase,,S11 BSF Milled Phase,S21 BSF Milled Phase
1236000000,-118.77116,169.716,,-150.4169,135.87485,,172.86137,84.785164
1237000000,-119.11767,169.50787,,-150.25066,135.86719,,172.10429,84.644211
1238000000,-119.38763,169.30652,,-150.71959,135.59369,,172.15652,84.225258
1239000000,-119.54003,169.21042,,-150.64989,135.39989,,171.60605,83.964432
1240000000,-119.82126,169.0656,,-151.13765,135.06293,,171.09126,83.593239
1241000000,-120.17429,168.71634,,-151.20773,134.93843,,171.19391,83.439224
1242000000,-120.37981,168.6535,,-151.27536,134.6837,,171.0399,83.221054
1243000000,-120.70414,168.5488,,-151.28151,134.67557,,170.80643,82.977463
1244000000,-120.87257,168.27309,,-151.57542,134.30586,,170.48665,82.647957
1245000000,-121.14713,168.20096,,-151.68095,134.16505,,169.88252,82.243156
1246000000,-121.33401,168.15317,,-151.73065,134.08749,,170.22462,82.288361
1247000000,-121.35065,167.96304,,-151.74799,133.79312,,170.01616,81.974876
1248000000,-121.88843,167.72173,,-151.80998,133.75838,,169.70667,81.639671
1249000000,-122.17845,167.77565,,-152.00708,133.67337,,169.70996,81.419151
1250000000,-122.26859,167.52975,,-152.12024,133.49643,,169.84105,81.224854
1251000000,-122.76299,167.38318,,-152.62619,133.16582,,169.45441,80.878105
1252000000,-123.00774,167.18558,,-152.56068,132.99484,,168.957,80.533585
1253000000,-123.16984,167.19002,,-152.8465,132.69841,,168.59149,80.237213
1254000000,-123.32629,166.97758,,-152.78366,132.71634,,168.24071,80.123268
1255000000,-123.90799,166.82288,,-153.08479,132.5351,,168.22102,79.84848
1256000000,-123.88246,166.80888,,-153.26474,132.21584,,167.32481,79.486511
1257000000,-124.45972,166.51907,,-153.30518,132.12743,,168.2749,79.262337
1258000000,-124.37922,166.45067,,-153.30664,131.82768,,167.84967,79.074196
1259000000,-125.19869,166.06247,,-154.07613,131.63371,,167.78378,78.793282
1260000000,-125.26431,165.93935,,-153.98032,131.27312,,167.73132,78.692917
1261000000,-125.3783,165.74355,,-153.77663,131.25845,,167.40019,78.303574
1262000000,-125.81076,165.61746,,-154.28217,130.98932,,166.8316,77.907249
1263000000,-125.78472,165.57829,,-153.81677,131.05605,,167.04608,77.989296
1264000000,-126.25456,165.30446,,-154.39171,130.58073,,166.48767,77.554237
1265000000,-126.3073,165.35823,,-154.32346,130.53191,,167.1873,77.141045
1266000000,-126.65246,165.27318,,-154.56923,130.40816,,165.6347,76.90876
1267000000,-127.2,164.79048,,-154.978,129.95761,,164.94948,76.572746
1268000000,-127.05455,164.91435,,-154.71089,129.97678,,166.20523,76.552139
1269000000,-127.59808,164.60272,,-155.06146,129.7281,,164.84445,76.225052
1270000000,-127.80623,164.39865,,-155.1463,129.49948,,165.77057,75.869484
1271000000,-127.87893,164.39853,,-155.03357,129.43956,,164.69797,75.579987
1272000000,-128.14095,164.21004,,-155.2775,129.14418,,165.72546,75.30751
1273000000,-128.45384,163.96976,,-155.36975,129.02687,,164.48442,75.013756
1274000000,-128.90552,163.75226,,-155.58275,128.72133,,165.14574,74.846413
1275000000,-129.09981,163.61293,,-155.73225,128.39874,,164.81975,74.390312
1276000000,-129.31709,163.34283,,-155.89537,128.24875,,164.5118,74.301544
1277000000,-129.94594,163.16484,,-156.06802,128.07039,,164.49896,74.094452
1278000000,-129.81386,163.22127,,-156.17043,127.90038,,163.85123,73.793648
1279000000,-130.03917,162.99232,,-156.15421,127.7402,,162.69264,73.319969
1280000000,-130.26227,162.80254,,-155.89577,127.61897,,164.06438,73.372849
1281000000,-130.79396,162.69077,,-156.63271,127.3336,,163.68529,72.961288
1282000000,-131.00113,162.69646,,-156.46832,127.47815,,163.21393,72.653084
1283000000,-131.32388,162.37292,,-156.82486,126.96301,,163.5211,72.332947
1284000000,-131.44815,162.24464,,-156.69707,126.89542,,163.30292,72.345001
1285000000,-131.75562,161.89334,,-157.07729,126.35896,,162.58615,72.006256
1286000000,-132.15829,161.95943,,-157.09097,126.45938,,163.72766,71.404716
1287000000,-132.42903,161.82112,,-157.40141,126.16276,,163.00581,71.231491
1288000000,-132.63405,161.63649,,-157.58705,125.93656,,162.81998,71.19413
1289000000,-132.83167,161.50609,,-157.62778,125.74194,,162.60397,70.715958
1290000000,-133.13269,161.41728,,-157.74069,125.68073,,163.51233,70.496002
1291000000,-133.44537,161.1171,,-157.71777,125.51521,,163.78944,70.321846
1292000000,-133.56064,161.07404,,-158.19202,125.17548,,160.53505,69.930099
1293000000,-133.74573,160.9899,,-158.03001,125.08455,,163.37463,69.792976
1294000000,-133.86607,160.7845,,-157.94998,124.85679,,162.47887,69.325981
1295000000,-134.52444,160.41022,,-158.08281,124.77697,,163.05042,69.081657
1296000000,-134.54308,160.39116,,-158.38141,124.43502,,162.24768,68.961403
1297000000,-134.34923,160.30023,,-157.8429,124.20767,,163.38446,68.628159
1298000000,-134.97519,160.23625,,-158.36545,124.28837,,163.23514,68.057899
1299000000,-135.66383,159.81656,,-158.8307,123.84331,,163.93141,68.031937
1300000000,-135.64836,159.82521,,-158.70419,123.69866,,162.49947,67.861
1301000000,-136.08528,159.60432,,-158.88403,123.55602,,161.03461,67.465965
1302000000,-136.38744,159.54022,,-159.10417,123.50564,,161.32738,67.320526
1303000000,-136.48239,159.42287,,-159.17284,123.22887,,166.25793,66.974037
1304000000,-136.90819,159.29413,,-159.36209,122.97344,,165.31296,66.599716
1305000000,-136.78105,159.19141,,-158.88338,122.94099,,167.25708,66.434692
1306000000,-137.62727,158.81165,,-159.76323,122.53159,,164.70224,66.264374
1307000000,-137.78906,158.75386,,-159.69009,122.4327,,168.72575,65.918579
1308000000,-137.74644,158.59161,,-159.53903,122.17549,,167.63844,65.694359
1309000000,-138.11313,158.50345,,-159.74339,121.99847,,168.29337,65.302177
1310000000,-138.20528,158.31949,,-159.59972,121.89598,,164.47881,65.064362
1311000000,-138.76773,157.91878,,-159.86972,121.49034,,169.33011,64.720741
1312000000,-138.97156,158.08975,,-160.04161,121.4726,,171.1631,64.520866
1313000000,-139.1667,157.73047,,-159.92052,121.38393,,171.55145,64.494049
1314000000,-139.53114,157.66525,,-160.15128,121.11803,,-179.55115,64.064522
1315000000,-139.98566,157.53955,,-160.66751,120.95621,,-172.92719,63.804901
1316000000,-139.89143,157.35828,,-160.3038,120.60635,,-172.18874,63.466206
1317000000,-140.31975,157.24776,,-160.43712,120.65663,,-166.63893,63.093784
1318000000,-140.51608,157.03145,,-160.52,120.26978,,-157.94661,62.769062
1319000000,-141.19284,156.73824,,-160.86589,120.04696,,-137.5777,62.43795
1320000000,-141.26268,156.71664,,-161.0631,119.88649,,-133.61467,62.163506
1321000000,-141.69221,156.56976,,-161.38412,119.56405,,-117.84573,61.988064
1322000000,-141.84308,156.31857,,-161.11679,119.52136,,-100.27146,61.845573
1323000000,-142.18204,156.36107,,-161.57828,119.23186,,-90.976799,61.411678
1324000000,-142.27228,156.28481,,-161.40042,119.11186,,-75.738083,61.104862
1325000000,-142.655,155.94125,,-161.6709,118.80288,,-70.133835,60.930908
1326000000,-142.85883,155.81355,,-161.69054,118.69296,,-65.831635,60.665249
1327000000,-143.34026,155.79771,,-162.0799,118.53565,,-61.450825,60.449749
1328000000,-143.49385,155.48851,,-161.85771,118.30611,,-59.722252,60.057655
1329000000,-143.46156,155.46335,,-161.77394,118.18412,,-57.648697,59.918831
1330000000,-143.93227,155.36845,,-162.16985,117.99403,,-57.1409,59.431545
1331000000,-144.39937,155.00261,,-162.25589,117.69672,,-51.674313,59.039959
1332000000,-144.38223,154.81073,,-162.01688,117.63713,,-53.004288,58.821991
1333000000,-144.98877,154.64081,,-162.32072,117.33384,,-52.28759,58.753288
1334000000,-145.28685,154.62318,,-162.84106,117.14119,,-50.283447,58.255341
1335000000,-145.81052,154.33487,,-162.78558,116.83757,,-49.979343,58.124187
1336000000,-145.81509,154.35847,,-162.78882,116.85841,,-48.147011,57.851089
1337000000,-146.06143,154.08446,,-162.75952,116.49449,,-51.161079,57.557049
1338000000,-146.20285,154.00154,,-162.74779,116.44419,,-47.405392,57.342117
1339000000,-146.49792,153.97139,,-163.04018,116.12057,,-47.477043,56.876022
1340000000,-146.82817,153.57211,,-163.14769,115.82227,,-48.563305,56.826023
