Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),,S11 BSF HFSS Mag,S21 BSF HFSS Mag
1250000000,-14.815001,-0.49889633,,-19.15220454,-0.741398839
1251000000,-14.800378,-0.48628232,,-19.14105937,-0.742153227
1252000000,-14.823255,-0.52361536,,-19.13020381,-0.742904829
1253000000,-14.828709,-0.48480695,,-19.11963768,-0.743653626
1254000000,-14.814548,-0.50666803,,-19.10936084,-0.744399596
1255000000,-14.787147,-0.50387239,,-19.09937318,-0.745142722
1256000000,-14.813925,-0.49225828,,-19.08967459,-0.745882984
1257000000,-14.798113,-0.49771208,,-19.08026502,-0.746620363
1258000000,-14.812022,-0.48188841,,-19.0711444,-0.747354842
1259000000,-14.84008,-0.50064522,,-19.06231273,-0.748086401
1260000000,-14.828483,-0.52766836,,-19.05376999,-0.748815024
1261000000,-14.876214,-0.50278854,,-19.04551621,-0.749540693
1262000000,-14.820162,-0.47748399,,-19.03755143,-0.750263392
1263000000,-14.846672,-0.50344592,,-19.02987574,-0.750983102
1264000000,-14.85463,-0.4726643,,-19.02248922,-0.751699808
1265000000,-14.833495,-0.5197376,,-19.015392,-0.752413495
1266000000,-14.848627,-0.50377816,,-19.00858421,-0.753124146
1267000000,-14.873281,-0.51042265,,-19.00206602,-0.753831746
1268000000,-14.846838,-0.51836258,,-18.99583763,-0.75453628
1269000000,-14.901568,-0.51361763,,-18.98989924,-0.755237734
1270000000,-14.895582,-0.51999414,,-18.98425111,-0.755936094
1271000000,-14.902015,-0.53277588,,-18.97889349,-0.756631346
1272000000,-14.890156,-0.50205648,,-18.97382666,-0.757323476
1273000000,-14.89347,-0.50515485,,-18.96905096,-0.758012471
1274000000,-14.844124,-0.48206154,,-18.9645667,-0.758698319
1275000000,-14.930813,-0.47721875,,-18.96037425,-0.759381007
1276000000,-14.902581,-0.50104398,,-18.95647401,-0.760060524
1277000000,-14.865224,-0.49084568,,-18.95286637,-0.760736858
1278000000,-14.907252,-0.49067426,,-18.94955179,-0.761409998
1279000000,-14.90357,-0.49204683,,-18.94653072,-0.762079934
1280000000,-14.882638,-0.48799083,,-18.94380365,-0.762746654
1281000000,-14.953801,-0.49600321,,-18.9413711,-0.76341015
1282000000,-15.016441,-0.52143866,,-18.9392336,-0.764070412
1283000000,-14.960467,-0.49405417,,-18.93739173,-0.764727431
1284000000,-14.980632,-0.49804446,,-18.93584606,-0.765381198
1285000000,-14.971097,-0.51856512,,-18.93459723,-0.766031705
1286000000,-14.996399,-0.4849737,,-18.93364589,-0.766678945
1287000000,-14.987022,-0.49224553,,-18.93299269,-0.76732291
1288000000,-14.990498,-0.51152205,,-18.93263834,-0.767963593
1289000000,-14.968986,-0.49509338,,-18.93258357,-0.768600988
1290000000,-14.999864,-0.49060935,,-18.93282913,-0.769235089
1291000000,-15.04917,-0.50303751,,-18.93337581,-0.769865891
1292000000,-15.067399,-0.50675344,,-18.93422442,-0.770493389
1293000000,-15.041121,-0.50091934,,-18.93537578,-0.771117577
1294000000,-15.088427,-0.49358639,,-18.93683079,-0.771738452
1295000000,-15.018962,-0.476565,,-18.93859032,-0.772356011
