frequency, S11, S21,, S22, S12
1226990336,-10.00947119,-0.740223744,,-10.03441165,-0.740223744
1227990272,-10.00270751,-0.741282196,,-10.02757503,-0.741285406
1228990208,-9.995950826,-0.742343328,,-10.02072928,-0.742342044
1229990144,-9.989202751,-0.743406499,,-10.01389957,-0.743406499
1230990080,-9.982461652,-0.744468499,,-10.00708101,-0.74446593
1231990016,-9.975726712,-0.745529969,,-10.00026304,-0.745531896
1232989952,-9.968991458,-0.746590268,,-9.993455385,-0.746594121
1233989888,-9.962276879,-0.74765646,,-9.986649934,-0.747653248
1234989824,-9.955557934,-0.748717626,,-9.979855579,-0.748716341
1235989760,-9.9488435,-0.74978276,,-9.97305695,-0.749783402
1236989696,-9.94214968,-0.750844794,,-9.96627828,-0.750846079
1237989632,-9.935447459,-0.751912082,,-9.959506623,-0.751912082
1238989568,-9.928760989,-0.752977557,,-9.952723422,-0.752978199
1239989504,-9.922074967,-0.754045715,,-9.945966574,-0.75404443
1240989440,-9.915402249,-0.755108203,,-9.939211068,-0.755108203
1241989376,-9.908728361,-0.756181089,,-9.932460927,-0.75617916
1242989312,-9.902066946,-0.757251518,,-9.925720164,-0.757247661
1243989248,-9.895413173,-0.758316919,,-9.918982335,-0.758318205
1244989184,-9.88876142,-0.75938822,,-9.912249846,-0.759386291
1245989120,-9.882109286,-0.760460279,,-9.905533923,-0.760458993
1246989056,-9.875471174,-0.761530524,,-9.898801658,-0.761524735
1247988992,-9.868840665,-0.762601526,,-9.892094758,-0.762599596
1248988928,-9.862212151,-0.763675217,,-9.885391552,-0.763672643
1249988864,-9.855590424,-0.764747092,,-9.878692837,-0.764744519
1250988800,-9.848977069,-0.76582037,,-9.871996207,-0.765818439
1251988736,-9.842370477,-0.766892475,,-9.865304058,-0.766891832
1252988672,-9.835772231,-0.767965983,,-9.858620379,-0.767966627
1253988608,-9.829172761,-0.769042181,,-9.851946751,-0.769042824
1254988544,-9.822581623,-0.770118494,,-9.845280764,-0.770118494
1255988480,-9.816000394,-0.771197499,,-9.83862161,-0.77119428
1256988416,-9.809417929,-0.772272757,,-9.831960514,-0.772275333
1257988352,-9.802847738,-0.773355858,,-9.825315793,-0.773353282
1258988288,-9.796273922,-0.774433924,,-9.818666734,-0.774431992
1259988224,-9.789718704,-0.775513395,,-9.812032427,-0.775513395
1260988160,-9.783160646,-0.776593626,,-9.805395369,-0.776592982
1261988096,-9.776610846,-0.777673974,,-9.798765889,-0.77767333
1262988032,-9.770070876,-0.77875766,,-9.792155877,-0.778758304
1263987968,-9.763529642,-0.779835664,,-9.785526443,-0.779837598
1264987904,-9.756995055,-0.780924741,,-9.77892755,-0.780924096
