!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:26:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2304000000,-14.222285,-3.0569637,123.74945,9.23001
2305000000,-14.240931,-3.2717583,122.25316,8.6509705
2306000000,-14.229506,-3.4123299,120.02949,8.5063944
2307000000,-14.278002,-3.5825496,118.5248,8.3225822
2308000000,-14.334641,-3.7023644,116.64272,8.7011919
2309000000,-14.400467,-3.8313239,114.9267,9.1385832
2310000000,-14.450894,-3.8716378,114.1867,9.2431393
2311000000,-14.513549,-3.9361227,112.81398,10.060215
2312000000,-14.556022,-3.9619782,112.4073,10.349605
2313000000,-14.568263,-3.9553754,111.49738,10.871089
2314000000,-14.591691,-3.9059026,111.18169,11.286908
2315000000,-14.544662,-3.8300943,110.79543,11.910879
2316000000,-14.509926,-3.7445071,110.07529,12.169858
2317000000,-14.311292,-3.6081457,109.63678,12.363235
2318000000,-14.25041,-3.471209,108.99467,12.350414
2319000000,-14.152361,-3.3282983,108.12179,12.44223
2320000000,-13.932117,-3.1942787,106.51623,12.092602
2321000000,-13.789752,-2.9705446,105.32123,11.599113
2322000000,-13.657082,-2.8199568,103.79342,11.043382
2323000000,-13.582892,-2.6677468,101.9795,9.9531984
2324000000,-13.49778,-2.4979968,100.52146,8.9530907
2325000000,-13.483993,-2.3453271,98.832466,7.8042765
2326000000,-13.487659,-2.2678783,97.094086,6.1140008
2327000000,-13.514779,-2.1894486,95.75676,4.589849
2328000000,-13.564136,-2.1255863,94.512047,2.7545488
2329000000,-13.556295,-2.1057196,93.903381,1.3513511
2330000000,-13.586438,-2.1671076,93.192795,-0.4371677
2331000000,-13.601676,-2.2155879,92.334267,-1.9023577
2332000000,-13.558658,-2.2563934,92.16394,-3.6268651
2333000000,-13.503549,-2.3859081,91.347153,-5.0572433
2334000000,-13.392737,-2.5291648,90.88781,-6.1186237
2335000000,-13.285378,-2.6327894,90.229759,-7.2506709
2336000000,-13.122752,-2.7797816,89.220306,-8.1087646
2337000000,-13.054442,-2.9361379,88.109261,-9.0086613
2338000000,-12.938354,-3.1583073,87.05941,-9.5127249
2339000000,-12.834463,-3.2769642,85.854294,-9.7477198
