frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
4151803136.0000000000, -89.8687853118, 59.6154550374, 59.6154550374, 59.6154501804, 4.2031933821, 44.4985573743, 59.6154501804, 44.4985525173, 4.2032003641
4152803072.0000000000, -89.9756786830, 59.5445230675, 59.5445230675, 59.5445230675, 4.0557739183, 44.5095391042, 59.5445182105, 44.5095148191, 4.0557684541
4153803008.0000000000, -90.0825817683, 59.4735862406, 59.4735862406, 59.4735862406, 3.9081796016, 44.5204382647, 59.4735862406, 44.5204479788, 3.9081647269
4154802944.0000000000, -90.1895237097, 59.4026251286, 59.4026348427, 59.4026348427, 3.7604155926, 44.5312742840, 59.4026348427, 44.5312839980, 3.7604080035
4155802880.0000000000, -90.2964073669, 59.3317077298, 59.3317174439, 59.3317077298, 3.6126181917, 44.5420568759, 59.3317174439, 44.5420665900, 3.6126066562
4156802816.0000000000, -90.4032813100, 59.2607951880, 59.2607951880, 59.2608049021, 3.4646662766, 44.5527714696, 59.2607951880, 44.5527957547, 3.4646462414
4157802752.0000000000, -90.5101843952, 59.1898680752, 59.1898680752, 59.1898680752, 3.3165364731, 44.5634374930, 59.1898680752, 44.5634374930, 3.3165337410
4158802688.0000000000, -90.6171069086, 59.1189263913, 59.1189263913, 59.1189263913, 3.1682582268, 44.5740209470, 59.1189263913, 44.5740306610, 3.1682627803
4159802624.0000000000, -90.7239711376, 59.0480187065, 59.0480187065, 59.0480187065, 3.0198955897, 44.5845606878, 59.0480187065, 44.5845509738, 3.0199022681
4160802560.0000000000, -90.8308645088, 58.9770915936, 58.9770915936, 58.9770915936, 2.8714075807, 44.5950372873, 58.9770915936, 44.5950324303, 2.8714078843
4161802496.0000000000, -90.9377287379, 58.9061936229, 58.9061936229, 58.9061936229, 2.7227905571, 44.6054361744, 58.9061887659, 44.6054264604, 2.7228023961
4162802432.0000000000, -91.0446221091, 58.8352713671, 58.8352713671, 58.8352762241, 2.5740117338, 44.6157719202, 58.8352713671, 44.6157670632, 2.5740272156
4163802368.0000000000, -91.1515349084, 58.7643393972, 58.7643393972, 58.7643393972, 2.4250976728, 44.6260493818, 58.7643393972, 44.6260542388, 2.4250963067
4164802304.0000000000, -91.2583991375, 58.6934462835, 58.6934462835, 58.6934462835, 2.2761018013, 44.6362637020, 58.6934414265, 44.6362831301, 2.2760849535
4165802240.0000000000, -91.3653119368, 58.6225143137, 58.6225143137, 58.6225094566, 2.1269168094, 44.6464440231, 58.6225143137, 44.6464488801, 2.1269072472
4166802176.0000000000, -91.4721858799, 58.5516114859, 58.5516066289, 58.5516114859, 1.9776059903, 44.6565417747, 58.5516114859, 44.6565320607, 1.9776046243
4167802112.0000000000, -91.5790306808, 58.4807135152, 58.4807135152, 58.4807135152, 1.8282283871, 44.6665521000, 58.4807135152, 44.6665715281, 1.8282104769
4168802048.0000000000, -91.6859046239, 58.4098155445, 58.4098106875, 58.4098155445, 1.6786589315, 44.6765381401, 58.4098106875, 44.6765284261, 1.6786716812
4169801984.0000000000, -91.7928077092, 58.3388932887, 58.3388932887, 58.3388835746, 1.5289492294, 44.6864367538, 58.3388835746, 44.6864513249, 1.5289345065
4170801920.0000000000, -91.8996622242, 58.2680098890, 58.2680098890, 58.2680001750, 1.3791586274, 44.6963013684, 58.2680001750, 44.6963013684, 1.3791601452
4171801856.0000000000, -92.0065167392, 58.1971119183, 58.1971119183, 58.1971167753, 1.2292349885, 44.7060785565, 58.1971119183, 44.7060882705, 1.2292283860
4172801792.0000000000, -92.1133615402, 58.1262285187, 58.1262285187, 58.1262285187, 1.0791850671, 44.7158217454, 58.1262285187, 44.7158168884, 1.0791865090
4173801728.0000000000, -92.2202257692, 58.0553305480, 58.0553305480, 58.0553354050, 0.9290002114, 44.7254677939, 58.0553305480, 44.7254823650, 0.9289940642
4174801664.0000000000, -92.3270997124, 57.9844422913, 57.9844422913, 57.9844422913, 0.7786673683, 44.7350798433, 57.9844422913, 44.7350944143, 0.7786619042
4175801600.0000000000, -92.4339639414, 57.9135491776, 57.9135491776, 57.9135491776, 0.6282052449, 44.7446433224, 57.9135491776, 44.7446481794, 0.6282067627
