"Freq [GHz]","ang_deg(S(1,1)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(1,2)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(2,1)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(2,2)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'"
4.133,138.092956518031,-178.000557394037,-178.0005573931,147.757012764211
4.134,137.871161027748,-178.214063201065,-178.214063200143,147.521030918946
4.135,137.649380437303,-178.427567615988,-178.427567615081,147.285066447765
4.136,137.427614509508,-178.641071166,-178.641071165111,147.049119137968
4.137,137.205863007265,-178.854574373676,-178.854574372802,146.81318877672
4.138,136.984125693569,-179.068077757037,-179.068077756178,146.57727515105
4.139,136.762402331501,-179.281581829628,-179.281581828785,146.341378047849
4.14,136.540692684234,-179.495087100585,-179.495087099757,146.105497253872
4.141,136.318996515027,-179.708594074707,-179.708594073895,145.869632555735
4.142,136.097313587228,-179.922103252525,-179.922103251726,145.633783739918
4.143,135.87564366427,179.864384869633,179.864384870417,145.39795059276
4.144,135.653986509672,179.650869799574,179.650869800343,145.162132900463
4.145,135.43234188704,179.437351049169,179.437351049925,144.926330449089
4.146,135.21070956006,179.223828134298,179.223828135039,144.690543024559
4.147,134.989089292505,179.010300574778,179.010300575505,144.454770412655
4.148,134.76748084823,178.796767894304,178.796767895018,144.219012399018
4.149,134.54588399117,178.583229620387,178.583229621086,143.983268769146
4.15,134.324298485344,178.36968528429,178.369685284976,143.747539308399
4.151,134.102724094848,178.15613442097,178.156134421642,143.511823801991
4.152,133.88116058386,177.942576569018,177.942576569676,143.276122034996
4.153,133.659607716634,177.7290112706,177.729011271246,143.040433792342
