"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(1,2)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(2,2)) [deg]"
2.26,147.876218507301,47.3617821775813,47.3617821775305,118.050126526091
2.261,147.566002675601,47.0976892129053,47.0976892128552,117.816414359669
2.262,147.255707314109,46.8334772563952,46.8334772563458,117.582559812013
2.263,146.94533233413,46.5691460454538,46.569146045405,117.348562661537
2.264,146.634877647189,46.3046953170967,46.3046953170487,117.114422685146
2.265,146.324343165009,46.0401248079565,46.0401248079092,116.880139658247
2.266,146.013728799504,45.775434254286,45.7754342542394,116.645713354757
2.267,145.703034462765,45.5106233919623,45.5106233919164,116.411143547117
2.268,145.392260067046,45.245691956491,45.245691956446,116.1764300063
2.269,145.081405524756,44.9806396830099,44.9806396829656,115.941572501823
2.27,144.77047074844,44.7154663062926,44.7154663062492,115.706570801755
2.271,144.459455650775,44.4501715607539,44.4501715607112,115.471424672732
2.272,144.148360144552,44.1847551804524,44.1847551804106,115.236133879962
2.273,143.837184142665,43.9192168990966,43.9192168990555,115.000698187242
2.274,143.525927558104,43.653556450047,43.6535564500068,114.765117356963
2.275,143.214590303937,43.3877735663224,43.3877735662831,114.529391150122
2.276,142.903172293303,43.1218679806041,43.1218679805656,114.293519326337
2.277,142.591673439399,42.855839425239,42.8558394252014,114.05750164385
2.278,142.28009365547,42.5896876322461,42.5896876322094,113.821337859545
2.279,141.968432854798,42.3234123333198,42.323412333284,113.585027728954
2.28,141.656690950689,42.0570132598357,42.0570132598008,113.34857100627
2.281,141.344867856465,41.7904901428551,41.790490142821,113.111967444356
2.282,141.032963485452,41.5238427131284,41.5238427130954,112.875216794756
2.283,140.720977750969,41.2570707011035,41.2570707010714,112.638318807711
2.284,140.408910566321,40.9901738369275,40.9901738368963,112.40127323216
2.285,140.096761844784,40.7231518504534,40.7231518504232,112.164079815759
2.286,139.7845314996,40.4560044712454,40.4560044712162,111.926738304889
2.287,139.472219443962,40.1887314285839,40.1887314285556,111.689248444667
2.288,139.15982559101,39.9213324514705,39.9213324514433,111.451609978957
2.289,138.847349853818,39.6538072686347,39.6538072686085,111.21382265038
2.29,138.534792145382,39.3861556085375,39.3861556085123,110.975886200327
2.291,138.222152378617,39.1183771993791,39.1183771993549,110.73780036897
2.292,137.909430466345,38.8504717691033,38.8504717690801,110.49956489527
2.293,137.596626321284,38.5824390454037,38.5824390453816,110.261179516992
2.294,137.283739856043,38.3142787557295,38.3142787557084,110.022643970714
2.295,136.97077098311,38.0459906272917,38.0459906272717,109.783957991839
2.296,136.657719614846,37.7775743870684,37.7775743870495,109.545121314604
2.297,136.344585663476,37.5090297618127,37.5090297617949,109.306133672097
2.298,136.031369041079,37.2403564780559,37.2403564780392,109.066994796262
2.299,135.718069659584,36.9715542621174,36.9715542621019,108.827704417913
2.3,135.404687430757,36.7026228401082,36.7026228400938,108.588262266746
2.301,135.091222266198,36.4335619379392,36.433561937926,108.348668071351
2.302,134.777674077333,36.1643712813267,36.1643712813146,108.10892155922
2.303,134.464042775401,35.8950505957995,35.8950505957885,107.869022456765
2.304,134.150328271454,35.6255996067057,35.6255996066959,107.628970489321
2.305,133.836530476349,35.3560180392199,35.3560180392114,107.388765381167
2.306,133.522649300734,35.0863056183488,35.0863056183414,107.148406855529
2.307,133.208684655051,34.8164620689403,34.816462068934,106.9078946346
