Freq(Hz),S11 Phase_copper strip,S11 Phase_HFSS,S11 Phase_milled,S11 Phase_z0lver
1360000000,177.81819,-129.8257882,-48.488457,-144.2632802
1361000000,177.82498,-129.9536019,-48.689789,-144.4587754
1362000000,178.28439,-130.0786708,-48.702526,-144.6542511
1363000000,178.04286,-130.2011148,-48.630901,-144.8498823
1364000000,178.19496,-130.3210526,-49.213783,-145.0455718
1365000000,178.56125,-130.4386011,-49.671886,-145.2413778
1366000000,178.58562,-130.5538764,-49.554405,-145.4372033
1367000000,178.80614,-130.6669925,-50.174858,-145.6331453
1368000000,178.7419,-130.7780622,-49.98674,-145.8291845
1369000000,178.7198,-130.8871965,-50.090034,-146.0252917
1370000000,178.78363,-130.9945048,-50.243916,-146.2213697
1371000000,178.91402,-131.1000946,-50.216953,-146.4176421
1372000000,179.15356,-131.2040718,-50.972561,-146.6139824
1373000000,178.84305,-131.3065404,-50.523323,-146.8103421
1374000000,179.10748,-131.4076024,-51.157211,-147.0067601
1375000000,179.07193,-131.507358,-51.444515,-147.2033724
1376000000,179.48538,-131.6059054,-51.823963,-147.3999459
1377000000,179.27345,-131.7033408,-51.686157,-147.5966359
1378000000,179.21944,-131.7997585,-51.98933,-147.7934814
1379000000,179.40823,-131.8952506,-52.282902,-147.9903074
1380000000,179.33551,-131.9899073,-52.291775,-148.18725
1381000000,179.22038,-132.0838167,-52.596466,-148.3842605
1382000000,179.47673,-132.1770647,-52.845722,-148.5813391
1383000000,179.4297,-132.2697353,-53.391308,-148.7785246
1384000000,179.90724,-132.3619102,-53.587692,-148.9757003
1385000000,179.57118,-132.4536693,-53.505447,-149.1730217
1386000000,179.51929,-132.5450901,-53.990551,-149.3704209
1387000000,179.43462,-132.6362482,-54.022808,-149.5678686
1388000000,179.36465,-132.727217,-54.445774,-149.765326
1389000000,179.74216,-132.8180679,-54.640255,-149.9629389
1390000000,179.7292,-132.9088703,-54.913887,-150.1605517
1391000000,179.94511,-132.9996912,-55.486481,-150.3582811
1392000000,-179.9644,-133.090596,-55.28017,-150.5560591
1393000000,179.54326,-133.1816479,-55.406765,-150.7538954
1394000000,179.85249,-133.272908,-55.59581,-150.9518483
1395000000,179.79514,-133.3644354,-56.262402,-151.1498302
1396000000,179.72784,-133.4562875,-55.985348,-151.3478802
1397000000,179.89836,-133.5485194,-56.785282,-151.5459982
1398000000,179.7495,-133.6411846,-56.846687,-151.7440968
1399000000,179.74977,-133.7343345,-57.061661,-151.9423702
1400000000,-179.99512,-133.8280187,-57.42308,-152.1405367
1401000000,179.60684,-133.922285,-57.707161,-152.338985
1402000000,179.61633,-134.0171794,-57.814785,-152.5373556
