Freq(Hz),S31(dB)_milled,S31(dB)_HFSS,S31(dB)_z0lver
1173000000,-3.3133583,-3.410813878,-3.798807367
1174000000,-3.3365052,-3.410729721,-3.79844135
1175000000,-3.3079386,-3.410645841,-3.798076218
1176000000,-3.2935283,-3.410562237,-3.797709356
1177000000,-3.307409,-3.410478911,-3.797343379
1178000000,-3.297821,-3.410395862,-3.796977415
1179000000,-3.3035872,-3.41031309,-3.796613208
1180000000,-3.2948563,-3.410230597,-3.796244657
1181000000,-3.2910936,-3.410148382,-3.795878733
1182000000,-3.2622781,-3.410066446,-3.795514566
1183000000,-3.2830405,-3.409984789,-3.795147798
1184000000,-3.3271601,-3.409903412,-3.794781043
1185000000,-3.3263872,-3.409822314,-3.794414302
1186000000,-3.2919872,-3.409741497,-3.794047575
1187000000,-3.3156688,-3.409660959,-3.793679118
1188000000,-3.2898293,-3.409580703,-3.793313289
1189000000,-3.3215561,-3.409500728,-3.792945731
1190000000,-3.2815495,-3.409421034,-3.792579928
1191000000,-3.2934175,-3.409341621,-3.792214139
1192000000,-3.2809501,-3.409262491,-3.791846621
1193000000,-3.2935545,-3.409183643,-3.791478246
1194000000,-3.2833235,-3.409105078,-3.791113367
1195000000,-3.3078136,-3.409026796,-3.790744149
1196000000,-3.2913804,-3.408948798,-3.790377556
1197000000,-3.3213198,-3.408871083,-3.790010105
1198000000,-3.3141496,-3.408793652,-3.789642668
1199000000,-3.2846918,-3.408716506,-3.789275245
1200000000,-3.3017137,-3.408639644,-3.788907835
1201000000,-3.282418,-3.408563067,-3.788539569
1202000000,-3.3014312,-3.408486775,-3.788173927
1203000000,-3.3017182,-3.408410769,-3.787804817
1204000000,-3.2970417,-3.408335049,-3.787439202
1205000000,-3.3156273,-3.408259616,-3.787070989
1206000000,-3.3080819,-3.408184468,-3.786701919
1207000000,-3.2910469,-3.408109608,-3.786335474
1208000000,-3.312058,-3.408035035,-3.785966432
1209000000,-3.2994533,-3.40796075,-3.785598273
1210000000,-3.3214746,-3.407886752,-3.785230999
1211000000,-3.2888615,-3.407813043,-3.784861997
1212000000,-3.3044655,-3.407739622,-3.784493879
1213000000,-3.3030972,-3.40766649,-3.784125775
1214000000,-3.2830482,-3.407593647,-3.783758554
1215000000,-3.2820354,-3.407521093,-3.783390477
1216000000,-3.2975295,-3.40744883,-3.783020673
1217000000,-3.2885499,-3.407376856,-3.782654363
1218000000,-3.2771368,-3.407305173,-3.782287196
1219000000,-3.2806501,-3.40723378,-3.781915693
1220000000,-3.2801085,-3.407162679,-3.781548553
1221000000,-3.2997468,-3.407091868,-3.781180558
1222000000,-3.3191955,-3.40702135,-3.780809965
1223000000,-3.3073575,-3.406951123,-3.780441997
1224000000,-3.2755747,-3.406881189,-3.780073171
1225000000,-3.2943072,-3.406811547,-3.77970523
1226000000,-3.3231652,-3.406742198,-3.779335562
1227000000,-3.3225121,-3.406673142,-3.778968517
1228000000,-3.3052256,-3.40660438,-3.778598877
1229000000,-3.3000727,-3.406535912,-3.778231859
1230000000,-3.3048217,-3.406467737,-3.777862246
1231000000,-3.2963624,-3.406399857,-3.777492646
1232000000,-3.2992842,-3.406332272,-3.77712306
1233000000,-3.293679,-3.406264982,-3.776754358
1234000000,-3.3292484,-3.406197987,-3.776383929
1235000000,-3.2815831,-3.406131288,-3.776015254
1236000000,-3.2888501,-3.406064885,-3.775647462
1237000000,-3.2681568,-3.405998778,-3.775278813
1238000000,-3.3032062,-3.405932968,-3.774909309
1239000000,-3.3208647,-3.405867455,-3.774539819
1240000000,-3.310729,-3.405802238,-3.774171211
1241000000,-3.2912042,-3.40573732,-3.773800879
1242000000,-3.2869244,-3.405672699,-3.773431429
1243000000,-3.3179107,-3.405608376,-3.77306547
1244000000,-3.2843471,-3.405544351,-3.772695179
1245000000,-3.3178768,-3.405480626,-3.772324032
1246000000,-3.2853744,-3.405417199,-3.771953768
1247000000,-3.29109,-3.405354072,-3.771584386
1248000000,-3.2864797,-3.405291244,-3.771215888
1249000000,-3.2866094,-3.405228716,-3.770846534
1250000000,-3.3005927,-3.405166488,-3.770476324
1251000000,-3.2702985,-3.405104561,-3.770106998
1252000000,-3.2748792,-3.405042935,-3.769736816
1253000000,-3.3215249,-3.40498161,-3.769367516
1254000000,-3.3299575,-3.404920586,-3.768999099
1255000000,-3.2897093,-3.404859864,-3.768630696
1256000000,-3.296854,-3.404799444,-3.768257962
1257000000,-3.2833509,-3.404739326,-3.767889586
1258000000,-3.2793648,-3.404679511,-3.767518617
1259000000,-3.2907395,-3.404619999,-3.767148531
1260000000,-3.2778728,-3.40456079,-3.766779327
1261000000,-3.3204634,-3.404501884,-3.766409269
1262000000,-3.2901883,-3.404443283,-3.766040961
1263000000,-3.2870495,-3.404384985,-3.765669192
1264000000,-3.3165987,-3.404326992,-3.765299174
1265000000,-3.2876003,-3.404269304,-3.76492917
1266000000,-3.3023624,-3.404211921,-3.764560917
1267000000,-3.3011107,-3.404154843,-3.764192677
1268000000,-3.2924278,-3.404098071,-3.763822714
1269000000,-3.2717938,-3.404041604,-3.763451896
1270000000,-3.3249006,-3.403985444,-3.763081092
1271000000,-3.3158586,-3.40392959,-3.76271117
1272000000,-3.3038394,-3.403874044,-3.762338656
1273000000,-3.2893014,-3.403818804,-3.761970498
1274000000,-3.2832782,-3.403763871,-3.761599749
1275000000,-3.2898338,-3.403709247,-3.76123075
1276000000,-3.3254118,-3.40365493,-3.760860896
1277000000,-3.2968335,-3.403600922,-3.76048932
1278000000,-3.2770638,-3.403547222,-3.760120362
1279000000,-3.2782605,-3.403493831,-3.759749682
1280000000,-3.2853973,-3.40344075,-3.759379883
1281000000,-3.3245506,-3.403387978,-3.759010098
1282000000,-3.3034105,-3.403335515,-3.758641194
1283000000,-3.2995679,-3.403283363,-3.7582697
1284000000,-3.2785685,-3.403231521,-3.757899956
1285000000,-3.287291,-3.40317999,-3.757527622
1286000000,-3.3051505,-3.40312877,-3.757160509
1287000000,-3.3155901,-3.403077861,-3.756790806
1288000000,-3.3039632,-3.403027264,-3.756419381
1289000000,-3.3110061,-3.402976978,-3.756048837
1290000000,-3.3000007,-3.402927005,-3.755678308
1291000000,-3.2917857,-3.402877344,-3.755307792
1292000000,-3.2777505,-3.402827996,-3.754939025
1293000000,-3.3107088,-3.402778961,-3.754567668
1294000000,-3.2891002,-3.402730239,-3.754199796
1295000000,-3.2785549,-3.402681831,-3.753828468
1296000000,-3.2776949,-3.402633737,-3.753458888
1297000000,-3.3189864,-3.402585957,-3.753086719
1298000000,-3.297332,-3.402538492,-3.752717166
1299000000,-3.3099954,-3.402491342,-3.752345893
1300000000,-3.2876847,-3.402444506,-3.751976368
1301000000,-3.3023717,-3.402397987,-3.751608591
1302000000,-3.2779589,-3.402351782,-3.751237358
1303000000,-3.2538381,-3.402305894,-3.750865272
1304000000,-3.3014569,-3.402260323,-3.750496669
1305000000,-3.3010616,-3.402215068,-3.750127212
1306000000,-3.3148794,-3.402170129,-3.749756902
1307000000,-3.3030171,-3.402125508,-3.749387472
1308000000,-3.3220923,-3.402081205,-3.749015455
1309000000,-3.2823071,-3.402037219,-3.748645186
1310000000,-3.3008549,-3.401993552,-3.748276664
1311000000,-3.2900808,-3.401950203,-3.74790729
1312000000,-3.279732,-3.401907172,-3.74753446
1313000000,-3.3068459,-3.401864461,-3.747165113
1314000000,-3.3046737,-3.401822069,-3.746793178
1315000000,-3.2952139,-3.401779997,-3.746422124
1316000000,-3.3020313,-3.401738244,-3.746054552
1317000000,-3.2779362,-3.401696812,-3.745685259
1318000000,-3.295572,-3.4016557,-3.745315113
1319000000,-3.2998033,-3.401614909,-3.744944981
1320000000,-3.3026569,-3.401574439,-3.744573996
1321000000,-3.3046885,-3.401534291,-3.744204758
1322000000,-3.2865067,-3.401494464,-3.743834666
1323000000,-3.3131678,-3.40145496,-3.743464589
1324000000,-3.3068314,-3.401415777,-3.743093659
1325000000,-3.2828352,-3.401376917,-3.742723609
1326000000,-3.2812972,-3.401338381,-3.742351839
1327000000,-3.2708614,-3.401300167,-3.741984416
1328000000,-3.283819,-3.401262277,-3.741613541
1329000000,-3.3143353,-3.401224711,-3.741246145
1330000000,-3.2953668,-3.401187469,-3.740875297
1331000000,-3.2925506,-3.401150551,-3.740506195
1332000000,-3.2840919,-3.401113958,-3.740133642
1333000000,-3.3055074,-3.40107769,-3.7397663
1334000000,-3.2603087,-3.401041747,-3.739396373
1335000000,-3.2919972,-3.40100613,-3.739025594
1336000000,-3.2939494,-3.400970839,-3.738658293
1337000000,-3.2754099,-3.400935875,-3.738286675
1338000000,-3.2877443,-3.400901236,-3.737916803
1339000000,-3.2805154,-3.400866925,-3.737546078
1340000000,-3.3087485,-3.400832941,-3.737176233
1341000000,-3.2989132,-3.400799284,-3.736807268
1342000000,-3.271153,-3.400765955,-3.736440049
1343000000,-3.2765951,-3.400732954,-3.736067647
1344000000,-3.2896249,-3.400700282,-3.735698723
1345000000,-3.297935,-3.400667938,-3.735329812
1346000000,-3.3004453,-3.400635923,-3.734960049
1347000000,-3.2861595,-3.400604238,-3.7345903
1348000000,-3.2990458,-3.400572882,-3.734222296
1349000000,-3.3049412,-3.400541856,-3.733851709
1350000000,-3.313091,-3.400511161,-3.733483732
1351000000,-3.2813821,-3.400480796,-3.733113172
1352000000,-3.3046775,-3.400450761,-3.732743491
1353000000,-3.2704904,-3.400421058,-3.732373824
1354000000,-3.3076944,-3.400391687,-3.732005902
1355000000,-3.320554,-3.400362647,-3.731637127
1356000000,-3.2971964,-3.400333939,-3.73126577
1357000000,-3.2829638,-3.400305564,-3.730896157
1358000000,-3.2752421,-3.400277521,-3.730527424
1359000000,-3.2740288,-3.400249811,-3.730160435
1360000000,-3.2769625,-3.400222435,-3.729790863
1361000000,-3.321352,-3.400195393,-3.729421305
1362000000,-3.3062468,-3.400168684,-3.729053491
1363000000,-3.2864096,-3.40014231,-3.728684826
1364000000,-3.301542,-3.40011627,-3.728316174
1365000000,-3.3055997,-3.400090565,-3.727948401
1366000000,-3.265213,-3.400065196,-3.727578046
1367000000,-3.2746749,-3.400040162,-3.727207704
1368000000,-3.291486,-3.400015463,-3.726839972
1369000000,-3.2838552,-3.399991101,-3.726470523
1370000000,-3.2845778,-3.399967076,-3.726101953
1371000000,-3.2926974,-3.399943387,-3.725732531
1372000000,-3.2859044,-3.399920036,-3.725366583
1373000000,-3.2791243,-3.399897022,-3.724998054
1374000000,-3.2928054,-3.399874345,-3.724626943
1375000000,-3.283803,-3.399852007,-3.724259305
1376000000,-3.2927001,-3.399830007,-3.723892547
1377000000,-3.2770586,-3.399808346,-3.723524071
1378000000,-3.2809415,-3.399787024,-3.723154745
