Freq,S21sim,S21mea
1.64,-9.88191108,-11.767974
1.641,-9.879689272,-11.743089
1.642,-9.877475459,-11.704104
1.643,-9.875269605,-11.778317
1.644,-9.87307167,-11.708267
1.645,-9.870881617,-11.741189
1.646,-9.868699409,-11.74071
1.647,-9.866525008,-11.729933
1.648,-9.864358377,-11.743422
1.649,-9.862199477,-11.73413
1.65,-9.860048273,-11.732963
1.651,-9.857904727,-11.690789
1.652,-9.855768802,-11.748504
1.653,-9.853640461,-11.719273
1.654,-9.851519667,-11.688867
1.655,-9.849406385,-11.6851
1.656,-9.847300576,-11.753742
1.657,-9.845202205,-11.693461
1.658,-9.843111236,-11.707463
1.659,-9.841027632,-11.675805
1.66,-9.838951358,-11.69145
1.661,-9.836882376,-11.671347
1.662,-9.834820652,-11.688088
1.663,-9.832766149,-11.712008
1.664,-9.830718833,-11.71428
1.665,-9.828678666,-11.683612
1.666,-9.826645615,-11.708217
1.667,-9.824619643,-11.710666
1.668,-9.822600715,-11.655401
1.669,-9.820588796,-11.665149
1.67,-9.818583852,-11.696139
1.671,-9.816585847,-11.692067
1.672,-9.814594746,-11.657257
1.673,-9.812610515,-11.628088
1.674,-9.81063312,-11.677816
1.675,-9.808662524,-11.670425
1.676,-9.806698696,-11.645089
1.677,-9.804741599,-11.649463
1.678,-9.8027912,-11.646598
1.679,-9.800847464,-11.637348
1.68,-9.798910359,-11.656863
1.681,-9.796979849,-11.645851
1.682,-9.795055902,-11.663202
1.683,-9.793138483,-11.664214
1.684,-9.791227559,-11.659413
1.685,-9.789323097,-11.67153
1.686,-9.787425063,-11.668134
1.687,-9.785533424,-11.646528
1.688,-9.783648147,-11.626155
1.689,-9.781769199,-11.622426
1.69,-9.779896546,-11.636628
1.691,-9.778030157,-11.615402
1.692,-9.776169998,-11.642738
1.693,-9.774316038,-11.626356
1.694,-9.772468242,-11.648473
1.695,-9.770626579,-11.611415
1.696,-9.768791017,-11.646601
1.697,-9.766961524,-11.608063
1.698,-9.765138067,-11.635137
1.699,-9.763320614,-11.608509
1.7,-9.761509133,-11.621416
1.701,-9.759703594,-11.626047
1.702,-9.757903963,-11.627872
1.703,-9.756110209,-11.583058
1.704,-9.754322302,-11.568453
1.705,-9.752540209,-11.565224
1.706,-9.750763899,-11.570429
1.707,-9.748993342,-11.566216
1.708,-9.747228505,-11.599538
1.709,-9.745469358,-11.588009
1.71,-9.74371587,-11.592067
1.711,-9.741968011,-11.581552
1.712,-9.740225749,-11.578938
1.713,-9.738489055,-11.601731
1.714,-9.736757897,-11.610748
1.715,-9.735032245,-11.557524
1.716,-9.733312069,-11.573057
1.717,-9.731597338,-11.594453
1.718,-9.729888024,-11.588316
1.719,-9.728184094,-11.57856
1.72,-9.726485521,-11.560901
1.721,-9.724792273,-11.599189
1.722,-9.723104322,-11.592175
1.723,-9.721421637,-11.565659
1.724,-9.719744189,-11.584849
1.725,-9.718071949,-11.591783
1.726,-9.716404888,-11.590081
1.727,-9.714742975,-11.577385
1.728,-9.713086182,-11.547827
1.729,-9.711434481,-11.566276
1.73,-9.709787841,-11.543323
1.731,-9.708146235,-11.559732
1.732,-9.706509633,-11.550844
1.733,-9.704878007,-11.542909
1.734,-9.703251328,-11.571304
1.735,-9.701629569,-11.568317
1.736,-9.700012699,-11.577728
1.737,-9.698400692,-11.565987
1.738,-9.696793519,-11.553092
1.739,-9.695191151,-11.516056
1.74,-9.693593562,-11.52853
1.741,-9.692000723,-11.567161
1.742,-9.690412606,-11.520125
1.743,-9.688829183,-11.537491
1.744,-9.687250428,-11.529617
1.745,-9.685676312,-11.533363
1.746,-9.684106808,-11.560493
1.747,-9.682541888,-11.522313
1.748,-9.680981526,-11.514924
1.749,-9.679425694,-11.512877
1.75,-9.677874366,-11.497177
1.751,-9.676327513,-11.541493
1.752,-9.67478511,-11.505473
1.753,-9.67324713,-11.515608
1.754,-9.671713545,-11.505867
1.755,-9.67018433,-11.534266
1.756,-9.668659457,-11.498289
1.757,-9.667138901,-11.537848
1.758,-9.665622635,-11.496201
1.759,-9.664110632,-11.530944
1.76,-9.662602867,-11.510859
1.761,-9.661099314,-11.52514
1.762,-9.659599945,-11.536702
1.763,-9.658104737,-11.518826
1.764,-9.656613663,-11.500847
1.765,-9.655126696,-11.527434
1.766,-9.653643812,-11.505257
1.767,-9.652164985,-11.490365
1.768,-9.65069019,-11.522176
1.769,-9.6492194,-11.518678
1.77,-9.647752592,-11.521793
1.771,-9.646289739,-11.49813
1.772,-9.644830816,-11.508384
1.773,-9.6433758,-11.509128
1.774,-9.641924663,-11.520743
1.775,-9.640477383,-11.477117
1.776,-9.639033934,-11.513294
1.777,-9.637594291,-11.52022
1.778,-9.636158429,-11.519313
1.779,-9.634726325,-11.501708
1.78,-9.633297954,-11.500495
1.781,-9.631873291,-11.540349
1.782,-9.630452313,-11.489968
1.783,-9.629034995,-11.49249
1.784,-9.627621312,-11.517316
1.785,-9.626211242,-11.508186
1.786,-9.62480476,-11.505215
1.787,-9.623401842,-11.485579
1.788,-9.622002465,-11.520872
1.789,-9.620606604,-11.506727
1.79,-9.619214237,-11.487997
1.791,-9.61782534,-11.494267
1.792,-9.616439889,-11.549233
1.793,-9.615057861,-11.503252
1.794,-9.613679233,-11.496488
1.795,-9.612303982,-11.508433
1.796,-9.610932084,-11.509809
1.797,-9.609563517,-11.488595
1.798,-9.608198258,-11.497774
1.799,-9.606836283,-11.509958
1.8,-9.60547757,-11.511192
1.801,-9.604122097,-11.504423
1.802,-9.60276984,-11.530315
1.803,-9.601420778,-11.488808
1.804,-9.600074888,-11.524868
1.805,-9.598732147,-11.48534
1.806,-9.597392533,-11.516824
1.807,-9.596056024,-11.517697
1.808,-9.594722598,-11.530019
1.809,-9.593392233,-11.521722
1.81,-9.592064906,-11.509541
1.811,-9.590740597,-11.497009
1.812,-9.589419283,-11.511899
1.813,-9.588100942,-11.500975
1.814,-9.586785553,-11.475727
1.815,-9.585473094,-11.49917
1.816,-9.584163544,-11.508692
1.817,-9.582856881,-11.509581
1.818,-9.581553084,-11.500958
1.819,-9.580252132,-11.496938
