Freq,Thru2,Thru,S180,S90
1.292,-18.995327,-23.827499,-24.381912,-22.495121
1.293,-19.080475,-23.738317,-24.26437,-22.406303
1.294,-19.262424,-23.814188,-24.438347,-22.494528
1.295,-19.340355,-23.763731,-24.459602,-22.41293
1.296,-19.495293,-23.708076,-24.499176,-22.417362
1.297,-19.676523,-23.783655,-24.593998,-22.398178
1.298,-19.858334,-23.789783,-24.622963,-22.509987
1.299,-20.027586,-23.759844,-24.723913,-22.543407
1.3,-20.1082,-23.76906,-24.742596,-22.40218
1.301,-20.268919,-23.737621,-24.626062,-22.48966
1.302,-20.35841,-23.752651,-24.810469,-22.499603
1.303,-20.462767,-23.752691,-25.042086,-22.422646
1.304,-20.543545,-23.758766,-25.056286,-22.551115
1.305,-20.60042,-23.681894,-24.904142,-22.500917
1.306,-20.627596,-23.67898,-24.929541,-22.464136
1.307,-20.678049,-23.727921,-25.144388,-22.594238
1.308,-20.599825,-23.692617,-25.173021,-22.502726
1.309,-20.659637,-23.704792,-25.253139,-22.663765
1.31,-20.592409,-23.69969,-25.313417,-22.577866
1.311,-20.52887,-23.675484,-25.429951,-22.500645
1.312,-20.496107,-23.633457,-25.492441,-22.483438
1.313,-20.509315,-23.705835,-25.51091,-22.601822
1.314,-20.432829,-23.674532,-25.514795,-22.612085
1.315,-20.398373,-23.66806,-25.482538,-22.615791
1.316,-20.340069,-23.68716,-25.677694,-22.721594
1.317,-20.259777,-23.61862,-25.805502,-22.618624
1.318,-20.229647,-23.635269,-25.894514,-22.598511
1.319,-20.127901,-23.61138,-26.012934,-22.606308
1.32,-20.098158,-23.63702,-25.928436,-22.647736
1.321,-20.043188,-23.610235,-26.008566,-22.672308
1.322,-19.99507,-23.606575,-26.110123,-22.623114
1.323,-19.98307,-23.590199,-26.040201,-22.789011
1.324,-19.916382,-23.611643,-26.252501,-22.779631
1.325,-19.831684,-23.545633,-26.447886,-22.638268
1.326,-19.829403,-23.613962,-26.408062,-22.798977
1.327,-19.745981,-23.594011,-26.535324,-22.679045
1.328,-19.721615,-23.541155,-26.613731,-22.739956
1.329,-19.686741,-23.547205,-26.695011,-22.817156
1.33,-19.637577,-23.532763,-26.761816,-22.790863
1.331,-19.620394,-23.570457,-26.749466,-22.842329
1.332,-19.529638,-23.540144,-26.84833,-22.804848
1.333,-19.495432,-23.509686,-26.812685,-22.815193
1.334,-19.454372,-23.48274,-26.994841,-22.840176
1.335,-19.375826,-23.48,-27.113913,-22.756046
1.336,-19.429798,-23.492474,-27.216177,-22.954758
1.337,-19.388437,-23.532494,-27.216167,-22.914379
1.338,-19.344074,-23.467272,-27.178288,-22.907234
1.339,-19.339905,-23.530745,-27.386435,-23.014355
1.34,-19.288975,-23.510248,-27.496542,-23.039446
1.341,-19.26092,-23.480986,-27.446167,-23.033876
1.342,-19.236837,-23.504381,-27.737028,-23.058527
1.343,-19.181301,-23.492443,-27.871216,-22.966003
1.344,-19.138191,-23.486284,-27.855581,-22.952805
1.345,-19.168409,-23.480942,-27.922516,-23.096161
1.346,-19.097727,-23.39414,-27.948139,-23.008709
1.347,-19.11343,-23.54114,-28.078899,-23.156473
1.348,-19.105804,-23.493359,-28.247257,-23.260883
1.349,-19.049074,-23.480261,-28.183496,-23.20145
1.35,-19.059435,-23.541466,-28.466904,-23.229107
1.351,-19.009068,-23.488956,-28.357275,-23.140635
1.352,-18.996845,-23.484922,-28.485332,-23.176756
1.353,-18.985092,-23.52969,-28.739622,-23.302568
1.354,-18.969767,-23.474117,-28.516911,-23.243574
1.355,-18.936926,-23.505442,-28.870089,-23.254059
1.356,-18.889967,-23.487991,-28.984772,-23.338169
1.357,-18.921127,-23.545242,-29.194736,-23.370642
1.358,-18.872253,-23.466677,-28.97357,-23.336279
1.359,-18.837053,-23.450592,-29.050228,-23.353903
1.36,-18.859217,-23.489628,-29.198429,-23.387373
1.361,-18.819033,-23.478571,-29.38574,-23.441492
1.362,-18.758976,-23.449688,-29.335762,-23.238001
1.363,-18.765146,-23.56251,-29.771673,-23.406658
1.364,-18.759714,-23.492964,-29.629503,-23.398474
1.365,-18.728975,-23.488106,-29.646235,-23.420485
1.366,-18.748392,-23.477577,-29.785179,-23.524958
1.367,-18.745129,-23.479237,-29.905407,-23.544666
1.368,-18.760529,-23.486464,-29.943697,-23.676947
1.369,-18.702072,-23.528416,-30.1329,-23.58536
1.37,-18.681955,-23.448275,-30.094847,-23.636126
1.371,-18.678049,-23.472523,-30.258701,-23.71106
1.372,-18.655508,-23.499077,-30.409678,-23.60173
1.373,-18.655676,-23.467928,-30.499792,-23.673796
1.374,-18.647905,-23.432358,-30.509632,-23.721054
1.375,-18.614889,-23.435764,-30.548037,-23.74572
1.376,-18.580738,-23.417772,-30.777752,-23.715343
1.377,-18.583149,-23.447161,-30.679703,-23.747213
1.378,-18.573286,-23.4007,-30.867775,-23.756033
1.379,-18.577663,-23.417679,-30.78937,-23.787695
1.38,-18.544699,-23.427998,-31.109468,-23.798868
1.381,-18.540197,-23.359514,-31.052134,-23.872108
1.382,-18.486401,-23.380724,-31.032534,-23.83263
1.383,-18.52132,-23.465521,-31.526751,-24.004038
1.384,-18.51457,-23.425915,-31.49334,-24.061029
1.385,-18.481764,-23.41947,-31.458269,-23.938108
1.386,-18.416218,-23.313616,-31.25613,-23.842825
1.387,-18.457151,-23.440723,-31.781107,-23.979614
1.388,-18.45199,-23.396856,-31.636969,-24.074114
1.389,-18.434078,-23.408821,-31.896675,-24.059978
1.39,-18.429502,-23.382175,-32.055611,-24.22151
1.391,-18.377539,-23.337715,-31.917713,-24.110558
1.392,-18.385946,-23.363348,-31.949062,-24.189352
1.393,-18.389334,-23.35535,-32.030678,-24.176281
1.394,-18.37875,-23.383423,-32.401379,-24.245993
1.395,-18.309044,-23.333775,-32.149067,-24.193771
1.396,-18.312325,-23.450756,-32.363838,-24.262123
1.397,-18.318331,-23.403612,-32.376019,-24.268372
1.398,-18.302176,-23.340389,-32.518501,-24.402451
1.399,-18.314013,-23.325455,-32.456749,-24.467438
1.4,-18.286755,-23.349369,-32.707127,-24.425117
1.401,-18.315435,-23.327648,-32.550098,-24.483797
1.402,-18.269321,-23.339361,-32.523129,-24.466448
1.403,-18.314848,-23.383617,-32.854954,-24.613596
1.404,-18.286724,-23.384478,-32.72192,-24.630722
1.405,-18.237236,-23.31621,-32.510399,-24.598093
1.406,-18.240252,-23.374027,-32.540989,-24.578199
1.407,-18.230694,-23.35445,-32.62019,-24.711288
1.408,-18.180872,-23.363087,-32.351509,-24.532642
1.409,-18.165644,-23.341183,-32.36142,-24.597784
1.41,-18.244114,-23.360207,-32.735363,-24.802042
1.411,-18.246218,-23.40196,-33.035419,-24.97184
1.412,-18.223631,-23.407932,-32.506432,-24.843023
1.413,-18.190172,-23.364679,-32.400547,-24.789316
1.414,-18.171562,-23.298401,-32.324188,-24.799854
1.415,-18.160482,-23.317423,-32.367802,-24.880213
1.416,-18.193657,-23.378675,-32.644215,-25.045532
1.417,-18.194613,-23.305908,-32.50843,-25.103882
1.418,-18.172491,-23.304047,-32.310532,-25.056608
1.419,-18.149883,-23.331701,-32.258842,-25.050213
1.42,-18.09956,-23.281794,-31.834167,-24.877939
1.421,-18.128378,-23.317184,-32.332394,-25.175648
1.422,-18.131227,-23.317232,-32.119911,-25.164776
1.423,-18.119122,-23.287865,-32.022827,-25.174677
1.424,-18.135473,-23.345036,-31.990297,-25.238607
1.425,-18.094299,-23.243799,-31.823992,-25.165524
1.426,-18.106333,-23.269253,-31.882475,-25.285221
1.427,-18.102669,-23.306227,-31.789568,-25.306025
1.428,-18.111557,-23.275532,-31.658083,-25.369322
1.429,-18.085791,-23.30304,-31.705088,-25.396069
1.43,-18.102026,-23.371737,-31.74474,-25.56382
1.431,-18.07065,-23.270231,-31.562912,-25.489872
1.432,-18.124409,-23.314615,-31.730062,-25.668283
1.433,-18.06081,-23.287771,-31.355074,-25.52157
1.434,-18.060619,-23.285473,-31.487509,-25.658543
1.435,-18.040674,-23.326574,-31.42301,-25.699747
1.436,-18.071053,-23.264311,-31.293352,-25.707506
1.437,-18.085285,-23.392242,-31.38949,-25.849258
1.438,-18.047972,-23.267675,-31.082682,-25.759123
1.439,-18.033918,-23.334808,-31.068853,-25.872017
1.44,-18.032021,-23.2806,-31.00561,-25.911377
1.441,-18.031912,-23.386461,-31.032591,-25.983555
1.442,-17.991045,-23.310452,-30.882225,-25.978682
1.443,-17.979548,-23.220839,-30.827705,-25.952394
