Freq,S21,S31,S32
1.561,-144.70268,-144.73221,-210.45641
1.562,-145.02399,-144.94235,-210.58621
1.563,-144.91245,-144.86882,-210.55554
1.564,-144.96678,-144.936,-210.68088
1.565,-145.17973,-145.03918,-210.96768
1.566,-145.10068,-145.01163,-210.90945
1.567,-145.27893,-145.31544,-211.10172
1.568,-145.25986,-145.33307,-210.93974
1.569,-145.39481,-145.49467,-211.33348
1.57,-145.812,-145.64839,-211.43643
1.571,-145.63354,-145.66718,-211.42955
1.572,-145.57631,-145.60324,-211.47731
1.573,-145.93587,-146.08841,-211.81522
1.574,-145.89746,-145.92548,-211.94696
1.575,-146.00323,-146.23399,-212.0697
1.576,-146.14679,-146.16971,-212.25948
1.577,-146.41869,-146.42502,-212.30461
1.578,-146.29478,-146.38602,-212.1185
1.579,-146.45799,-146.52069,-212.72939
1.58,-146.45142,-146.45932,-212.60394
1.581,-146.44107,-146.68004,-212.56262
1.582,-146.58821,-146.76291,-212.67923
1.583,-146.79739,-146.8347,-212.89702
1.584,-146.88559,-147.08232,-213.17532
1.585,-146.95375,-146.89496,-213.02422
1.586,-147.27812,-147.32413,-213.34265
1.587,-147.02803,-147.13481,-213.18587
1.588,-147.24789,-147.2438,-213.37494
1.589,-147.30676,-147.3231,-213.5717
1.59,-147.4575,-147.52882,-213.72711
1.591,-147.55971,-147.52992,-213.83609
1.592,-147.74835,-147.67551,-213.85027
1.593,-147.79135,-147.75439,-213.96347
1.594,-147.77527,-147.79305,-214.03523
1.595,-147.86041,-147.99751,-214.27159
1.596,-147.94308,-148.00563,-214.17821
1.597,-147.96463,-148.12038,-214.55704
1.598,-148.21156,-148.33707,-214.48015
1.599,-148.34244,-148.33827,-214.80682
1.6,-148.39073,-148.54503,-214.8064
1.601,-148.52437,-148.45638,-214.81361
1.602,-148.63753,-148.73187,-215.25768
1.603,-148.54655,-148.72693,-214.91637
1.604,-148.81242,-148.83665,-215.55954
1.605,-148.74026,-148.86534,-215.48463
1.606,-148.87631,-148.99071,-215.69383
1.607,-149.12512,-149.06667,-215.82329
1.608,-149.03731,-149.27008,-215.73416
1.609,-149.41571,-149.42993,-216.20586
1.61,-149.37326,-149.48238,-216.18977
1.611,-149.49535,-149.73756,-216.18544
1.612,-149.49519,-149.50394,-216.12279
1.613,-149.56111,-149.73729,-216.27994
1.614,-149.70692,-149.6725,-216.40485
1.615,-149.61301,-149.728,-216.52963
1.616,-149.85777,-149.89635,-216.78996
1.617,-149.76324,-149.95454,-216.73863
1.618,-150.05945,-150.17062,-217.06947
1.619,-150.21596,-150.26982,-217.18245
1.62,-150.3441,-150.48322,-217.48128
1.621,-150.36363,-150.27434,-217.21956
1.622,-150.31876,-150.55388,-217.16621
1.623,-150.53293,-150.67386,-217.6848
1.624,-150.59213,-150.66824,-217.43826
1.625,-150.6758,-150.8857,-217.81673
1.626,-150.72339,-150.71295,-217.77603
1.627,-150.82867,-150.99348,-217.76479
1.628,-150.96272,-151.11932,-218.24933
1.629,-151.07117,-151.27397,-218.26598
1.63,-151.30414,-151.32921,-218.55284
1.631,-151.35152,-151.43788,-218.38058
1.632,-151.38962,-151.44507,-218.61154
1.633,-151.5392,-151.55684,-218.68126
