"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
4.092,-18.4565449083533,-3.6990781761623,-17.726463617016,-3.70873810059699,-31.9434812586632,-17.5497664045404
4.093,-18.4694755343826,-3.69899588545942,-17.7287766369394,-3.70867667026305,-31.9051046964408,-17.5516118476278
4.094,-18.4824274096879,-3.69891379279018,-17.7310766667184,-3.70861547702815,-31.8668247671734,-17.5534443112191
4.095,-18.4954005694573,-3.69883189868589,-17.7333636611212,-3.70855452160758,-31.8286416694318,-17.5552637529759
4.096,-18.5083950489698,-3.69875020367608,-17.7356375749756,-3.70849380471504,-31.7905555818983,-17.5570701306202
4.097,-18.5214108835951,-3.69866870828846,-17.7378983631702,-3.70843332706277,-31.7525666639795,-17.5588634019345
4.098,-18.5344481087933,-3.69858741304898,-17.7401459806549,-3.70837308936144,-31.7146750564056,-17.560643524763
4.099,-18.5475067601141,-3.69850631848175,-17.7423803824417,-3.70831309232017,-31.6768808818117,-17.5624104570123
4.1,-18.5605868731961,-3.69842542510911,-17.7446015236054,-3.70825333664662,-31.6391842453053,-17.5641641566518
4.101,-18.5736884837671,-3.69834473345161,-17.7468093592847,-3.70819382304688,-31.6015852350176,-17.5659045817146
4.102,-18.5868116276426,-3.69826424402803,-17.7490038446822,-3.70813455222555,-31.5640839226407,-17.5676316902984
4.103,-18.5999563407259,-3.69818395735535,-17.7511849350663,-3.70807552488567,-31.5266803639498,-17.5693454405658
4.104,-18.6131226590075,-3.6981038739488,-17.7533525857709,-3.70801674172883,-31.4893745993119,-17.5710457907454
4.105,-18.6263106185641,-3.69802399432185,-17.7555067521967,-3.70795820345505,-31.4521666541806,-17.5727326991321
4.106,-18.6395202555583,-3.69794431898618,-17.7576473898118,-3.70789991076288,-31.4150565395773,-17.5744061240883
4.107,-18.6527516062382,-3.69786484845174,-17.7597744541526,-3.70784186434936,-31.3780442525595,-17.5760660240441
4.108,-18.6660047069363,-3.69778558322672,-17.7618879008244,-3.70778406491001,-31.3411297766765,-17.5777123574984
4.109,-18.6792795940692,-3.69770652381753,-17.7639876855021,-3.70772651313887,-31.3043130824122,-17.5793450830194
4.11,-18.6925763041369,-3.69762767072888,-17.7660737639312,-3.70766920972847,-31.2675941276166,-17.5809641592452
4.111,-18.7058948737217,-3.69754902446373,-17.7681460919283,-3.70761215536984,-31.2309728579243,-17.5825695448849
4.112,-18.7192353394884,-3.69747058552331,-17.7702046253821,-3.70755535075258,-31.1944492071625,-17.5841611987187
4.113,-18.7325977381827,-3.69739235440712,-17.7722493202539,-3.70749879656472,-31.1580230977476,-17.5857390795994
4.114,-18.7459821066307,-3.69731433161292,-17.7742801325784,-3.70744249349285,-31.1216944410699,-17.587303146452
4.115,-18.7593884817387,-3.69723651763679,-17.7762970184647,-3.70738644222207,-31.0854631378693,-17.5888533582757
4.116,-18.7728169004915,-3.69715891297307,-17.7782999340965,-3.70733064343603,-31.0493290785986,-17.5903896741433
4.117,-18.7862673999525,-3.69708151811441,-17.7802888357335,-3.70727509781687,-31.0132921437786,-17.5919120532031
4.118,-18.7997400172621,-3.69700433355174,-17.7822636797117,-3.70721980604527,-30.9773522043418,-17.5934204546784
4.119,-18.8132347896377,-3.69692735977432,-17.7842244224443,-3.70716476880044,-30.9415091219673,-17.5949148378691
4.12,-18.8267517543719,-3.69685059726972,-17.7861710204223,-3.70710998676015,-30.905762749406,-17.5963951621522
4.121,-18.8402909488327,-3.69677404652378,-17.7881034302155,-3.70705546060068,-30.8701129307969,-17.5978613869821
4.122,-18.8538524104616,-3.69669770802071,-17.7900216084729,-3.70700119099687,-30.8345595019741,-17.5993134718916
4.123,-18.8674361767733,-3.69662158224306,-17.7919255119238,-3.7069471786221,-30.7991022907656,-17.6007513764925
4.124,-18.8810422853546,-3.69654566967165,-17.7938150973781,-3.70689342414831,-30.7637411172831,-17.6021750604765
