Freq,S21_HFSS,S31_HFSS,S41_HFSS,S21_Milled,S31_Milled,S41_Milled
1.26,-8.071590464,-13.65712947,-5.123661699,-7.6567173,-5.3043036,-7.0994649
1.261,-8.083427311,-13.63723103,-5.124164808,-7.6662259,-5.30406,-7.0998883
1.262,-8.095325471,-13.6170188,-5.124686472,-7.6584406,-5.2792664,-7.1165438
1.263,-8.107285168,-13.59649542,-5.12522683,-7.6051378,-5.2718148,-7.0811353
1.264,-8.119306624,-13.5756636,-5.125786023,-7.673687,-5.3087077,-7.1229043
1.265,-8.131390059,-13.5545261,-5.126364191,-7.6409693,-5.2571282,-7.0948629
1.266,-8.143535695,-13.53308573,-5.126961476,-7.6477108,-5.2768669,-7.0836515
1.267,-8.15574375,-13.51134536,-5.127578019,-7.6434464,-5.2562995,-7.0839691
1.268,-8.16801444,-13.48930791,-5.128213964,-7.6674914,-5.2541018,-7.1038194
1.269,-8.180347981,-13.46697636,-5.128869453,-7.6660285,-5.2560792,-7.120204
1.27,-8.192744588,-13.44435373,-5.129544632,-7.6881242,-5.3049722,-7.1572618
1.271,-8.205204472,-13.42144308,-5.130239645,-7.6619301,-5.2987466,-7.1191015
1.272,-8.217727846,-13.39824752,-5.130954639,-7.65238,-5.2918682,-7.1166315
1.273,-8.230314917,-13.37477022,-5.131689758,-7.6795092,-5.2679009,-7.1328664
1.274,-8.242965892,-13.35101437,-5.132445152,-7.6687827,-5.2613626,-7.1446362
1.275,-8.255680979,-13.3269832,-5.133220967,-7.6783814,-5.244051,-7.1306334
1.276,-8.268460379,-13.30267999,-5.134017352,-7.6922798,-5.2798395,-7.1366162
1.277,-8.281304294,-13.27810803,-5.134834457,-7.7029438,-5.2599864,-7.1555715
1.278,-8.294212923,-13.25327068,-5.135672432,-7.6864071,-5.2559195,-7.1233654
1.279,-8.307186465,-13.22817129,-5.136531428,-7.7048364,-5.2663283,-7.139329
1.28,-8.320225113,-13.20281328,-5.137411595,-7.6909866,-5.2725663,-7.1347003
1.281,-8.33332906,-13.17720007,-5.138313088,-7.7251959,-5.2794824,-7.1615262
1.282,-8.346498497,-13.15133511,-5.139236057,-7.7321501,-5.2723532,-7.1689515
1.283,-8.359733611,-13.12522187,-5.140180658,-7.7099733,-5.264709,-7.1414781
1.284,-8.373034588,-13.09886386,-5.141147045,-7.6710896,-5.2348633,-7.1317697
1.285,-8.386401609,-13.0722646,-5.142135373,-7.6945577,-5.2527633,-7.1703739
1.286,-8.399834855,-13.04542761,-5.143145797,-7.7119131,-5.240449,-7.1513968
1.287,-8.413334503,-13.01835645,-5.144178475,-7.6941381,-5.2529526,-7.1381936
1.288,-8.426900726,-12.99105469,-5.145233563,-7.7137747,-5.2559805,-7.1313753
1.289,-8.440533696,-12.9635259,-5.146311221,-7.7282486,-5.2657475,-7.1712022
1.29,-8.45423358,-12.93577368,-5.147411606,-7.7363214,-5.2595334,-7.1456714
1.291,-8.468000543,-12.90780163,-5.148534879,-7.7090178,-5.2475414,-7.1337814
1.292,-8.481834748,-12.87961334,-5.149681198,-7.7307453,-5.2306423,-7.1792426
1.293,-8.49573635,-12.85121245,-5.150850727,-7.7342114,-5.2529025,-7.1669106
1.294,-8.509705506,-12.82260256,-5.152043625,-7.7099524,-5.2290888,-7.1597877
1.295,-8.523742366,-12.79378729,-5.153260055,-7.7004972,-5.2044559,-7.1550031
1.296,-8.537847077,-12.76477026,-5.154500181,-7.7310362,-5.2469587,-7.1877694
1.297,-8.552019782,-12.73555511,-5.155764166,-7.7538486,-5.2522979,-7.2050052
1.298,-8.566260621,-12.70614545,-5.157052175,-7.7445607,-5.2335968,-7.1763172
1.299,-8.580569729,-12.67654489,-5.158364373,-7.7267566,-5.2122364,-7.1681871
1.3,-8.594947238,-12.64675705,-5.159700925,-7.7162318,-5.2195401,-7.1793895
1.301,-8.609393273,-12.61678554,-5.161061999,-7.7616282,-5.2498569,-7.219492
