Freq(Hz),S11_Phase_90deg,S11_Phase_180deg,S11_Phase_thru,S11_Phase_thru_with_coupling,,
1476000000,151.0442,-194.77049,80.985031,60.390701,,
1477000000,151.32033,-195.17409,80.644051,60.220398,,
1478000000,151.83249,-195.35938,80.807838,60.060463,,
1479000000,151.06668,-196.12491,80.673103,60.277607,,
1480000000,152.76414,-196.03224,80.580551,59.746269,,
1481000000,152.51137,-195.74852,80.648552,59.818729,,
1482000000,152.36209,-196.51476,80.466873,59.842335,,
1483000000,153.40291,-196.80347,80.488235,59.674194,,
1484000000,153.19765,-197.07744,80.405579,59.713791,,
1485000000,153.17638,-197.64589,80.276329,59.520214,,
1486000000,154.2583,-197.53429,80.063499,59.218254,,
1487000000,153.71422,-198.38972,80.021774,59.510284,,
1488000000,153.22746,-198.56108,79.91095,59.302654,,
1489000000,154.22427,-198.81049,79.97686,59.172573,,
1490000000,154.08459,-198.88005,80.046761,59.345753,,
1491000000,154.47318,-199.55331,79.992546,59.112343,,
1492000000,154.26704,-199.56219,79.852921,59.041084,,
1493000000,154.93318,-199.89706,79.737358,59.03735,,
1494000000,155.26906,-200.01453,79.956261,58.827217,,
