Freq,S21_HFSS,S31_HFSS,S32_HFSS,S21_Milled,S31_Milled,S32_Milled
1.225,-3.458596588,-3.450748265,-8.352496665,-3.2947457,-3.2943072,-11.281023
1.226,-3.458571143,-3.450734837,-8.356708412,-3.3090627,-3.3231652,-11.305648
1.227,-3.458545859,-3.45072156,-8.360919781,-3.3498297,-3.3225121,-11.316729
1.228,-3.458520735,-3.450708433,-8.365130774,-3.3266172,-3.3052256,-11.325446
1.229,-3.458495771,-3.450695456,-8.369341396,-3.2840955,-3.3000727,-11.304765
1.23,-3.458470967,-3.450682628,-8.373551649,-3.3004794,-3.3048217,-11.348132
1.231,-3.458446322,-3.450669948,-8.377761537,-3.3149273,-3.2963624,-11.352738
1.232,-3.458421835,-3.450657417,-8.381971062,-3.3322308,-3.2992842,-11.393615
1.233,-3.458397507,-3.450645032,-8.386180227,-3.3085847,-3.293679,-11.338181
1.234,-3.458373336,-3.450632795,-8.390389037,-3.3298728,-3.3292484,-11.388732
1.235,-3.458349322,-3.450620703,-8.394597494,-3.2831724,-3.2815831,-11.362889
1.236,-3.458325465,-3.450608757,-8.3988056,-3.323966,-3.2888501,-11.377585
1.237,-3.458301764,-3.450596956,-8.40301336,-3.3207746,-3.2681568,-11.384791
1.238,-3.458278219,-3.450585299,-8.407220777,-3.319674,-3.3032062,-11.38697
1.239,-3.458254829,-3.450573786,-8.411427853,-3.3402216,-3.3208647,-11.40678
1.24,-3.458231594,-3.450562416,-8.415634592,-3.3075864,-3.310729,-11.405431
1.241,-3.458208513,-3.450551189,-8.419840998,-3.3301034,-3.2912042,-11.409428
1.242,-3.458185586,-3.450540103,-8.424047073,-3.3057733,-3.2869244,-11.444591
1.243,-3.458162812,-3.450529159,-8.42825282,-3.3232546,-3.3179107,-11.413763
1.244,-3.458140191,-3.450518356,-8.432458243,-3.3226929,-3.2843471,-11.441752
1.245,-3.458117723,-3.450507693,-8.436663346,-3.3260736,-3.3178768,-11.438635
1.246,-3.458095406,-3.450497169,-8.44086813,-3.3100488,-3.2853744,-11.430734
1.247,-3.45807324,-3.450486785,-8.445072601,-3.3127203,-3.29109,-11.459743
1.248,-3.458051226,-3.450476539,-8.44927676,-3.3076055,-3.2864797,-11.466923
1.249,-3.458029362,-3.45046643,-8.453480611,-3.3121567,-3.2866094,-11.459036
1.25,-3.458007648,-3.450456459,-8.457684158,-3.3182313,-3.3005927,-11.484996
1.251,-3.457986084,-3.450446625,-8.461887404,-3.3083129,-3.2702985,-11.46927
1.252,-3.457964668,-3.450436926,-8.466090352,-3.2906141,-3.2748792,-11.476719
1.253,-3.457943401,-3.450427364,-8.470293005,-3.3308539,-3.3215249,-11.510497
