!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:01:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1358000000,-3.2752421,-125.78949
1359000000,-3.2740288,-125.89876
1360000000,-3.2769625,-125.96217
1361000000,-3.321352,-126.10265
1362000000,-3.3062468,-126.28676
1363000000,-3.2864096,-126.18715
1364000000,-3.301542,-126.36297
1365000000,-3.3055997,-126.42287
1366000000,-3.265213,-126.49303
1367000000,-3.2746749,-126.45859
1368000000,-3.291486,-126.6356
1369000000,-3.2838552,-126.70985
1370000000,-3.2845778,-126.91788
1371000000,-3.2926974,-126.83719
1372000000,-3.2859044,-127.24702
1373000000,-3.2791243,-127.217
1374000000,-3.2928054,-127.20992
1375000000,-3.283803,-127.21916
1376000000,-3.2927001,-127.37717
1377000000,-3.2770586,-127.55555
1378000000,-3.2809415,-127.60339
1379000000,-3.2978554,-127.81506
1380000000,-3.2943864,-127.79327
1381000000,-3.3238397,-127.86414
1382000000,-3.2874339,-127.97488
1383000000,-3.2909613,-128.07388
1384000000,-3.2875969,-128.09003
1385000000,-3.2816491,-128.19771
1386000000,-3.2762461,-128.271
1387000000,-3.2999437,-128.29858
1388000000,-3.3035131,-128.5699
1389000000,-3.2844713,-128.60724
1390000000,-3.3031194,-128.74338
1391000000,-3.2960706,-128.91283
1392000000,-3.3035593,-128.88481
1393000000,-3.2925491,-128.93184
1394000000,-3.2871337,-129.23698
1395000000,-3.2665579,-129.01306
1396000000,-3.2748015,-129.40213
1397000000,-3.316293,-129.40518
1398000000,-3.2888744,-129.60258
1399000000,-3.2655599,-129.32742
1400000000,-3.3052082,-129.70042
1401000000,-3.2860069,-129.83144
1402000000,-3.2767382,-129.68112
1403000000,-3.2779837,-129.95915
1404000000,-3.2925255,-129.90149
1405000000,-3.2855122,-130.1665
1406000000,-3.295444,-130.20558
1407000000,-3.3071225,-130.21576
1408000000,-3.2936218,-130.19205
1409000000,-3.2721705,-130.43839
1410000000,-3.2817729,-130.63147
1411000000,-3.2637906,-130.75763
