Freq(Hz),S21 Log Mag(dB),S21 Phase,S11 Log Mag(dB),S11 Phase
1319000000,-0.40063533,103.23207,-23.947544,119.09692
1320000000,-0.38320446,102.9673,-24.036013,119.30183
1321000000,-0.41892618,102.91743,-24.065723,120.44415
1322000000,-0.43410775,102.80283,-24.096214,120.72246
1323000000,-0.39686427,102.64954,-24.156281,121.4304
1324000000,-0.40586698,102.30118,-24.064306,122.4218
1325000000,-0.40520045,102.13251,-24.185061,122.61743
1326000000,-0.43265164,101.90826,-24.234768,123.85481
1327000000,-0.41502866,101.62669,-24.288616,124.64503
1328000000,-0.42038056,101.54459,-24.216259,124.0807
1329000000,-0.41238967,101.38356,-24.235468,125.48327
1330000000,-0.41394779,101.11855,-24.30798,127.11589
1331000000,-0.42429191,100.91304,-24.224419,126.61964
1332000000,-0.43573108,100.62466,-24.337418,127.01688
1333000000,-0.42263678,100.44649,-24.334642,128.68703
1334000000,-0.43042883,100.22215,-24.362436,129.6926
1335000000,-0.38536605,100.01059,-24.279308,129.33829
1336000000,-0.40190047,99.897484,-24.243477,131.29747
1337000000,-0.39986023,99.830223,-24.428215,131.31131
1338000000,-0.41526139,99.549644,-24.414553,131.42673
1339000000,-0.40749112,99.280579,-24.379185,131.85658
1340000000,-0.43675503,99.000694,-24.422525,132.81036
1341000000,-0.39545828,99.012947,-24.219765,134.26109
1342000000,-0.41354594,98.73555,-24.344238,135.03717
1343000000,-0.424743,98.368607,-24.330755,135.42793
1344000000,-0.41047731,98.162056,-24.35828,136.24779
1345000000,-0.43567696,98.144142,-24.281252,137.16103
1346000000,-0.4400889,97.928268,-24.346745,136.92207
1347000000,-0.43425375,97.655708,-24.349167,137.63469
1348000000,-0.42748052,97.399498,-24.215599,138.60564
1349000000,-0.42457971,97.146004,-24.289225,140.52585
1350000000,-0.40624058,96.943542,-24.288536,140.96608
1351000000,-0.42568976,96.813934,-24.255381,140.35121
1352000000,-0.42673662,96.754074,-24.270485,141.98817
1353000000,-0.42307171,96.587173,-24.100105,142.36444
1354000000,-0.41611955,96.202126,-24.157534,142.91083
1355000000,-0.42794269,96.145195,-24.166712,143.85143
1356000000,-0.39322761,95.914894,-24.130047,144.75461
1357000000,-0.45314717,95.524513,-24.139233,144.17908
1358000000,-0.41627344,95.519264,-24.075449,146.0029
1359000000,-0.4152824,95.204857,-23.969746,147.07582
1360000000,-0.41838896,94.953781,-23.964384,147.21713
1361000000,-0.3974424,94.844612,-23.914099,148.02423
1362000000,-0.45029721,94.777977,-23.940758,148.97791
1363000000,-0.44074547,94.628433,-23.852173,149.21606
1364000000,-0.40782407,94.273209,-23.693478,150.2137
1365000000,-0.42103645,94.028526,-23.760569,150.20087
1366000000,-0.4185105,93.915024,-23.788181,151.80751
1367000000,-0.41177398,93.657265,-23.583889,152.30582
1368000000,-0.43054518,93.46106,-23.676491,152.08446
1369000000,-0.42796531,93.427933,-23.498646,153.63776
1370000000,-0.44168013,93.061417,-23.487427,153.67839
1371000000,-0.41257104,92.87426,-23.4485,154.02763
1372000000,-0.450021,92.535431,-23.421614,155.07396
1373000000,-0.41503617,92.550476,-23.350172,155.27455
1374000000,-0.43852955,92.238663,-23.241791,156.30443
1375000000,-0.41833669,91.997101,-23.233946,156.10207
1376000000,-0.39837953,92.019913,-23.06052,156.95717
1377000000,-0.44112423,91.548279,-23.180773,157.54242
1378000000,-0.43390754,91.381569,-22.988842,158.47794
1379000000,-0.3971768,91.293556,-22.905539,158.91237
