Freq(Hz),Line S21 Phase,,Thru S21 Phase,,Line S21 Phase Sim,,Thru S21 Phase Sim
1215000000,-37.91267,,-1.0184985,,58.3961215,,-77.72860276
1216000000,-37.751442,,-0.93569791,,58.29501223,,-77.79336221
1217000000,-37.856354,,-0.98123479,,58.19390303,,-77.85812122
1218000000,-37.90678,,-0.95805985,,58.09279388,,-77.92287978
1219000000,-38.040001,,-0.98133659,,57.9916848,,-77.9876379
1220000000,-37.98772,,-1.0781826,,57.89057577,,-78.05239558
1221000000,-37.985542,,-1.0073204,,57.78946681,,-78.11715281
1222000000,-37.980198,,-1.1519731,,57.68835791,,-78.18190961
1223000000,-37.945972,,-0.98676467,,57.58724907,,-78.24666597
1224000000,-37.841175,,-0.84051788,,57.4861403,,-78.31142189
1225000000,-37.826233,,-0.8152588,,57.38503159,,-78.37617738
1226000000,-38.040478,,-0.95426613,,57.28392295,,-78.44093243
1227000000,-38.156193,,-0.92722422,,57.18281438,,-78.50568705
1228000000,-38.356297,,-1.0849049,,57.08170587,,-78.57044123
1229000000,-38.179031,,-1.065913,,56.98059744,,-78.63519499
1230000000,-38.130165,,-0.98676854,,56.87948907,,-78.69994832
1231000000,-38.116047,,-0.87076843,,56.77838078,,-78.76470122
1232000000,-38.283207,,-0.90413624,,56.67727255,,-78.8294537
1233000000,-38.317444,,-1.150485,,56.5761644,,-78.89420575
1234000000,-38.514175,,-1.2167265,,56.47505632,,-78.95895737
1235000000,-38.478355,,-0.9961403,,56.37394832,,-79.02370858
1236000000,-38.315536,,-0.89868057,,56.27284039,,-79.08845936
1237000000,-38.333977,,-0.78128093,,56.17173253,,-79.15320973
1238000000,-38.31311,,-0.93650764,,56.07062476,,-79.21795967
1239000000,-38.307766,,-1.0010996,,55.96951706,,-79.2827092
1240000000,-38.521984,,-0.98479432,,55.86840943,,-79.34745832
1241000000,-38.538887,,-1.1386894,,55.76730189,,-79.41220702
1242000000,-38.493221,,-0.8934201,,55.66619442,,-79.47695531
1243000000,-38.657703,,-0.97782528,,55.56508703,,-79.54170318
1244000000,-38.497246,,-0.84854221,,55.46397973,,-79.60645065
1245000000,-38.812248,,-0.93833971,,55.3628725,,-79.67119771
1246000000,-38.598629,,-0.85300398,,55.26176536,,-79.73594436
1247000000,-38.711872,,-1.1076087,,55.1606583,,-79.80069061
1248000000,-38.742455,,-0.90857559,,55.05955132,,-79.86543645
1249000000,-38.781094,,-0.99992126,,54.95844443,,-79.93018189
1250000000,-38.839821,,-0.90267193,,54.85733762,,-79.99492692
1251000000,-38.837616,,-1.0511382,,54.75623089,,-80.05967156
1252000000,-38.848579,,-0.93690699,,54.65512425,,-80.12441579
