"Freq [GHz]","im(Z(1,1)) []"
1.49,-1498.01235068609
1.491,-1496.36427231998
1.492,-1494.71921436465
1.493,-1493.07717026007
1.494,-1491.43813346294
1.495,-1489.80209744678
1.496,-1488.16905570184
1.497,-1486.53900173487
1.498,-1484.91192906938
1.499,-1483.28783124532
1.5,-1481.6667018192
1.501,-1480.04853436388
1.502,-1478.43332246866
1.503,-1476.82105973924
1.504,-1475.21173979759
1.505,-1473.60535628178
1.506,-1472.00190284623
1.507,-1470.4013731616
1.508,-1468.80376091433
1.509,-1467.20905980712
1.51,-1465.61726355873
1.511,-1464.02836590375
1.512,-1462.44236059271
1.513,-1460.85924139189
1.514,-1459.27900208359
1.515,-1457.70163646578
1.516,-1456.12713835196
1.517,-1454.55550157156
1.518,-1452.98671996949
1.519,-1451.42078740625
1.52,-1449.85769775787
1.521,-1448.29744491587
1.522,-1446.74002278718
1.523,-1445.18542529412
1.524,-1443.63364637433
1.525,-1442.08467998077
1.526,-1440.53852008159
1.527,-1438.99516066027
1.528,-1437.45459571523
1.529,-1435.91681926022
1.53,-1434.38182532396
1.531,-1432.84960795013
1.532,-1431.32016119745
1.533,-1429.7934791396
1.534,-1428.26955586508
1.535,-1426.7483854772
1.536,-1425.22996209419
1.537,-1423.71427984894
1.538,-1422.20133288909
1.539,-1420.69111537681
1.54,-1419.18362148918
1.541,-1417.67884541753
1.542,-1416.17678136794
1.543,-1414.67742356083
1.544,-1413.18076623126
1.545,-1411.68680362854
1.546,-1410.19553001632
1.547,-1408.70693967273
1.548,-1407.22102688998
1.549,-1405.73778597471
1.55,-1404.25721124762
1.551,-1402.77929704356
1.552,-1401.30403771147
1.553,-1399.83142761461
1.554,-1398.36146112984
1.555,-1396.89413264836
1.556,-1395.42943657514
1.557,-1393.96736732907
1.558,-1392.50791934301
1.559,-1391.05108706346
1.56,-1389.59686495075
1.561,-1388.14524747912
1.562,-1386.69622913623
1.563,-1385.24980442371
1.564,-1383.8059678565
1.565,-1382.36471396331
1.566,-1380.92603728631
1.567,-1379.48993238124
1.568,-1378.05639381721
