Freq,S21sim,S21mea
1.657,-0.802294292,-0.60500008
1.658,-0.801615347,-0.62243873
1.659,-0.800939596,-0.61517709
1.66,-0.800267027,-0.61428082
1.661,-0.79959763,-0.61638623
1.662,-0.798931393,-0.60420489
1.663,-0.798268307,-0.60068172
1.664,-0.797608361,-0.63108277
1.665,-0.796951543,-0.60540682
1.666,-0.796297843,-0.62304717
1.667,-0.795647252,-0.64176154
1.668,-0.794999757,-0.60419917
1.669,-0.794355348,-0.60494184
1.67,-0.793714016,-0.61074197
1.671,-0.793075749,-0.61799806
1.672,-0.792440537,-0.57890695
1.673,-0.791808369,-0.60061473
1.674,-0.791179236,-0.59656495
1.675,-0.790553126,-0.61718768
1.676,-0.78993003,-0.62231028
1.677,-0.789309936,-0.5900209
1.678,-0.788692835,-0.57407576
1.679,-0.788078717,-0.58628625
1.68,-0.78746757,-0.59678781
1.681,-0.786859386,-0.59718883
1.682,-0.786254153,-0.61662638
1.683,-0.785651861,-0.57566917
1.684,-0.785052501,-0.62636703
1.685,-0.784456062,-0.60230905
1.686,-0.783862534,-0.61526287
1.687,-0.783271907,-0.6011951
1.688,-0.782684171,-0.57264322
1.689,-0.782099316,-0.58151364
1.69,-0.781517332,-0.58868384
1.691,-0.780938209,-0.57139903
1.692,-0.780361937,-0.6042769
1.693,-0.779788506,-0.59586412
1.694,-0.779217907,-0.60772872
1.695,-0.778650129,-0.57452595
1.696,-0.778085162,-0.60331559
1.697,-0.777522997,-0.60355842
1.698,-0.776963624,-0.58889991
1.699,-0.776407033,-0.58568949
1.7,-0.775853215,-0.57415211
1.701,-0.775302159,-0.58191586
1.702,-0.774753857,-0.59568614
1.703,-0.774208298,-0.58690327
1.704,-0.773665473,-0.58640444
1.705,-0.773125373,-0.59693807
1.706,-0.772587987,-0.58388078
1.707,-0.772053306,-0.56929833
1.708,-0.771521321,-0.57883191
1.709,-0.770992022,-0.58948749
1.71,-0.7704654,-0.58569616
1.711,-0.769941445,-0.58642256
1.712,-0.769420148,-0.55601519
1.713,-0.768901499,-0.57925659
1.714,-0.76838549,-0.59810156
1.715,-0.767872111,-0.55074704
1.716,-0.767361352,-0.57025397
1.717,-0.766853205,-0.56900078
1.718,-0.766347659,-0.57720149
1.719,-0.765844707,-0.57068586
1.72,-0.765344338,-0.56805712
1.721,-0.764846544,-0.57732028
1.722,-0.764351315,-0.59216994
1.723,-0.763858642,-0.58196759
1.724,-0.763368517,-0.56239074
1.725,-0.76288093,-0.5701555
1.726,-0.762395872,-0.59699386
1.727,-0.761913334,-0.5929864
1.728,-0.761433307,-0.55530703
1.729,-0.760955782,-0.59619462
1.73,-0.760480751,-0.54454017
1.731,-0.760008204,-0.54653913
1.732,-0.759538133,-0.55791253
1.733,-0.759070528,-0.55503476
1.734,-0.758605381,-0.55835396
1.735,-0.758142684,-0.57442123
1.736,-0.757682426,-0.57425898
1.737,-0.757224601,-0.59751856
1.738,-0.756769198,-0.58606362
1.739,-0.75631621,-0.55044627
1.74,-0.755865627,-0.56174219
1.741,-0.755417441,-0.56600332
1.742,-0.754971643,-0.53044933
1.743,-0.754528225,-0.58549953
1.744,-0.754087179,-0.56544173
1.745,-0.753648495,-0.57162112
1.746,-0.753212166,-0.5920372
1.747,-0.752778182,-0.56989062
1.748,-0.752346536,-0.54427606
1.749,-0.751917218,-0.54160124
1.75,-0.751490221,-0.54582566
1.751,-0.751065536,-0.55482447
1.752,-0.750643156,-0.53880161
1.753,-0.75022307,-0.56811082
1.754,-0.749805272,-0.57060879
1.755,-0.749389753,-0.59738398
1.756,-0.748976505,-0.54232872
1.757,-0.748565519,-0.56543183
1.758,-0.748156788,-0.53624874
1.759,-0.747750303,-0.52648646
1.76,-0.747346056,-0.54127449
1.761,-0.746944039,-0.53850096
1.762,-0.746544244,-0.55170798
1.763,-0.746146664,-0.56455004
1.764,-0.745751289,-0.56235248
1.765,-0.745358111,-0.56620342
1.766,-0.744967124,-0.55406433
1.767,-0.744578319,-0.53877711
1.768,-0.744191688,-0.53821844
1.769,-0.743807224,-0.53156871
1.77,-0.743424917,-0.55258441
1.771,-0.743044761,-0.53744948
1.772,-0.742666748,-0.53885925
1.773,-0.74229087,-0.52372169
1.774,-0.741917119,-0.53366351
1.775,-0.741545487,-0.51978445
