!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 29, 2016 12:03:07
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1518000000,57.433331,-425.95901
1519000000,54.824364,-421.62317
1520000000,54.085266,-423.09164
1521000000,57.467937,-409.33371
1522000000,55.726223,-409.13507
1523000000,48.460819,-405.70782
1524000000,48.342567,-396.01303
1525000000,47.962822,-399.30258
1526000000,48.130432,-387.93195
1527000000,47.40588,-386.62244
1528000000,49.974487,-379.82004
1529000000,39.700474,-378.33734
1530000000,44.6707,-369.27884
1531000000,45.537571,-365.2597
1532000000,44.401592,-364.62396
1533000000,45.109238,-357.57254
1534000000,39.132874,-357.26453
1535000000,41.309425,-356.00156
1536000000,39.151745,-349.54681
1537000000,36.295952,-347.02203
1538000000,39.359673,-346.76154
1539000000,38.136093,-337.96609
1540000000,36.789398,-338.09622
1541000000,35.430172,-332.87619
1542000000,36.304993,-330.97894
1543000000,34.843128,-324.72491
1544000000,35.988346,-324.93771
1545000000,31.871445,-321.06366
1546000000,34.148273,-317.9248
1547000000,33.536903,-314.49017
1548000000,33.072121,-310.5217
1549000000,31.723568,-310.33734
1550000000,30.013538,-308.10062
1551000000,31.096161,-303.35657
1552000000,31.544954,-301.33148
1553000000,28.729027,-297.97836
1554000000,29.490215,-296.48444
1555000000,27.656948,-291.33524
1556000000,28.097988,-292.05612
1557000000,27.683443,-287.86548
1558000000,27.212154,-286.56622
1559000000,27.404938,-285.44315
1560000000,24.875793,-280.88211
1561000000,26.31599,-280.18958
1562000000,25.069338,-278.16901
1563000000,26.644308,-276.58649
1564000000,25.182182,-274.15524
1565000000,23.529524,-274.01685
1566000000,23.205273,-269.0332
1567000000,20.465199,-266.81274
1568000000,21.711073,-265.40814
1569000000,23.475309,-263.18088
1570000000,21.211941,-258.37875
1571000000,22.434355,-256.91241
1572000000,23.492355,-255.24986
1573000000,19.259205,-254.43051
1574000000,21.297546,-251.96475
1575000000,18.902435,-251.50128
1576000000,18.07379,-248.50032
1577000000,18.205105,-247.42754
1578000000,19.111141,-246.37692
1579000000,19.191334,-242.70351
1580000000,19.515671,-241.47983
1581000000,19.799467,-239.2798
1582000000,19.512989,-239.88287
1583000000,18.671848,-236.71774
1584000000,19.319689,-235.11818
1585000000,17.972525,-232.67598
1586000000,18.033237,-232.9135
1587000000,17.716433,-229.99628
1588000000,15.857945,-228.29347
1589000000,18.78894,-226.75273
1590000000,16.557379,-226.82117
1591000000,16.923906,-223.51501
1592000000,17.446991,-222.54622
1593000000,17.947655,-221.17619
1594000000,16.619541,-220.62695
1595000000,15.368256,-218.40239
1596000000,16.342037,-217.48557
1597000000,15.808742,-215.18994
1598000000,15.228139,-214.14735
1599000000,13.963151,-212.8037
1600000000,14.966382,-211.8521
1601000000,14.950063,-209.8531
1602000000,14.833929,-209.50749
1603000000,14.178464,-207.28201
1604000000,14.885877,-207.11852
1605000000,14.067698,-205.41026
1606000000,14.188707,-204.99281
1607000000,13.644247,-203.18562
1608000000,14.343551,-201.02837
1609000000,13.977358,-200.6026
1610000000,12.879847,-199.63234
1611000000,12.039312,-199.10753
1612000000,12.705623,-196.731
1613000000,13.298045,-195.70288
1614000000,12.368098,-194.26788
1615000000,12.440978,-193.40057
1616000000,12.970962,-192.45868
1617000000,13.119949,-191.26717
1618000000,12.702741,-189.10263
1619000000,11.475604,-187.5639
1620000000,11.930318,-188.10535
1621000000,11.000031,-186.22789
1622000000,11.075986,-186.06171
1623000000,11.89073,-184.33345
1624000000,10.694756,-183.44429
1625000000,11.388572,-182.45161
1626000000,11.437642,-180.89998
1627000000,11.21071,-179.98508
1628000000,11.502739,-179.36061
1629000000,11.319315,-177.36972
1630000000,10.224828,-177.23402
1631000000,10.683116,-176.43622
1632000000,11.041403,-175.80609
1633000000,10.121061,-174.53041
1634000000,10.868213,-173.69006
1635000000,10.10805,-173.01328
1636000000,10.231987,-171.44875
1637000000,10.467958,-170.67937
1638000000,9.9412203,-170.64967
1639000000,9.4924841,-168.75696
1640000000,10.489207,-169.11395
1641000000,8.4364052,-167.93958
