frequency, S11, S12, S21, S22
2959879424.0000000000, -1.5590883296, -10.4584896561, -10.4584862637, -1.5590869364
2960879360.0000000000, -1.5546846268, -10.4697513759, -10.4697522249, -1.5546846268
2961879296.0000000000, -1.5503030463, -10.4810538436, -10.4810521435, -1.5503044383
2962879232.0000000000, -1.5459449514, -10.4923810143, -10.4923818653, -1.5459449514
2963879168.0000000000, -1.5416054444, -10.5037423292, -10.5037414773, -1.5416054444
2964879104.0000000000, -1.5372872824, -10.5151268020, -10.5151302137, -1.5372879775
2965879040.0000000000, -1.5329890489, -10.5265498674, -10.5265532830, -1.5329904385
2966878976.0000000000, -1.5287128025, -10.5380022392, -10.5380013843, -1.5287100245
2967878912.0000000000, -1.5244536563, -10.5494874268, -10.5494891386, -1.5244564331
2968878848.0000000000, -1.5202213042, -10.5609986734, -10.5609986734, -1.5202199163
2969878784.0000000000, -1.5160101638, -10.5725429166, -10.5725429166, -1.5160101638
2970878720.0000000000, -1.5118167425, -10.5841159612, -10.5841202555, -1.5118139692
2971878656.0000000000, -1.5076410188, -10.5957239109, -10.5957247707, -1.5076458700
2972878592.0000000000, -1.5034933624, -10.6073599849, -10.6073582632, -1.5034933624
2973878528.0000000000, -1.4993675071, -10.6190285750, -10.6190259895, -1.4993647372
2974878464.0000000000, -1.4952585812, -10.6307254652, -10.6307254652, -1.4952585812
2975878400.0000000000, -1.4911693323, -10.6424472833, -10.6424498749, -1.4911707161
2976878336.0000000000, -1.4871052698, -10.6542044796, -10.6542070743, -1.4871066530
2977878272.0000000000, -1.4830629069, -10.6659980288, -10.6659988947, -1.4830629069
2978878208.0000000000, -1.4790394539, -10.6778150394, -10.6778159063, -1.4790422181
2979878144.0000000000, -1.4750411055, -10.6896642577, -10.6896668616, -1.4750424871
2980878080.0000000000, -1.4710595463, -10.7015457817, -10.7015475197, -1.4710595463
2981878016.0000000000, -1.4671030397, -10.7134605800, -10.7134605800, -1.4671030397
2982877952.0000000000, -1.4631653468, -10.7254026574, -10.7254026574, -1.4631646569
2983877888.0000000000, -1.4592519637, -10.7373694784, -10.7373703505, -1.4592519637
