Freq(Hz),S11 Log Mag(dB),S11 Phase(�),S22 Log Mag(dB),S22 Phase(�),S21 Log Mag(dB),S21 Phase(�),S31 Log Mag(dB),S31 Phase(�),S32 Log Mag(dB),S32 Phase(�),S33 Log Mag(dB),S33 Phase(�)
1129000000,-15.015865,113.94122,-16.584328,-1.025463,-3.3392096,-104.43486,-3.3214946,-104.27454,-10.651869,-159.01129,-17.138,-0.15050283
1130000000,-15.013461,113.92757,-16.602901,-1.2049241,-3.3335533,-104.38599,-3.3451848,-104.18362,-10.663339,-159.16167,-17.160881,-0.36029515
1131000000,-15.024509,114.2209,-16.62578,-1.3820492,-3.306725,-104.50404,-3.3065069,-104.51856,-10.610091,-159.25116,-17.190987,-0.56162274
1132000000,-15.048821,114.22842,-16.619488,-1.0259644,-3.3261104,-104.7036,-3.3132675,-104.37225,-10.651902,-159.10336,-17.146215,-0.38995785
1133000000,-15.046734,113.91173,-16.621786,-1.1537611,-3.3115656,-104.83525,-3.2973351,-104.6576,-10.657561,-159.60838,-17.192564,-0.41121709
1134000000,-15.094934,113.88236,-16.557812,-1.3758147,-3.3134766,-104.91766,-3.3072412,-104.79974,-10.691261,-159.77344,-17.151205,-0.61071634
1135000000,-15.122106,113.82269,-16.604326,-1.3007542,-3.3261051,-104.72276,-3.3434019,-104.77855,-10.710342,-159.61465,-17.156687,-0.5104748
1136000000,-15.147092,113.93987,-16.637806,-1.550361,-3.3474836,-105.08185,-3.3285432,-104.87434,-10.69614,-159.8159,-17.207403,-0.85642719
1137000000,-15.128906,113.57342,-16.611334,-1.8052855,-3.3607228,-105.08183,-3.3209143,-105.0153,-10.706781,-159.81531,-17.179651,-1.0704379
1138000000,-15.111493,113.49619,-16.585649,-1.5491349,-3.3059881,-105.21326,-3.2958481,-105.049,-10.707919,-159.99721,-17.141642,-0.76951951
1139000000,-15.091083,113.73604,-16.65502,-1.4248052,-3.3389089,-105.35986,-3.3202217,-105.22948,-10.731966,-160.09691,-17.250338,-0.77389401
1140000000,-15.158314,113.44909,-16.628586,-1.6194237,-3.3522301,-105.52705,-3.3101108,-105.36961,-10.738436,-160.34682,-17.207508,-0.79127067
1141000000,-15.135756,113.86561,-16.690544,-1.7031668,-3.3504701,-105.41581,-3.3168252,-105.37417,-10.743497,-160.45541,-17.256216,-1.0114204
1142000000,-15.142888,113.2687,-16.659296,-1.6373982,-3.3290906,-105.61431,-3.3230083,-105.50118,-10.748964,-160.47791,-17.242136,-0.88278133
1143000000,-15.176283,113.63442,-16.630621,-1.7698874,-3.3147638,-105.7084,-3.2823567,-105.35095,-10.721813,-160.4575,-17.208094,-1.0742424
1144000000,-15.197341,113.49389,-16.646395,-1.8863337,-3.3201778,-105.64284,-3.3101554,-105.79849,-10.748817,-160.69496,-17.233351,-1.0850028
1145000000,-15.100681,113.32818,-16.680548,-1.9177802,-3.3087275,-106.02812,-3.3084638,-105.82693,-10.74229,-160.88982,-17.254557,-1.212927
1146000000,-15.150697,113.5737,-16.670696,-1.91576,-3.2941363,-105.99572,-3.304914,-105.77106,-10.738216,-160.6777,-17.245117,-0.89776224
1147000000,-15.154462,113.28203,-16.671387,-1.8964908,-3.3163538,-106.1722,-3.2809541,-105.90549,-10.742579,-161.06796,-17.238831,-1.0720769
1148000000,-15.20194,113.08075,-16.684624,-2.2049892,-3.3247371,-106.17742,-3.2966917,-105.99597,-10.773067,-161.30267,-17.249329,-1.5643705
1149000000,-15.219363,113.34443,-16.694445,-2.0659657,-3.3138397,-106.2381,-3.2954259,-106.04414,-10.770821,-161.2072,-17.277639,-1.39817
1150000000,-15.236629,113.02416,-16.688026,-2.2652972,-3.3215039,-106.40431,-3.3107455,-106.27146,-10.792253,-161.29871,-17.265158,-1.5058714
1151000000,-15.186556,113.31746,-16.706423,-2.1668291,-3.3276973,-106.33214,-3.3173504,-106.25132,-10.799948,-161.40034,-17.280592,-1.3927373
1152000000,-15.165966,113.33648,-16.699116,-1.9702041,-3.3099077,-106.51936,-3.2783864,-106.39413,-10.774674,-161.75192,-17.265202,-1.3691696
1153000000,-15.196902,112.99442,-16.704723,-1.9465641,-3.2970021,-106.54533,-3.2929566,-106.36574,-10.792825,-161.69199,-17.282534,-1.1038721
