"Freq [GHz]","S(1,1) []"
1.993,-0.922503722532159 + 0.364230613262536i
1.994,-0.922321115964579 + 0.364654154483316i
1.995,-0.922138190258637 + 0.365077809402256i
1.996,-0.92195494465892 + 0.365501578599332i
1.997,-0.921771378406579 + 0.365925462655528i
1.998,-0.921587490739303 + 0.366349462152848i
1.999,-0.92140328089131 + 0.366773577674311i
2,-0.921218748093326 + 0.367197809803965i
2.001,-0.921033891572568 + 0.367622159126885i
2.002,-0.920848710552732 + 0.368046626229177i
2.003,-0.920663204253971 + 0.368471211697989i
2.004,-0.920477371892878 + 0.368895916121508i
2.005,-0.920291212682474 + 0.369320740088967i
2.006,-0.920104725832188 + 0.369745684190652i
2.007,-0.919917910547837 + 0.370170749017903i
2.008,-0.919730766031613 + 0.37059593516312i
2.009,-0.919543291482062 + 0.371021243219766i
2.01,-0.919355486094069 + 0.371446673782376i
2.011,-0.91916734905884 + 0.371872227446553i
2.012,-0.918978879563881 + 0.372297904808982i
2.013,-0.918790076792985 + 0.372723706467427i
2.014,-0.91860093992621 + 0.373149633020741i
2.015,-0.918411468139863 + 0.373575685068866i
2.016,-0.91822166060648 + 0.37400186321284i
2.017,-0.918031516494808 + 0.374428168054803i
2.018,-0.91784103496979 + 0.374854600197994i
2.019,-0.917650215192539 + 0.375281160246768i
2.02,-0.917459056320327 + 0.37570784880659i
2.021,-0.917267557506561 + 0.376134666484042i
2.022,-0.917075717900767 + 0.376561613886831i
2.023,-0.916883536648568 + 0.376988691623788i
2.024,-0.916691012891667 + 0.377415900304882i
2.025,-0.916498145767828 + 0.377843240541211i
2.026,-0.916304934410853 + 0.378270712945016i
2.027,-0.916111377950568 + 0.378698318129688i
2.028,-0.915917475512797 + 0.379126056709761i
2.029,-0.915723226219347 + 0.37955392930093i
2.03,-0.915528629187987 + 0.379981936520043i
2.031,-0.915333683532426 + 0.380410078985118i
2.032,-0.915138388362292 + 0.380838357315338i
2.033,-0.914942742783117 + 0.381266772131057i
2.034,-0.914746745896311 + 0.381695324053811i
2.035,-0.914550396799144 + 0.382124013706316i
2.036,-0.914353694584723 + 0.382552841712476i
2.037,-0.914156638341975 + 0.382981808697385i
2.038,-0.913959227155623 + 0.383410915287334i
2.039,-0.913761460106164 + 0.383840162109813i
2.04,-0.91356333626985 + 0.384269549793523i
2.041,-0.913364854718667 + 0.384699078968368i
2.042,-0.913166014520307 + 0.385128750265472i
2.043,-0.91296681473816 + 0.385558564317176i
2.044,-0.912767254431274 + 0.385988521757046i
2.045,-0.91256733265435 + 0.386418623219878i
2.046,-0.912367048457708 + 0.386848869341698i
2.047,-0.912166400887269 + 0.387279260759774i
2.048,-0.911965388984535 + 0.387709798112615i
2.049,-0.911764011786563 + 0.388140482039977i
2.05,-0.91156226832594 + 0.388571313182872i
2.051,-0.911360157630768 + 0.389002292183564i
2.052,-0.911157678724635 + 0.389433419685582i
2.053,-0.910954830626591 + 0.389864696333722i
2.054,-0.910751612351129 + 0.390296122774049i
2.055,-0.910548022908157 + 0.390727699653903i
2.056,-0.91034406130298 + 0.39115942762191i
2.057,-0.910139726536269 + 0.391591307327975i
2.058,-0.909935017604044 + 0.392023339423299i
2.059,-0.909729933497644 + 0.392455524560374i
2.06,-0.909524473203708 + 0.392887863392992i
2.061,-0.909318635704147 + 0.393320356576251i
2.062,-0.909112419976121 + 0.393753004766557i
2.063,-0.908905824992013 + 0.394185808621631i
2.064,-0.908698849719403 + 0.394618768800512i
2.065,-0.90849149312105 + 0.395051885963563i
2.066,-0.908283754154858 + 0.395485160772474i
2.067,-0.908075631773853 + 0.395918593890269i
2.068,-0.907867124926161 + 0.396352185981311i
2.069,-0.907658232554979 + 0.396785937711302i
2.07,-0.90744895359855 + 0.397219849747296i
2.071,-0.907239286990137 + 0.397653922757695i
2.072,-0.907029231657996 + 0.39808815741226i
2.073,-0.906818786525351 + 0.398522554382114i
2.074,-0.906607950510365 + 0.398957114339747i
2.075,-0.906396722526118 + 0.399391837959016i
2.076,-0.906185101480574 + 0.39982672591516i
2.077,-0.905973086276557 + 0.400261778884795i
2.078,-0.905760675811724 + 0.400696997545926i
2.079,-0.905547868978539 + 0.401132382577942i
2.08,-0.905334664664239 + 0.401567934661636i
2.081,-0.905121061750813 + 0.402003654479194i
2.082,-0.904907059114972 + 0.402439542714209i
2.083,-0.904692655628118 + 0.402875600051687i
2.084,-0.90447785015632 + 0.403311827178043i
2.085,-0.904262641560282 + 0.403748224781114i
2.086,-0.904047028695314 + 0.404184793550162i
2.087,-0.903831010411307 + 0.404621534175875i
2.088,-0.9036145855527 + 0.405058447350378i
2.089,-0.903397752958452 + 0.40549553376723i
2.09,-0.90318051146201 + 0.405932794121438i
2.091,-0.902962859891286 + 0.406370229109453i
2.092,-0.902744797068617 + 0.406807839429183i
2.093,-0.902526321810744 + 0.40724562577999i
2.094,-0.902307432928779 + 0.407683588862696i
2.095,-0.90208812922817 + 0.408121729379598i
2.096,-0.901868409508673 + 0.408560048034458i
2.097,-0.901648272564327 + 0.408998545532517i
2.098,-0.901427717183412 + 0.409437222580498i
2.099,-0.901206742148424 + 0.40987607988661i
2.1,-0.900985346236045 + 0.410315118160552i
2.101,-0.900763528217106 + 0.410754338113517i
2.102,-0.900541286856558 + 0.411193740458203i
2.103,-0.900318620913439 + 0.41163332590881i
2.104,-0.900095529140842 + 0.41207309518105i
2.105,-0.899872010285883 + 0.412513048992146i
2.106,-0.899648063089666 + 0.412953188060845i
2.107,-0.899423686287248 + 0.413393513107414i
2.108,-0.899198878607615 + 0.413834024853653i
2.109,-0.898973638773638 + 0.414274724022891i
2.11,-0.898747965502041 + 0.414715611339999i
2.111,-0.898521857503374 + 0.415156687531389i
2.112,-0.898295313481971 + 0.415597953325022i
2.113,-0.898068332135917 + 0.416039409450411i
2.114,-0.897840912157017 + 0.416481056638622i
2.115,-0.897613052230757 + 0.416922895622291i
2.116,-0.897384751036271 + 0.417364927135612i
2.117,-0.897156007246305 + 0.417807151914357i
2.118,-0.896926819527179 + 0.418249570695867i
2.119,-0.896697186538753 + 0.418692184219069i
2.12,-0.896467106934395 + 0.419134993224471i
2.121,-0.896236579360936 + 0.419577998454172i
2.122,-0.896005602458639 + 0.420021200651866i
2.123,-0.895774174861161 + 0.420464600562844i
2.124,-0.895542295195514 + 0.420908198934001i
2.125,-0.895309962082032 + 0.42135199651384i
2.126,-0.895077174134327 + 0.421795994052475i
2.127,-0.894843929959256 + 0.42224019230164i
2.128,-0.894610228156879 + 0.422684592014689i
2.129,-0.894376067320426 + 0.423129193946598i
2.13,-0.894141446036252 + 0.423573998853981i
2.131,-0.8939063628838 + 0.42401900749508i
2.132,-0.893670816435564 + 0.424464220629781i
2.133,-0.893434805257046 + 0.424909639019611i
2.134,-0.89319832790672 + 0.425355263427746i
2.135,-0.892961382935988 + 0.425801094619018i
2.136,-0.89272396888914 + 0.42624713335991i
2.137,-0.892486084303317 + 0.426693380418572i
2.138,-0.892247727708467 + 0.427139836564815i
2.139,-0.892008897627302 + 0.427586502570126i
2.14,-0.89176959257526 + 0.428033379207661i
2.141,-0.891529811060462 + 0.428480467252259i
2.142,-0.89128955158367 + 0.42892776748044i
2.143,-0.891048812638242 + 0.429375280670411i
2.144,-0.890807592710093 + 0.429823007602072i
2.145,-0.890565890277651 + 0.430270949057017i
2.146,-0.890323703811811 + 0.430719105818544i
2.147,-0.890081031775894 + 0.431167478671651i
2.148,-0.889837872625603 + 0.431616068403049i
2.149,-0.889594224808977 + 0.432064875801154i
2.15,-0.889350086766346 + 0.432513901656108i
2.151,-0.889105456930293 + 0.432963146759768i
2.152,-0.888860333725598 + 0.433412611905716i
2.153,-0.8886147155692 + 0.433862297889266i
2.154,-0.888368600870146 + 0.434312205507462i
2.155,-0.888121988029555 + 0.434762335559086i
2.156,-0.887874875440555 + 0.435212688844661i
2.157,-0.887627261488253 + 0.435663266166454i
2.158,-0.887379144549674 + 0.436114068328482i
2.159,-0.887130522993725 + 0.436565096136513i
2.16,-0.886881395181139 + 0.437016350398072i
2.161,-0.886631759464431 + 0.437467831922446i
2.162,-0.886381614187847 + 0.437919541520683i
2.163,-0.886130957687315 + 0.438371480005598i
2.164,-0.885879788290402 + 0.438823648191783i
2.165,-0.885628104316254 + 0.439276046895599i
2.166,-0.885375904075555 + 0.439728676935188i
2.167,-0.885123185870471 + 0.440181539130477i
2.168,-0.884869947994605 + 0.440634634303173i
2.169,-0.884616188732937 + 0.441087963276777i
2.17,-0.884361906361785 + 0.441541526876581i
2.171,-0.884107099148741 + 0.441995325929676i
2.172,-0.883851765352627 + 0.442449361264948i
2.173,-0.88359590322344 + 0.442903633713091i
2.174,-0.883339511002298 + 0.443358144106601i
2.175,-0.883082586921388 + 0.443812893279788i
2.176,-0.882825129203912 + 0.444267882068771i
2.177,-0.882567136064034 + 0.444723111311488i
2.178,-0.882308605706825 + 0.445178581847697i
2.179,-0.882049536328207 + 0.445634294518975i
2.18,-0.881789926114898 + 0.446090250168727i
2.181,-0.881529773244358 + 0.446546449642186i
2.182,-0.881269075884733 + 0.447002893786416i
2.183,-0.881007832194796 + 0.447459583450317i
2.184,-0.880746040323894 + 0.447916519484623i
2.185,-0.880483698411885 + 0.448373702741913i
2.186,-0.880220804589089 + 0.448831134076605i
2.187,-0.879957356976221 + 0.449288814344961i
2.188,-0.879693353684339 + 0.449746744405098i
2.189,-0.87942879281478 + 0.450204925116977i
2.19,-0.879163672459106 + 0.450663357342416i
2.191,-0.878897990699038 + 0.451122041945087i
2.192,-0.878631745606403 + 0.451580979790522i
2.193,-0.878364935243067 + 0.452040171746112i
2.194,-0.878097557660878 + 0.452499618681112i
2.195,-0.8778296109016 + 0.452959321466642i
2.196,-0.877561092996858 + 0.453419280975688i
2.197,-0.877292001968069 + 0.453879498083108i
2.198,-0.877022335826381 + 0.45433997366563i
2.199,-0.876752092572612 + 0.454800708601854i
2.2,-0.876481270197182 + 0.455261703772258i
2.201,-0.876209866680052 + 0.455722960059197i
2.202,-0.875937879990659 + 0.456184478346903i
2.203,-0.87566530808785 + 0.45664625952149i
2.204,-0.875392148919813 + 0.457108304470955i
2.205,-0.875118400424018 + 0.457570614085177i
2.206,-0.874844060527142 + 0.458033189255921i
2.207,-0.87456912714501 + 0.458496030876842i
2.208,-0.87429359818252 + 0.458959139843477i
2.209,-0.874017471533579 + 0.459422517053257i
2.21,-0.873740745081035 + 0.459886163405502i
2.211,-0.873463416696602 + 0.460350079801424i
2.212,-0.873185484240797 + 0.460814267144126i
2.213,-0.872906945562866 + 0.461278726338604i
2.214,-0.872627798500714 + 0.461743458291752i
2.215,-0.872348040880835 + 0.462208463912355i
2.216,-0.872067670518236 + 0.462673744111096i
2.217,-0.871786685216369 + 0.463139299800552i
2.218,-0.871505082767056 + 0.463605131895198i
2.219,-0.871222860950419 + 0.464071241311406i
2.22,-0.870940017534796 + 0.464537628967445i
2.221,-0.870656550276681 + 0.46500429578348i
2.222,-0.870372456920634 + 0.465471242681574i
2.223,-0.870087735199218 + 0.465938470585689i
2.224,-0.869802382832913 + 0.466405980421681i
2.225,-0.869516397530046 + 0.466873773117305i
2.226,-0.869229776986708 + 0.467341849602212i
2.227,-0.868942518886679 + 0.46781021080795i
2.228,-0.868654620901351 + 0.46827885766796i
2.229,-0.868366080689645 + 0.468747791117579i
2.23,-0.868076895897933 + 0.469217012094038i
2.231,-0.867787064159956 + 0.469686521536461i
2.232,-0.867496583096746 + 0.470156320385864i
2.233,-0.867205450316542 + 0.470626409585152i
2.234,-0.866913663414709 + 0.471096790079121i
2.235,-0.866621219973653 + 0.471567462814455i
2.236,-0.866328117562739 + 0.472038428739724i
2.237,-0.866034353738208 + 0.472509688805382i
2.238,-0.865739926043088 + 0.472981243963765i
2.239,-0.865444832007113 + 0.473453095169093i
2.24,-0.865149069146636 + 0.473925243377463i
2.241,-0.864852634964539 + 0.474397689546847i
2.242,-0.86455552695015 + 0.474870434637093i
2.243,-0.864257742579148 + 0.475343479609921i
2.244,-0.863959279313486 + 0.475816825428917i
2.245,-0.863660134601289 + 0.476290473059538i
2.246,-0.86336030587677 + 0.476764423469099i
2.247,-0.86305979056014 + 0.477238677626779i
2.248,-0.862758586057511 + 0.47771323650361i
2.249,-0.86245668976081 + 0.478188101072482i
2.25,-0.862154099047685 + 0.47866327230813i
2.251,-0.861850811281404 + 0.479138751187138i
2.252,-0.861546823810772 + 0.47961453868793i
2.253,-0.861242133970025 + 0.48009063579077i
2.254,-0.860936739078743 + 0.480567043477754i
2.255,-0.860630636441745 + 0.481043762732808i
2.256,-0.860323823349001 + 0.481520794541682i
2.257,-0.860016297075522 + 0.481998139891945i
2.258,-0.859708054881275 + 0.482475799772983i
2.259,-0.85939909401107 + 0.482953775175989i
2.26,-0.859089411694468 + 0.483432067093962i
2.261,-0.858779005145678 + 0.483910676521699i
2.262,-0.858467871563451 + 0.484389604455789i
2.263,-0.858156008130984 + 0.48486885189461i
2.264,-0.857843412015809 + 0.485348419838318i
2.265,-0.857530080369695 + 0.485828309288845i
2.266,-0.857216010328537 + 0.486308521249892i
2.267,-0.856901199012254 + 0.486789056726917i
2.268,-0.856585643524681 + 0.487269916727137i
2.269,-0.85626934095346 + 0.48775110225951i
2.27,-0.855952288369931 + 0.488232614334741i
2.271,-0.855634482829026 + 0.488714453965259i
2.272,-0.855315921369153 + 0.489196622165221i
2.273,-0.85499660101209 + 0.489679119950498i
2.274,-0.854676518762871 + 0.490161948338669i
2.275,-0.854355671609671 + 0.490645108349011i
2.276,-0.854034056523695 + 0.491128601002492i
2.277,-0.853711670459061 + 0.491612427321759i
2.278,-0.853388510352686 + 0.49209658833113i
2.279,-0.853064573124168 + 0.492581085056587i
2.28,-0.852739855675669 + 0.493065918525762i
2.281,-0.852414354891796 + 0.493551089767928i
2.282,-0.852088067639482 + 0.494036599813991i
2.283,-0.851760990767866 + 0.494522449696476i
2.284,-0.851433121108171 + 0.495008640449519i
2.285,-0.851104455473579 + 0.495495173108853i
2.286,-0.850774990659115 + 0.495982048711797i
2.287,-0.850444723441515 + 0.496469268297246i
2.288,-0.850113650579103 + 0.49695683290566i
2.289,-0.849781768811668 + 0.497444743579044i
2.29,-0.849449074860333 + 0.497933001360946i
2.291,-0.849115565427425 + 0.498421607296436i
2.292,-0.848781237196352 + 0.498910562432094i
2.293,-0.848446086831467 + 0.499399867816001i
2.294,-0.848110110977937 + 0.499889524497718i
2.295,-0.847773306261616 + 0.500379533528278i
2.296,-0.847435669288901 + 0.500869895960166i
2.297,-0.847097196646609 + 0.501360612847307i
2.298,-0.846757884901831 + 0.501851685245054i
2.299,-0.846417730601804 + 0.502343114210162i
2.3,-0.846076730273765 + 0.502834900800784i
2.301,-0.845734880424817 + 0.503327046076446i
2.302,-0.845392177541788 + 0.503819551098034i
2.303,-0.845048618091086 + 0.504312416927776i
2.304,-0.844704198518564 + 0.504805644629223i
2.305,-0.844358915249367 + 0.505299235267236i
2.306,-0.844012764687794 + 0.505793189907961i
2.307,-0.843665743217149 + 0.506287509618814i
2.308,-0.843317847199595 + 0.506782195468462i
2.309,-0.842969072976004 + 0.507277248526803i
2.31,-0.842619416865809 + 0.507772669864945i
2.311,-0.842268875166851 + 0.508268460555188i
2.312,-0.84191744415523 + 0.508764621671i
2.313,-0.841565120085148 + 0.509261154286998i
2.314,-0.841211899188758 + 0.509758059478925i
2.315,-0.840857777676003 + 0.510255338323631i
2.316,-0.840502751734466 + 0.510752991899045i
2.317,-0.840146817529203 + 0.511251021284156i
2.318,-0.839789971202592 + 0.511749427558991i
2.319,-0.839432208874164 + 0.512248211804584i
2.32,-0.839073526640446 + 0.512747375102959i
2.321,-0.838713920574794 + 0.513246918537101i
2.322,-0.838353386727231 + 0.513746843190931i
2.323,-0.837991921124275 + 0.514247150149281i
2.324,-0.837629519768778 + 0.514747840497867i
2.325,-0.837266178639752 + 0.515248915323262i
2.326,-0.836901893692198 + 0.515750375712867i
2.327,-0.836536660856938 + 0.516252222754886i
2.328,-0.836170476040437 + 0.516754457538296i
2.329,-0.835803335124631 + 0.517257081152814i
2.33,-0.835435233966747 + 0.517760094688874i
2.331,-0.835066168399132 + 0.518263499237591i
2.332,-0.834696134229063 + 0.518767295890734i
2.333,-0.834325127238577 + 0.519271485740691i
2.334,-0.833953143184279 + 0.51977606988044i
2.335,-0.833580177797167 + 0.520281049403514i
2.336,-0.83320622678244 + 0.520786425403968i
2.337,-0.832831285819311 + 0.521292198976346i
2.338,-0.832455350560824 + 0.521798371215648i
2.339,-0.832078416633658 + 0.522304943217285i
2.34,-0.831700479637935 + 0.522811916077063i
2.341,-0.831321535147034 + 0.52331929089112i
2.342,-0.830941578707387 + 0.523827068755912i
2.343,-0.830560605838285 + 0.524335250768164i
2.344,-0.830178612031682 + 0.524843838024829i
2.345,-0.829795592751995 + 0.525352831623057i
2.346,-0.829411543435897 + 0.525862232660148i
2.347,-0.82902645949212 + 0.526372042233513i
2.348,-0.828640336301245 + 0.526882261440634i
2.349,-0.828253169215499 + 0.527392891379021i
2.35,-0.827864953558542 + 0.527903933146167i
2.351,-0.827475684625261 + 0.528415387839504i
2.352,-0.827085357681552 + 0.528927256556364i
2.353,-0.826693967964114 + 0.529439540393925i
2.354,-0.826301510680224 + 0.529952240449171i
2.355,-0.825907981007527 + 0.530465357818841i
2.356,-0.825513374093812 + 0.530978893599383i
2.357,-0.825117685056791 + 0.531492848886906i
2.358,-0.824720908983876 + 0.532007224777127i
2.359,-0.824323040931956 + 0.532522022365323i
2.36,-0.823924075927165 + 0.53303724274628i
2.361,-0.823524008964657 + 0.533552887014238i
2.362,-0.823122835008373 + 0.534068956262838i
2.363,-0.822720548990807 + 0.534585451585071i
2.364,-0.822317145812776 + 0.535102374073218i
2.365,-0.821912620343175 + 0.535619724818798i
2.366,-0.821506967418742 + 0.536137504912509i
2.367,-0.821100181843818 + 0.536655715444166i
2.368,-0.820692258390102 + 0.537174357502651i
2.369,-0.820283191796403 + 0.537693432175844i
2.37,-0.819872976768398 + 0.538212940550565i
2.371,-0.819461607978378 + 0.538732883712512i
2.372,-0.819049080064999 + 0.539253262746197i
2.373,-0.818635387633022 + 0.539774078734884i
2.374,-0.818220525253067 + 0.540295332760516i
2.375,-0.817804487461343 + 0.540817025903656i
2.376,-0.817387268759397 + 0.541339159243418i
2.377,-0.816968863613843 + 0.541861733857394i
2.378,-0.816549266456105 + 0.542384750821584i
2.379,-0.816128471682139 + 0.542908211210331i
2.38,-0.815706473652175 + 0.54343211609624i
2.381,-0.815283266690435 + 0.543956466550111i
2.382,-0.81485884508486 + 0.544481263640857i
2.383,-0.814433203086842 + 0.545006508435432i
2.384,-0.81400633491093 + 0.545532201998756i
2.385,-0.813578234734558 + 0.546058345393628i
2.386,-0.813148896697757 + 0.546584939680653i
2.387,-0.812718314902871 + 0.547111985918155i
2.388,-0.812286483414263 + 0.547639485162097i
2.389,-0.811853396258029 + 0.548167438465995i
2.39,-0.811419047421694 + 0.548695846880834i
2.391,-0.810983430853927 + 0.549224711454976i
2.392,-0.810546540464232 + 0.549754033234079i
2.393,-0.810108370122647 + 0.550283813260998i
2.394,-0.809668913659444 + 0.550814052575697i
2.395,-0.809228164864816 + 0.551344752215158i
2.396,-0.808786117488568 + 0.551875913213283i
2.397,-0.808342765239803 + 0.552407536600798i
2.398,-0.807898101786609 + 0.552939623405151i
2.399,-0.807452120755738 + 0.553472174650423i
2.4,-0.807004815732283 + 0.554005191357216i
2.401,-0.806556180259356 + 0.554538674542553i
2.402,-0.806106207837759 + 0.555072625219774i
2.403,-0.805654891925654 + 0.555607044398432i
2.404,-0.805202225938232 + 0.556141933084178i
2.405,-0.804748203247373 + 0.556677292278656i
2.406,-0.804292817181309 + 0.557213122979391i
2.407,-0.803836061024283 + 0.557749426179672i
2.408,-0.8033779280162 + 0.55828620286844i
2.409,-0.802918411352282 + 0.558823454030167i
2.41,-0.802457504182718 + 0.559361180644738i
2.411,-0.8019951996123 + 0.559899383687333i
2.412,-0.801531490700081 + 0.560438064128295i
2.413,-0.801066370458998 + 0.560977222933013i
2.414,-0.800599831855519 + 0.561516861061793i
2.415,-0.800131867809269 + 0.56205697946972i
2.416,-0.799662471192663 + 0.562597579106539i
2.417,-0.799191634830532 + 0.563138660916511i
2.418,-0.79871935149974 + 0.563680225838282i
2.419,-0.798245613928813 + 0.564222274804743i
2.42,-0.797770414797543 + 0.56476480874289i
2.421,-0.797293746736612 + 0.565307828573681i
2.422,-0.796815602327191 + 0.565851335211886i
2.423,-0.796335974100552 + 0.566395329565952i
2.424,-0.795854854537664 + 0.566939812537836i
2.425,-0.795372236068798 + 0.567484785022869i
2.426,-0.794888111073114 + 0.568030247909588i
2.427,-0.794402471878258 + 0.568576202079586i
2.428,-0.793915310759944 + 0.56912264840735i
2.429,-0.793426619941543 + 0.569669587760098i
2.43,-0.792936391593657 + 0.570217020997614i
2.431,-0.792444617833697 + 0.570764948972079i
2.432,-0.791951290725458 + 0.571313372527904i
2.433,-0.791456402278679 + 0.571862292501552i
2.434,-0.790959944448619 + 0.572411709721362i
2.435,-0.790461909135604 + 0.572961625007374i
2.436,-0.789962288184593 + 0.573512039171144i
2.437,-0.789461073384727 + 0.57406295301556i
2.438,-0.788958256468876 + 0.574614367334652i
2.439,-0.788453829113182 + 0.575166282913403i
2.44,-0.787947782936603 + 0.575718700527556i
2.441,-0.787440109500444 + 0.576271620943412i
2.442,-0.786930800307892 + 0.576825044917639i
2.443,-0.786419846803541 + 0.577378973197053i
2.444,-0.785907240372916 + 0.577933406518428i
2.445,-0.785392972341987 + 0.578488345608275i
2.446,-0.784877033976692 + 0.579043791182629i
2.447,-0.784359416482436 + 0.579599743946839i
2.448,-0.783840111003603 + 0.580156204595338i
2.449,-0.783319108623057 + 0.580713173811425i
2.45,-0.782796400361632 + 0.581270652267035i
2.451,-0.782271977177629 + 0.581828640622508i
2.452,-0.781745829966299 + 0.582387139526355i
2.453,-0.781217949559328 + 0.582946149615014i
2.454,-0.780688326724312 + 0.583505671512614i
2.455,-0.78015695216423 + 0.584065705830723i
2.456,-0.779623816516912 + 0.584626253168102i
2.457,-0.7790889103545 + 0.585187314110444i
2.458,-0.778552224182908 + 0.585748889230119i
2.459,-0.778013748441273 + 0.586310979085912i
2.46,-0.777473473501406 + 0.586873584222753i
2.461,-0.776931389667226 + 0.587436705171446i
2.462,-0.776387487174208 + 0.588000342448395i
2.463,-0.775841756188811 + 0.588564496555319i
2.464,-0.775294186807902 + 0.589129167978973i
2.465,-0.774744769058182 + 0.589694357190852i
2.466,-0.7741934928956 + 0.590260064646905i
2.467,-0.773640348204764 + 0.590826290787226i
2.468,-0.773085324798349 + 0.591393036035759i
2.469,-0.772528412416497 + 0.591960300799984i
2.47,-0.771969600726206 + 0.592528085470605i
2.471,-0.771408879320728 + 0.593096390421233i
2.472,-0.770846237718941 + 0.59366521600806i
2.473,-0.77028166536474 + 0.59423456256953i
2.474,-0.769715151626396 + 0.594804430426005i
2.475,-0.769146685795932 + 0.595374819879426i
2.476,-0.768576257088477 + 0.595945731212969i
2.477,-0.768003854641625 + 0.596517164690689i
2.478,-0.767429467514775 + 0.597089120557171i
2.479,-0.766853084688485 + 0.597661599037163i
2.48,-0.7662746950638 + 0.598234600335205i
2.481,-0.765694287461583 + 0.598808124635267i
2.482,-0.76511185062184 + 0.599382172100356i
2.483,-0.764527373203041 + 0.599956742872135i
2.484,-0.763940843781422 + 0.600531837070534i
2.485,-0.763352250850301 + 0.601107454793345i
2.486,-0.762761582819365 + 0.601683596115826i
2.487,-0.762168828013976 + 0.602260261090276i
2.488,-0.76157397467444 + 0.60283744974563i
2.489,-0.760977010955298 + 0.603415162087029i
2.49,-0.760377924924593 + 0.603993398095384i
2.491,-0.759776704563137 + 0.604572157726946i
2.492,-0.759173337763768 + 0.605151440912852i
2.493,-0.758567812330601 + 0.605731247558675i
2.494,-0.757960115978275 + 0.606311577543968i
2.495,-0.75735023633119 + 0.606892430721787i
2.496,-0.756738160922737 + 0.607473806918225i
2.497,-0.756123877194519 + 0.608055705931922i
2.498,-0.755507372495572 + 0.60863812753358i
2.499,-0.754888634081573 + 0.609221071465456i
2.5,-0.754267649114035 + 0.609804537440867i
2.501,-0.753644404659514 + 0.610388525143664i
2.502,-0.753018887688783 + 0.610973034227714i
2.503,-0.752391085076017 + 0.611558064316368i
2.504,-0.751760983597967 + 0.612143615001919i
2.505,-0.751128569933119 + 0.612729685845053i
2.506,-0.750493830660853 + 0.613316276374294i
2.507,-0.749856752260591 + 0.613903386085431i
2.508,-0.749217321110939 + 0.614491014440947i
2.509,-0.748575523488816 + 0.615079160869432i
2.51,-0.74793134556858 + 0.615667824764987i
2.511,-0.747284773421151 + 0.616257005486616i
2.512,-0.746635793013105 + 0.61684670235762i
2.513,-0.745984390205791 + 0.617436914664964i
2.514,-0.745330550754408 + 0.618027641658648i
2.515,-0.7446742603071 + 0.618618882551055i
2.516,-0.744015504404022 + 0.619210636516304i
2.517,-0.743354268476414 + 0.619802902689578i
2.518,-0.742690537845653 + 0.620395680166449i
2.519,-0.742024297722305 + 0.62098896800219i
2.52,-0.741355533205164 + 0.621582765211074i
2.521,-0.740684229280288 + 0.622177070765666i
2.522,-0.740010370820015 + 0.622771883596099i
2.523,-0.739333942581981 + 0.62336720258934i
2.524,-0.738654929208123 + 0.623963026588447i
2.525,-0.73797331522368 + 0.624559354391804i
2.526,-0.737289085036167 + 0.62515618475236i
2.527,-0.736602222934366 + 0.625753516376838i
2.528,-0.735912713087285 + 0.626351347924943i
2.529,-0.735220539543121 + 0.626949678008553i
2.53,-0.734525686228204 + 0.627548505190894i
2.531,-0.733828136945942 + 0.628147827985709i
2.532,-0.733127875375745 + 0.628747644856407i
2.533,-0.732424885071949 + 0.629347954215197i
2.534,-0.731719149462726 + 0.629948754422218i
2.535,-0.731010651848978 + 0.630550043784636i
2.536,-0.730299375403235 + 0.631151820555754i
2.537,-0.729585303168533 + 0.631754082934072i
2.538,-0.728868418057278 + 0.632356829062368i
2.539,-0.728148702850117 + 0.632960057026737i
2.54,-0.727426140194776 + 0.633563764855623i
2.541,-0.726700712604907 + 0.634167950518844i
2.542,-0.725972402458908 + 0.634772611926587i
2.543,-0.725241191998757 + 0.635377746928389i
2.544,-0.7245070633288 + 0.635983353312117i
2.545,-0.723769998414561 + 0.636589428802905i
2.546,-0.723029979081525 + 0.637195971062093i
2.547,-0.722286987013911 + 0.63780297768615i
2.548,-0.721541003753438 + 0.638410446205559i
2.549,-0.72079201069808 + 0.639018374083706i
2.55,-0.720039989100803 + 0.639626758715739i
2.551,-0.719284920068302 + 0.640235597427412i
2.552,-0.718526784559718 + 0.640844887473902i
2.553,-0.717765563385348 + 0.641454626038624i
2.554,-0.71700123720534 + 0.642064810232006i
2.555,-0.716233786528379 + 0.642675437090256i
2.556,-0.715463191710364 + 0.643286503574109i
2.557,-0.714689432953069 + 0.643898006567547i
2.558,-0.713912490302792 + 0.644509942876498i
2.559,-0.713132343649 + 0.645122309227523i
2.56,-0.712348972722945 + 0.64573510226647i
2.561,-0.711562357096298 + 0.646348318557108i
2.562,-0.710772476179731 + 0.646961954579748i
2.563,-0.709979309221526 + 0.647576006729825i
2.564,-0.709182835306143 + 0.648190471316473i
2.565,-0.708383033352797 + 0.64880534456106i
2.566,-0.707579882114002 + 0.649420622595714i
2.567,-0.706773360174122 + 0.650036301461814i
2.568,-0.7059634459479 + 0.650652377108459i
2.569,-0.705150117678974 + 0.651268845390914i
2.57,-0.704333353438382 + 0.651885702069026i
2.571,-0.703513131123055 + 0.652502942805614i
2.572,-0.702689428454304 + 0.653120563164838i
2.573,-0.701862222976275 + 0.653738558610533i
2.574,-0.701031492054415 + 0.654356924504518i
