Freq(Hz),S21 Phase_measured(deg),S21 Phase_HFSS(deg)
1563000000,-0.92711323,-0.358479984
1564000000,-1.0041816,-0.358836051
1565000000,-1.0028943,-0.359191414
1566000000,-0.82758576,-0.359546075
1567000000,-0.87031955,-0.359900035
1568000000,-0.7536096,-0.360253295
1569000000,-0.83438671,-0.360605857
1570000000,-0.77084678,-0.360957722
1571000000,-0.87288409,-0.361308891
1572000000,-0.98647827,-0.361659366
1573000000,-0.96368188,-0.362009148
1574000000,-0.86592746,-0.362358238
1575000000,-0.93669099,-0.362706637
1576000000,-0.87007421,-0.363054347
1577000000,-0.93551511,-0.36340137
1578000000,-0.96735311,-0.363747705
1579000000,-0.88415575,-0.364093355
1580000000,-0.77560169,-0.364438321
1581000000,-0.87029719,-0.364782604
1582000000,-0.88919318,-0.365126206
1583000000,-0.90889829,-0.365469127
1584000000,-0.92115027,-0.365811369
1585000000,-0.90030611,-0.366152934
1586000000,-0.89314216,-0.366493822
1587000000,-0.85288757,-0.366834035
1588000000,-0.86473233,-0.367173574
1589000000,-0.890504,-0.367512441
1590000000,-0.81784892,-0.367850636
1591000000,-0.8650226,-0.368188161
1592000000,-0.7226826,-0.368525017
1593000000,-0.9268319,-0.368861206
1594000000,-0.91570359,-0.369196728
1595000000,-0.79778332,-0.369531585
1596000000,-0.8201943,-0.369865779
1597000000,-0.85594529,-0.37019931
1598000000,-0.79058468,-0.37053218
1599000000,-0.86399138,-0.37086439
1600000000,-0.94223166,-0.371195941
1601000000,-0.76424021,-0.371526835
1602000000,-0.83940101,-0.371857072
1603000000,-0.72546005,-0.372186655
1604000000,-0.78611881,-0.372515584
1605000000,-0.87196827,-0.37284386
1606000000,-0.79341286,-0.373171486
1607000000,-0.78989178,-0.373498461
1608000000,-0.91552144,-0.373824788
1609000000,-0.81127119,-0.374150467
1610000000,-0.5727405,-0.3744755
1611000000,-0.70060581,-0.374799889
1612000000,-0.82692426,-0.375123633
1613000000,-0.8708635,-0.375446735
1614000000,-0.6000762,-0.375769196
1615000000,-0.88073325,-0.376091017
1616000000,-0.88805944,-0.376412199
1617000000,-0.88719636,-0.376732744
1618000000,-0.79565853,-0.377052652
1619000000,-0.87048715,-0.377371925
1620000000,-0.90242785,-0.377690565
1621000000,-0.97435176,-0.378008572
1622000000,-0.87179565,-0.378325948
1623000000,-0.77318871,-0.378642693
1624000000,-0.68982118,-0.37895881
1625000000,-0.67741281,-0.379274299
1626000000,-0.76731586,-0.379589162
1627000000,-0.78674352,-0.3799034
1628000000,-0.8139016,-0.380217013
1629000000,-0.91208851,-0.380530004
1630000000,-0.7923063,-0.380842374
1631000000,-0.75786805,-0.381154123
1632000000,-0.9545325,-0.381465253
1633000000,-0.73208135,-0.381775765
1634000000,-0.86611617,-0.382085661
1635000000,-0.77554899,-0.382394941
