Freq(Hz),S11 Log Mag_measured(dB),S11 Log Mag_HFSS(dB)
1638000000,-1.1785828,-1.303222573
1639000000,-1.1918322,-1.303323394
1640000000,-1.1853456,-1.303422893
1641000000,-1.1994522,-1.303521076
1642000000,-1.1716988,-1.303617948
1643000000,-1.2038726,-1.303713514
1644000000,-1.1926767,-1.303807782
1645000000,-1.1772534,-1.303900755
1646000000,-1.2031115,-1.303992439
1647000000,-1.2089814,-1.304082841
1648000000,-1.2122636,-1.304171965
1649000000,-1.1994139,-1.304259818
1650000000,-1.2194067,-1.304346405
1651000000,-1.1909953,-1.304431731
1652000000,-1.220099,-1.304515802
1653000000,-1.1982521,-1.304598623
1654000000,-1.1891584,-1.304680201
1655000000,-1.1762125,-1.304760541
1656000000,-1.1937449,-1.304839648
1657000000,-1.1628598,-1.304917528
1658000000,-1.2027558,-1.304994186
1659000000,-1.1890607,-1.305069629
1660000000,-1.1686209,-1.30514386
1661000000,-1.1767894,-1.305216887
1662000000,-1.1650075,-1.305288715
1663000000,-1.1709499,-1.305359348
1664000000,-1.1928564,-1.305428794
1665000000,-1.1663518,-1.305497056
1666000000,-1.184864,-1.305564142
1667000000,-1.2200078,-1.305630055
1668000000,-1.1680201,-1.305694803
1669000000,-1.1800119,-1.30575839
1670000000,-1.190047,-1.305820821
1671000000,-1.1711611,-1.305882103
1672000000,-1.1337157,-1.305942241
1673000000,-1.1710035,-1.30600124
1674000000,-1.1707948,-1.306059105
1675000000,-1.197145,-1.306115843
1676000000,-1.1830211,-1.306171459
1677000000,-1.1696182,-1.306225958
1678000000,-1.1635541,-1.306279346
1679000000,-1.1711402,-1.306331628
1680000000,-1.202154,-1.30638281
1681000000,-1.1891009,-1.306432896
1682000000,-1.2027601,-1.306481893
1683000000,-1.1913934,-1.306529807
1684000000,-1.207688,-1.306576641
1685000000,-1.1951046,-1.306622403
1686000000,-1.2174993,-1.306667096
1687000000,-1.1884818,-1.306710728
1688000000,-1.211157,-1.306753302
1689000000,-1.2005019,-1.306794825
1690000000,-1.2005166,-1.306835302
1691000000,-1.2251068,-1.306874738
1692000000,-1.1961628,-1.306913139
1693000000,-1.1915479,-1.30695051
1694000000,-1.197597,-1.306986856
1695000000,-1.1771432,-1.307022184
1696000000,-1.1802609,-1.307056497
1697000000,-1.1873595,-1.307089802
1698000000,-1.2083097,-1.307122104
1699000000,-1.2095364,-1.307153408
1700000000,-1.171042,-1.307183719
1701000000,-1.1792655,-1.307213044
1702000000,-1.1703546,-1.307241387
1703000000,-1.1557581,-1.307268753
1704000000,-1.1643945,-1.307295148
1705000000,-1.1652395,-1.307320577
1706000000,-1.1865711,-1.307345046
1707000000,-1.2041459,-1.307368559
1708000000,-1.1840696,-1.307391122
1709000000,-1.2009039,-1.307412741
1710000000,-1.1980174,-1.30743342
1711000000,-1.1641768,-1.307453165
1712000000,-1.2066691,-1.307471981
1713000000,-1.1601801,-1.307489873
1714000000,-1.1969831,-1.307506847
1715000000,-1.2072309,-1.307522907
1716000000,-1.1879816,-1.30753806
1717000000,-1.1671102,-1.307552309
