x,y1
2.807,-1.202438197
2.808,-1.202451971
2.809,-1.20246563
2.81,-1.202479174
2.811,-1.202492603
2.812,-1.202505915
2.813,-1.20251911
2.814,-1.202532189
2.815,-1.20254515
2.816,-1.202557993
2.817,-1.202570719
2.818,-1.202583326
2.819,-1.202595814
2.82,-1.202608183
2.821,-1.202620432
2.822,-1.202632561
2.823,-1.20264457
2.824,-1.202656458
2.825,-1.202668225
2.826,-1.202679871
2.827,-1.202691394
2.828,-1.202702796
2.829,-1.202714075
2.83,-1.202725231
2.831,-1.202736264
2.832,-1.202747174
2.833,-1.202757959
2.834,-1.202768621
2.835,-1.202779157
2.836,-1.202789569
2.837,-1.202799855
2.838,-1.202810016
2.839,-1.202820051
2.84,-1.20282996
2.841,-1.202839742
2.842,-1.202849398
2.843,-1.202858926
2.844,-1.202868327
2.845,-1.202877599
2.846,-1.202886744
2.847,-1.20289576
2.848,-1.202904648
2.849,-1.202913407
2.85,-1.202922036
2.851,-1.202930536
2.852,-1.202938905
2.853,-1.202947145
2.854,-1.202955254
2.855,-1.202963233
2.856,-1.20297108
2.857,-1.202978796
2.858,-1.202986381
2.859,-1.202993834
2.86,-1.203001154
2.861,-1.203008343
2.862,-1.203015399
2.863,-1.203022321
2.864,-1.203029111
2.865,-1.203035768
2.866,-1.20304229
2.867,-1.203048679
2.868,-1.203054934
2.869,-1.203061055
2.87,-1.203067041
2.871,-1.203072892
2.872,-1.203078608
2.873,-1.203084189
2.874,-1.203089634
2.875,-1.203094944
2.876,-1.203100118
2.877,-1.203105156
2.878,-1.203110057
2.879,-1.203114822
2.88,-1.20311945
2.881,-1.203123942
2.882,-1.203128296
2.883,-1.203132513
2.884,-1.203136592
2.885,-1.203140534
2.886,-1.203144337
2.887,-1.203148003
2.888,-1.203151531
2.889,-1.20315492
2.89,-1.20315817
2.891,-1.203161282
2.892,-1.203164255
2.893,-1.203167089
2.894,-1.203169783
2.895,-1.203172338
2.896,-1.203174754
2.897,-1.20317703
2.898,-1.203179166
2.899,-1.203181163
2.9,-1.203183019
2.901,-1.203184735
2.902,-1.203186311
2.903,-1.203187746
2.904,-1.20318904
2.905,-1.203190194
2.906,-1.203191207
2.907,-1.203192079
2.908,-1.20319281
2.909,-1.2031934
2.91,-1.203193849
2.911,-1.203194156
2.912,-1.203194322
2.913,-1.203194346
2.914,-1.203194229
2.915,-1.20319397
2.916,-1.203193569
2.917,-1.203193026
2.918,-1.203192341
2.919,-1.203191514
2.92,-1.203190546
2.921,-1.203189435
2.922,-1.203188181
2.923,-1.203186786
2.924,-1.203185248
2.925,-1.203183568
2.926,-1.203181746
2.927,-1.203179781
2.928,-1.203177673
2.929,-1.203175423
2.93,-1.20317303
2.931,-1.203170495
2.932,-1.203167817
2.933,-1.203164997
2.934,-1.203162034
2.935,-1.203158928
2.936,-1.20315568
2.937,-1.203152289
2.938,-1.203148755
2.939,-1.203145078
2.94,-1.203141259
2.941,-1.203137298
2.942,-1.203133193
2.943,-1.203128946
2.944,-1.203124556
2.945,-1.203120024
2.946,-1.203115349
2.947,-1.203110532
2.948,-1.203105572
2.949,-1.20310047
2.95,-1.203095225
2.951,-1.203089838
2.952,-1.203084309
2.953,-1.203078637
2.954,-1.203072824
2.955,-1.203066868
2.956,-1.20306077
2.957,-1.20305453
2.958,-1.203048148
2.959,-1.203041624
2.96,-1.203034959
2.961,-1.203028152
2.962,-1.203021203
2.963,-1.203014113
2.964,-1.203006881
2.965,-1.202999508
2.966,-1.202991994
2.967,-1.202984339
2.968,-1.202976543
2.969,-1.202968606
2.97,-1.202960528
2.971,-1.202952309
2.972,-1.202943951
2.973,-1.202935451
2.974,-1.202926812
2.975,-1.202918033
2.976,-1.202909113
2.977,-1.202900054
2.978,-1.202890855
2.979,-1.202881517
2.98,-1.20287204
2.981,-1.202862423
