!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:41:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2389000000,-12.966521,-10.43427,-79.255913,-109.2546
2390000000,-13.031227,-10.328952,-79.658211,-109.90652
2391000000,-13.156421,-10.17515,-79.998886,-110.82294
2392000000,-13.211697,-10.063375,-80.195847,-111.73267
2393000000,-13.300639,-9.9554701,-80.384895,-112.83601
2394000000,-13.384349,-9.8418512,-80.579521,-114.08508
2395000000,-13.47682,-9.761591,-80.629379,-115.12182
2396000000,-13.582417,-9.7026052,-80.699974,-116.38479
2397000000,-13.697709,-9.6467934,-81.011864,-117.60677
2398000000,-13.76073,-9.5893192,-80.991585,-119.14735
2399000000,-13.811417,-9.5761089,-81.022507,-120.46431
2400000000,-13.87077,-9.5988846,-81.123848,-121.82616
2401000000,-13.967459,-9.6575251,-81.302917,-123.21644
2402000000,-14.043118,-9.7056437,-81.271149,-124.58334
2403000000,-14.096178,-9.773633,-81.303825,-125.55352
2404000000,-14.151658,-9.7958832,-81.561981,-126.59693
2405000000,-14.214746,-9.913434,-81.83992,-127.65189
2406000000,-14.319942,-9.9928303,-82.125175,-128.40517
2407000000,-14.393051,-10.086449,-82.357529,-128.99365
2408000000,-14.469268,-10.171098,-82.456551,-129.60475
2409000000,-14.598988,-10.274969,-82.982971,-130.0826
2410000000,-14.73927,-10.358504,-83.06134,-130.08655
2411000000,-14.843741,-10.390039,-83.227104,-130.24539
2412000000,-14.940656,-10.471931,-83.315956,-130.15884
2413000000,-15.056455,-10.487236,-83.167686,-130.25423
2414000000,-15.152895,-10.48072,-83.371445,-129.99113
2415000000,-15.25283,-10.51599,-83.56588,-130.18869
2416000000,-15.340272,-10.443727,-83.647499,-130.02681
2417000000,-15.49794,-10.380663,-83.185356,-130.06531
2418000000,-15.604926,-10.325044,-82.823624,-129.82985
2419000000,-15.684983,-10.230292,-83.102562,-129.82431
2420000000,-15.790334,-10.158515,-83.157898,-129.99704
2421000000,-15.899373,-10.007481,-83.053848,-130.23767
2422000000,-15.934469,-9.8797445,-82.894585,-130.62624
2423000000,-16.022322,-9.7533646,-83.177643,-131.17921
2424000000,-16.195066,-9.6301794,-83.081139,-131.92955
2425000000,-16.254871,-9.4995146,-83.201942,-132.57191
2426000000,-16.405663,-9.3700466,-83.500877,-133.53603
2427000000,-16.485849,-9.2524643,-83.341209,-134.61592
2428000000,-16.633837,-9.1625195,-83.627678,-135.72557
2429000000,-16.747316,-9.0897293,-83.611015,-136.96404
2430000000,-16.896692,-9.0261011,-83.456215,-138.26216
2431000000,-17.003492,-9.0089064,-83.257294,-139.59575
2432000000,-17.206078,-8.9910307,-83.012909,-140.89647
2433000000,-17.31074,-9.0172367,-82.956001,-142.25255
2434000000,-17.488842,-9.0249949,-82.842094,-143.62573
2435000000,-17.630428,-9.0922852,-82.377045,-144.7549
2436000000,-17.70359,-9.1365919,-82.365723,-145.96071
2437000000,-17.899544,-9.2345037,-81.985664,-146.91081
2438000000,-17.973143,-9.2961426,-81.519043,-147.89142
2439000000,-18.193167,-9.4050903,-81.299774,-148.61285
2440000000,-18.285881,-9.5298653,-81.021103,-149.14226
2441000000,-18.429703,-9.6383362,-81.084305,-149.66583
2442000000,-18.648962,-9.7218246,-80.660065,-149.87573
2443000000,-18.767462,-9.8171091,-80.397987,-149.97456
2444000000,-18.912374,-9.8740892,-80.258873,-149.90617
2445000000,-19.08787,-9.940484,-79.416588,-149.63867
2446000000,-19.260221,-9.9651003,-79.306572,-149.49576
2447000000,-19.438007,-9.9951534,-78.492279,-149.60788
2448000000,-19.663218,-9.9584255,-77.871819,-149.1299
2449000000,-19.793947,-9.9221096,-77.246529,-148.72035
2450000000,-19.955256,-9.8354492,-76.415833,-148.57372
2451000000,-20.13888,-9.8056402,-75.192406,-148.49806
2452000000,-20.311499,-9.67698,-74.389526,-148.40675
2453000000,-20.470171,-9.5693026,-73.348709,-148.33885
2454000000,-20.573967,-9.4452419,-72.483383,-148.73949
2455000000,-20.687202,-9.2759657,-71.920921,-149.09105
