"Freq [GHz]","dB(S(1,1)) []"
2.343,-9.67655764476982
2.344,-9.76359718170356
2.345,-9.85168219274152
2.346,-9.94083084768949
2.347,-10.0310617938769
2.348,-10.1223941723213
2.349,-10.2148476344588
2.35,-10.308442359453
2.351,-10.4031990720944
2.352,-10.4991390612985
2.353,-10.5962841992119
2.354,-10.6946569609313
2.355,-10.794280444838
2.356,-10.895178393548
2.357,-10.9973752154723
2.358,-11.1008960069791
2.359,-11.205766575141
2.36,-11.3120134610478
2.361,-11.4196639636527
2.362,-11.5287461641135
2.363,-11.6392889505789
2.364,-11.7513220433557
2.365,-11.8648760203781
2.366,-11.9799823428836
2.367,-12.0966733811768
2.368,-12.2149824403398
2.369,-12.3349437857195
2.37,-12.4565926679868
2.371,-12.579965347527
2.372,-12.7050991178725
2.373,-12.8320323278385
2.374,-12.9608044019598
2.375,-13.0914558587554
2.376,-13.2240283262643
2.377,-13.3585645541996
2.378,-13.4951084219523
2.379,-13.6337049415475
2.38,-13.7744002544986
2.381,-13.9172416213281
2.382,-14.0622774023125
2.383,-14.2095570277669
2.384,-14.3591309558959
2.385,-14.5110506159128
2.386,-14.6653683337324
2.387,-14.8221372370996
2.388,-14.9814111364824
2.389,-15.1432443774479
2.39,-15.3076916595213
2.391,-15.4748078156954
2.392,-15.6446475457855
2.393,-15.817265095698
2.394,-15.992713873369
2.395,-16.1710459906105
2.396,-16.3523117183457
2.397,-16.5365588406883
2.398,-16.723831890994
2.399,-16.9141712503467
2.4,-17.1076120859149
2.401,-17.3041831031872
2.402,-17.5039050822669
2.403,-17.7067891641632
2.404,-17.9128348483983
2.405,-18.1220276583204
2.406,-18.3343364254077
2.407,-18.5497101387868
2.408,-18.7680743015159
2.409,-18.9893267314183
2.41,-19.2133327421386
2.411,-19.4399196406928
2.412,-19.668870482532
2.413,-19.8999170359847
2.414,-20.1327319273914
2.415,-20.3669199695007
2.416,-20.6020087226153
2.417,-20.8374384050511
2.418,-21.0725513615096
2.419,-21.3065814195362
2.42,-21.5386436186714
2.421,-21.7677249846618
2.422,-21.9926772374945
2.423,-22.2122125542456
2.424,-22.4249037314481
2.425,-22.6291902680469
2.426,-22.8233919642753
2.427,-23.0057315357955
2.428,-23.1743674030525
2.429,-23.3274371715287
2.43,-23.4631113441797
2.431,-23.579655542403
2.432,-23.6754980846128
2.433,-23.7492984041047
2.434,-23.800010770588
2.435,-23.8269374082129
2.436,-23.8297655895272
2.437,-23.8085846724349
2.438,-23.76388116289
2.439,-23.6965123630917
2.44,-23.6076615355127
2.441,-23.4987793394626
2.442,-23.3715172911302
2.443,-23.2276590850844
2.444,-23.069054922478
2.445,-22.8975627798088
2.446,-22.7149991251725
2.447,-22.5231002119745
2.448,-22.3234939344627
2.449,-22.1176814018042
2.45,-21.9070268849707
2.451,-21.6927545685531
2.452,-21.475950528545
2.453,-21.2575684846367
2.454,-21.038438078849
2.455,-20.8192746637211
2.456,-20.6006898106749
2.457,-20.3832019538433
2.458,-20.1672467577582
2.459,-19.9531869368188
2.46,-19.7413213623483
2.461,-19.5318933733633
2.462,-19.3250982646929
2.463,-19.1210899654937
2.464,-18.9199869467693
2.465,-18.7218774117611
2.466,-18.5268238309306
2.467,-18.3348668859472
2.468,-18.1460288863293
2.469,-17.9603167194311
2.47,-17.7777243902155
2.471,-17.5982352023608
2.472,-17.4218236271279
2.473,-17.2484569013731
2.474,-17.0780963912805
2.475,-16.910698753941
2.476,-16.7462169248374
2.477,-16.5846009556507
2.478,-16.4257987235555
2.479,-16.2697565303106
2.48,-16.1164196069394
2.481,-15.9657325376076
2.482,-15.817639614402
2.483,-15.6720851330683
2.484,-15.5290136383427
2.485,-15.3883701262864
2.486,-15.2501002099761
2.487,-15.1141502539954
2.488,-14.9804674823946
2.489,-14.8490000641157
2.49,-14.7196971793074
2.491,-14.5925090694595
2.492,-14.4673870738693
2.493,-14.344283654587
2.494,-14.2231524116768
