Freq(Hz),S11 Log Mag(dB),S11 Phase(°),S21 Log Mag(dB),S21 Phase(°),S31 Log Mag(dB),S31 Phase(°),S41 Log Mag(dB),S41 Phase(°),,S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS
1100000000,-4.2667284,112.39772,-6.4370804,-67.558899,-12.284669,-56.816452,-5.0020056,-124.3868,,-3.948094604,-6.841180749,-13.02231235,-5.21702819
1101000000,-4.2086525,112.26236,-6.4523478,-67.802658,-12.314027,-56.7929,-5.0143261,-124.56792,,-3.944746088,-6.84583847,-13.04105062,-5.215874526
1102000000,-4.2355514,112.10764,-6.4205093,-67.871178,-12.329698,-56.668186,-5.0108752,-124.62892,,-3.94139965,-6.850522095,-13.05977102,-5.21472453
1103000000,-4.2582526,111.9912,-6.4237623,-67.84671,-12.336092,-56.651169,-4.9926267,-124.81003,,-3.938055338,-6.855231768,-13.07847202,-5.213578246
1104000000,-4.2282901,111.98206,-6.4382544,-68.097183,-12.364917,-56.669773,-4.9741158,-124.95396,,-3.934713204,-6.85996763,-13.09715205,-5.212435719
1105000000,-4.2297597,111.85153,-6.4669919,-68.160454,-12.361784,-56.881065,-4.9939404,-125.09964,,-3.931373295,-6.864729827,-13.11580951,-5.211296995
1106000000,-4.2002821,111.70611,-6.4430518,-68.223274,-12.356311,-56.5168,-4.9800825,-125.22124,,-3.928035662,-6.869518503,-13.1344428,-5.210162119
1107000000,-4.2043591,111.75482,-6.448266,-68.202728,-12.399302,-56.431496,-5.0078611,-125.35517,,-3.924700357,-6.874333802,-13.15305026,-5.209031137
1108000000,-4.2259541,111.31992,-6.4459314,-68.446854,-12.425203,-56.608204,-5.0008793,-125.74963,,-3.921367428,-6.879175872,-13.1716302,-5.207904094
1109000000,-4.1865425,111.43764,-6.437366,-68.344139,-12.410847,-56.0662,-4.9742036,-125.75316,,-3.918036929,-6.884044859,-13.19018092,-5.206781038
1110000000,-4.1842017,111.41122,-6.4626675,-68.508545,-12.447502,-56.158463,-4.9874406,-125.87769,,-3.914708911,-6.888940911,-13.20870067,-5.205662015
1111000000,-4.1949115,111.32654,-6.4595461,-68.524231,-12.466761,-55.867447,-4.9760208,-125.79811,,-3.911383425,-6.893864175,-13.22718769,-5.204547072
1112000000,-4.1940937,111.00069,-6.4701581,-68.81282,-12.447061,-55.96159,-4.9651027,-126.28899,,-3.908060524,-6.898814801,-13.24564017,-5.203436257
1113000000,-4.1933866,111.2659,-6.4848299,-68.644386,-12.528844,-55.759857,-4.9884548,-126.29266,,-3.904740261,-6.903792938,-13.26405627,-5.202329617
1114000000,-4.1867261,110.77218,-6.4924531,-68.916435,-12.499675,-55.729752,-4.9977846,-126.41993,,-3.901422689,-6.908798737,-13.28243414,-5.201227202
1115000000,-4.1590929,110.87765,-6.4964752,-68.843033,-12.517983,-55.714417,-4.9702702,-126.4257,,-3.898107861,-6.913832349,-13.30077187,-5.200129058
