Freq(Hz),S11 Log Mag(dB),S11 Phase(deg),S21 Log Mag(dB),S21 Phase(deg),S31 Log Mag(dB),S31 Phase(deg),S41 Log Mag(dB),S41 Phase(deg),,S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS,,S21-S31,S21-S31_HFSS
1100000000,-4.6930642,158.64444,-7.2485199,-50.666397,-5.5367832,-77.587074,-6.8124185,-62.520355,,-4.808859567,-7.641611205,-5.838051585,-7.254898329,,26.920677,27.51680065
1101000000,-4.6835632,158.61636,-7.2929163,-50.663376,-5.558496,-77.947433,-6.8388915,-62.669472,,-4.808306773,-7.643739489,-5.836970713,-7.256575405,,27.284057,27.55485832
1102000000,-4.6768684,158.60471,-7.3091044,-50.640541,-5.5422254,-77.9048,-6.8118277,-62.669609,,-4.807758026,-7.645865837,-5.835886275,-7.258252266,,27.264259,27.59296028
1103000000,-4.6922593,158.67384,-7.2916889,-50.831326,-5.5288386,-78.079445,-6.8178821,-62.749638,,-4.807213337,-7.647990238,-5.834798268,-7.259928913,,27.248119,27.63110663
1104000000,-4.6894956,158.60672,-7.2897573,-50.903702,-5.5218439,-78.122154,-6.8172307,-62.840118,,-4.806672712,-7.650112678,-5.83370669,-7.261605348,,27.218452,27.66929746
1105000000,-4.6762805,158.56487,-7.3046784,-50.863312,-5.5644708,-77.99453,-6.8131924,-62.867973,,-4.806136161,-7.652233147,-5.832611539,-7.263281575,,27.131218,27.70753288
1106000000,-4.6703372,158.4593,-7.2929211,-50.883694,-5.5099268,-78.23246,-6.80404,-62.959064,,-4.805603693,-7.654351631,-5.831512812,-7.264957594,,27.348766,27.74581296
1107000000,-4.6744847,158.50026,-7.3117247,-50.932419,-5.559041,-78.122711,-6.8198829,-62.871223,,-4.805075315,-7.656468118,-5.830410506,-7.266633407,,27.190292,27.78413782
1108000000,-4.6457233,158.19279,-7.305203,-50.996052,-5.5353065,-78.321732,-6.8356972,-63.248863,,-4.804551037,-7.658582597,-5.829304619,-7.268309017,,27.32568,27.82250755
1109000000,-4.6496425,158.14609,-7.2694101,-50.950214,-5.5075707,-78.34269,-6.7906895,-62.985996,,-4.804030867,-7.660695054,-5.828195148,-7.269984427,,27.392476,27.86092224
1110000000,-4.6579132,158.35965,-7.3110271,-50.891384,-5.5271163,-78.439049,-6.8232102,-63.332588,,-4.803514813,-7.662805477,-5.827082092,-7.271659637,,27.547665,27.89938198
1111000000,-4.65166,158.38698,-7.3173652,-50.900089,-5.5342078,-78.304359,-6.8248525,-63.288269,,-4.803002886,-7.664913854,-5.825965447,-7.27333465,,27.40427,27.93788689
1112000000,-4.6848388,158.09464,-7.2942328,-51.201447,-5.5176816,-78.651009,-6.8138862,-63.421688,,-4.802495093,-7.667020172,-5.824845211,-7.275009469,,27.449562,27.97643705
1113000000,-4.6719275,158.26413,-7.3418741,-51.139557,-5.526473,-78.477394,-6.840147,-63.317917,,-4.801991443,-7.669124419,-5.823721382,-7.276684096,,27.337837,28.01503256
1114000000,-4.7016873,158.15968,-7.3278947,-51.282085,-5.5398707,-78.854263,-6.8546014,-63.466274,,-4.801491945,-7.671226581,-5.822593958,-7.278358532,,27.572178,28.05367352
1115000000,-4.6307325,158.16843,-7.3415341,-51.096016,-5.5266819,-78.633163,-6.8230629,-63.391514,,-4.800996607,-7.673326647,-5.821462935,-7.280032781,,27.537147,28.09236002
1116000000,-4.6653485,158.1788,-7.3245282,-51.386814,-5.5345407,-78.805473,-6.8487968,-63.66235,,-4.800505439,-7.675424603,-5.820328312,-7.281706845,,27.418659,28.13109217
1117000000,-4.625484,158.18904,-7.2985106,-51.034241,-5.5105362,-78.974632,-6.8164401,-63.600845,,-4.80001845,-7.677520437,-5.819190086,-7.283380725,,27.940391,28.16987005
1118000000,-4.6509485,158.10211,-7.3225484,-51.160824,-5.5514445,-78.934433,-6.8122311,-63.750896,,-4.799535648,-7.679614136,-5.818048255,-7.285054425,,27.773609,28.20869377
1119000000,-4.6326623,157.67836,-7.3124089,-51.397022,-5.5094233,-79.127617,-6.8358855,-63.675838,,-4.799057042,-7.681705686,-5.816902817,-7.286727946,,27.730595,28.24756343
1120000000,-4.6442304,158.07443,-7.3375473,-51.334938,-5.5168667,-79.142708,-6.8352294,-63.744461,,-4.798582642,-7.683795076,-5.815753768,-7.288401292,,27.80777,28.28647912
1121000000,-4.6573091,157.86172,-7.3442116,-51.413681,-5.538631,-79.446388,-6.8513422,-63.999954,,-4.798112456,-7.685882291,-5.814601108,-7.290074464,,28.032707,28.32544095
1122000000,-4.6548009,157.94737,-7.3643479,-51.464561,-5.5377235,-79.299911,-6.8670301,-64.054382,,-4.797646493,-7.68796732,-5.813444833,-7.291747466,,27.83535,28.364449
1123000000,-4.6575432,157.71313,-7.3172517,-51.394222,-5.4981475,-79.130447,-6.826344,-63.842823,,-4.797184762,-7.690050148,-5.812284942,-7.293420299,,27.736225,28.40350338
1124000000,-4.6180911,157.86157,-7.306397,-51.507572,-5.4712105,-79.418762,-6.8285923,-64.175064,,-4.796727273,-7.692130762,-5.811121431,-7.295092966,,27.91119,28.44260419
1125000000,-4.6519136,157.6982,-7.3427043,-51.588413,-5.5019851,-79.60627,-6.8337073,-64.157684,,-4.796274034,-7.69420915,-5.8099543,-7.29676547,,28.017857,28.48175152
1126000000,-4.6522708,157.51981,-7.35111,-51.570713,-5.5182824,-79.431511,-6.8688827,-64.328171,,-4.795825055,-7.696285298,-5.808783545,-7.298437814,,27.860798,28.52094548
1127000000,-4.6660094,157.64119,-7.3486977,-51.49435,-5.5197639,-79.548759,-6.882091,-64.290863,,-4.795380344,-7.698359192,-5.807609164,-7.30011,,28.054409,28.56018616
