Freq,M,H
1.709,37.39262503,63.195961
1.71,37.45882791,62.926353
1.711,37.52518862,63.251145
1.712,37.59170739,63.476071
1.713,37.65838445,63.452338
1.714,37.72522003,63.325184
1.715,37.79221437,63.374557
1.716,37.85936768,63.727214
1.717,37.92668018,63.619456
1.718,37.99415211,63.850938
1.719,38.06178367,63.69384
1.72,38.12957507,63.952446
1.721,38.19752653,63.808186
1.722,38.26563826,64.207685
1.723,38.33391047,64.027612
1.724,38.40234334,64.232772
1.725,38.47093709,64.404171
1.726,38.53969192,64.500255
1.727,38.608608,64.498418
1.728,38.67768554,64.361388
1.729,38.74692471,64.585755
1.73,38.81632571,64.570239
1.731,38.88588872,64.617672
1.732,38.9556139,64.746289
1.733,39.02550144,64.95386
1.734,39.09555151,64.991424
1.735,39.16576427,64.931334
1.736,39.23613988,65.169444
1.737,39.30667851,65.087306
1.738,39.37738031,65.37271
1.739,39.44824544,65.435754
1.74,39.51927404,65.520792
1.741,39.59046627,65.498221
1.742,39.66182225,65.628809
1.743,39.73334214,65.583088
1.744,39.80502606,65.865851
1.745,39.87687415,65.619847
1.746,39.94888653,65.83211
1.747,40.02106333,65.872123
1.748,40.09340466,66.107226
1.749,40.16591064,65.836694
1.75,40.23858137,66.14971
1.751,40.31141698,66.207498
1.752,40.38441755,66.281426
1.753,40.45758319,66.50026
1.754,40.530914,66.371883
1.755,40.60441005,66.820267
1.756,40.67807144,66.847177
1.757,40.75189825,66.592394
1.758,40.82589055,66.722522
1.759,40.90004842,66.847656
1.76,40.97437192,67.049888
1.761,41.04886112,67.113608
1.762,41.12351608,67.026784
1.763,41.19833685,67.200359
1.764,41.27332347,67.357109
1.765,41.348476,67.190076
1.766,41.42379448,67.364142
1.767,41.49927893,67.575154
1.768,41.57492939,67.625992
1.769,41.65074589,67.71306
1.77,41.72672844,67.939406
1.771,41.80287705,67.764162
1.772,41.87919175,68.058506
1.773,41.95567253,67.983891
1.774,42.0323194,68.120982
1.775,42.10913234,68.223906
1.776,42.18611135,68.237122
1.777,42.26325641,68.459172
1.778,42.3405675,68.387117
1.779,42.4180446,68.466319
1.78,42.49568766,68.53046
1.781,42.57349666,68.576678
1.782,42.65147155,68.667049
1.783,42.72961229,68.725911
1.784,42.80791881,68.764679
1.785,42.88639105,68.785002
1.786,42.96502896,68.736488
1.787,43.04383246,69.03381
1.788,43.12280147,68.973917
1.789,43.20193591,69.224606
1.79,43.28123569,69.18465
1.791,43.36070072,69.036125
1.792,43.44033089,69.287735
1.793,43.52012609,69.366065
1.794,43.60008622,69.509875
1.795,43.68021115,69.674682
1.796,43.76050076,69.678718
1.797,43.84095491,69.722457
1.798,43.92157348,69.780012
1.799,44.0023563,70.010411
1.8,44.08330324,69.925724
1.801,44.16441413,69.981159
1.802,44.24568882,69.949345
1.803,44.32712712,70.407345
1.804,44.40872887,70.314126
1.805,44.49049387,70.511866
1.806,44.57242195,70.502271
1.807,44.6545129,70.666956
1.808,44.73676651,70.577507
1.809,44.81918259,70.811936
1.81,44.90176091,70.550474
1.811,44.98450124,70.687449
1.812,45.06740336,70.85759
1.813,45.15046702,71.034697
1.814,45.23369199,71.126218
1.815,45.31707801,71.131725
1.816,45.40062482,71.334839
1.817,45.48433215,71.197577
1.818,45.56819973,71.413234
1.819,45.65222728,71.349905
1.82,45.73641451,71.732915
1.821,45.82076112,71.645034
1.822,45.90526682,71.815731
1.823,45.98993128,71.738075
1.824,46.0747542,71.939198
1.825,46.15973525,71.897918
1.826,46.2448741,72.090688
1.827,46.33017039,71.9133
1.828,46.4156238,71.778458
1.829,46.50123395,72.240105
1.83,46.58700049,72.281509
1.831,46.67292305,72.368142
1.832,46.75900124,72.604851
1.833,46.84523469,72.418083
1.834,46.93162299,72.407429
1.835,47.01816574,72.64901
1.836,47.10486253,72.654004
1.837,47.19171295,72.850411
1.838,47.27871656,72.825616
1.839,47.36587293,72.902169
1.84,47.45318163,72.925126
1.841,47.54064219,73.150546
1.842,47.62825417,73.112553
1.843,47.71601708,73.280241
1.844,47.80393047,73.146214
1.845,47.89199383,73.320068
1.846,47.98020669,73.37133
1.847,48.06856855,73.334532
1.848,48.15707888,73.637985
1.849,48.24573718,73.624377
1.85,48.33454293,73.825115
1.851,48.42349558,73.768292
1.852,48.51259459,73.904778
1.853,48.60183942,73.764694
1.854,48.69122951,73.994949
1.855,48.78076428,74.103873
1.856,48.87044317,74.0115
1.857,48.96026558,74.351623
1.858,49.05023093,74.382616
1.859,49.1403386,74.350746
1.86,49.230588,74.439379
1.861,49.3209785,74.468067
1.862,49.41150947,74.669728
1.863,49.50218027,74.59258
1.864,49.59299026,74.648126
