Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase
2332000000,-6.3775339,-6.4119301,-57.419319,128.87271
2333000000,-6.3609419,-6.3959045,-57.434933,127.02464
2334000000,-6.3294058,-6.4408245,-57.47028,125.47772
2335000000,-6.332407,-6.5639534,-57.663216,124.03497
2336000000,-6.2791901,-6.6332827,-57.888935,122.62213
2337000000,-6.2612085,-6.7590466,-58.22097,121.14929
2338000000,-6.2423072,-6.9750276,-58.446892,120.10361
2339000000,-6.2716913,-7.1858077,-58.838753,119.26981
2340000000,-6.2689457,-7.4059982,-59.216606,118.60239
2341000000,-6.2958984,-7.5833254,-59.656315,118.34512
2342000000,-6.3179035,-7.8052573,-59.930676,118.16447
2343000000,-6.3816795,-8.0348377,-60.036129,118.22672
2344000000,-6.4012375,-8.2347937,-60.047924,118.79607
2345000000,-6.4556026,-8.4228878,-60.298126,119.37869
2346000000,-6.4917235,-8.5634079,-60.27401,120.1152
2347000000,-6.5181637,-8.6800804,-60.133472,121.05525
2348000000,-6.5296607,-8.7889223,-59.908546,122.36256
2349000000,-6.53089,-8.8016806,-59.933006,123.45908
2350000000,-6.5252066,-8.8414431,-59.806873,124.62003
2351000000,-6.4832616,-8.8353901,-59.669243,125.89465
2352000000,-6.4549489,-8.7314205,-59.857204,127.18575
2353000000,-6.4235201,-8.6531572,-59.819756,127.99268
2354000000,-6.3955011,-8.4972458,-60.051426,128.96472
2355000000,-6.3874488,-8.3403587,-60.279091,129.73549
2356000000,-6.3561988,-8.1374559,-60.794304,130.0359
2357000000,-6.3442421,-7.9249191,-60.942501,130.15799
2358000000,-6.3313885,-7.7258034,-61.48925,130.12517
2359000000,-6.32686,-7.4576597,-61.864296,129.74516
2360000000,-6.3774066,-7.2936611,-62.231987,129.05713
2361000000,-6.4040899,-7.0668163,-62.433025,128.12874
2362000000,-6.4418206,-6.9416742,-62.8074,126.83588
2363000000,-6.4882646,-6.7899652,-62.979897,125.66491
2364000000,-6.5196428,-6.6938267,-62.785606,124.00097
2365000000,-6.5702462,-6.6329141,-63.063465,122.58066
2366000000,-6.6069207,-6.6242704,-62.995586,121.0259
2367000000,-6.6042857,-6.6530614,-62.822388,119.01991
2368000000,-6.6006117,-6.7173357,-62.738937,117.63615
2369000000,-6.5738759,-6.8091969,-62.686398,116.05613
2370000000,-6.585166,-6.9534225,-62.818302,114.65163
2371000000,-6.5578518,-7.0925441,-62.962036,113.48713
2372000000,-6.5155659,-7.2998829,-63.046238,112.46363
2373000000,-6.4952412,-7.553216,-63.218639,111.69483
2374000000,-6.4823709,-7.7458801,-63.420174,111.31605
2375000000,-6.4685559,-7.9507718,-63.74604,111.02299
2376000000,-6.4742808,-8.167779,-64.080536,111.14111
2377000000,-6.4564495,-8.407217,-64.563614,111.47477
2378000000,-6.4648957,-8.6018467,-64.756256,111.94804
2379000000,-6.5133572,-8.7633667,-65.17981,112.5812
2380000000,-6.5343585,-8.8763924,-65.567841,113.53114
2381000000,-6.5580049,-9.0023556,-65.606232,114.71468
2382000000,-6.6222496,-9.0518913,-65.93042,115.80013
2383000000,-6.6437626,-9.0494041,-65.910713,117.43378
2384000000,-6.6829581,-9.0550289,-66.209503,118.40169
2385000000,-6.7127872,-8.9665022,-66.00322,119.53851
2386000000,-6.7239099,-8.8560152,-65.947868,120.59388
2387000000,-6.721282,-8.7173567,-65.862228,121.44302
2388000000,-6.7104435,-8.5446148,-66.029556,121.89616
2389000000,-6.7157078,-8.3809805,-65.886925,122.47652
2390000000,-6.6828094,-8.182229,-66.037354,122.59964
2391000000,-6.6642475,-7.956738,-66.140427,122.325
2392000000,-6.6251545,-7.7410431,-66.322952,122.02248
2393000000,-6.6292915,-7.5743198,-66.516602,121.32369
2394000000,-6.6214051,-7.3466406,-66.953094,120.43443
2395000000,-6.6255746,-7.1902208,-67.341042,119.28156
2396000000,-6.6578865,-7.0827236,-67.641617,118.01388
2397000000,-6.6876836,-6.9818726,-68.065552,116.44331
2398000000,-6.7309952,-6.9010057,-68.217911,114.96341
2399000000,-6.7570376,-6.8918281,-68.375793,113.05396
