"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
1.126,164.625490808012,-99.9262325772972
1.127,164.437216903467,-100.186441927353
1.128,164.247500270152,-100.446667383029
1.129,164.0563839642,-100.706908895174
1.13,163.863909327566,-100.967166416173
1.131,163.670116074039,-101.227439899961
1.132,163.475042370141,-101.487729302037
1.133,163.278724911261,-101.748034579476
1.134,163.081198993345,-102.008355690942
1.135,162.882498580445,-102.268692596698
1.136,162.682656368393,-102.529045258625
1.137,162.481703844865,-102.789413640227
1.138,162.27967134607,-103.049797706649
1.139,162.076588110274,-103.310197424686
1.14,161.872482328371,-103.570612762799
1.141,161.667381191692,-103.831043691124
1.142,161.461310937205,-104.091490181484
1.143,161.254296890303,-104.351952207405
1.144,161.046363505293,-104.612429744125
1.145,160.837534403758,-104.872922768608
1.146,160.627832410901,-105.133431259553
1.147,160.417279590003,-105.393955197409
1.148,160.205897275103,-105.654494564387
1.149,159.993706102015,-105.915049344469
1.15,159.780726037761,-106.175619523423
1.151,159.566976408535,-106.436205088812
1.152,159.352475926266,-106.696806030009
1.153,159.137242713873,-106.957422338205
1.154,158.921294329275,-107.218054006421
1.155,158.704647788234,-107.478701029525
1.156,158.487319586098,-107.739363404234
1.157,158.269325718497,-108.000041129134
1.158,158.05068170106,-108.260734204685
1.159,157.831402588196,-108.521442633238
1.16,157.611502991001,-108.782166419039
1.161,157.390997094329,-109.042905568248
1.162,157.169898673081,-109.303660088943
1.163,156.948221107737,-109.564429991136
1.164,156.725977399198,-109.825215286782
1.165,156.503180182947,-110.086015989787
1.166,156.279841742579,-110.346832116025
1.167,156.055974022728,-110.607663683342
1.168,155.831588641433,-110.868510711571
1.169,155.606696901948,-111.129373222541
1.17,155.381309804049,-111.390251240086
1.171,155.155438054845,-111.65114479006
1.172,154.929092079135,-111.912053900341
1.173,154.702282029314,-112.172978600845
1.174,154.475017794867,-112.433918923536
1.175,154.247309011461,-112.694874902435
1.176,154.019165069656,-112.955846573631
1.177,153.790595123261,-113.216833975289
1.178,153.561608097345,-113.477837147662
1.179,153.332212695911,-113.738856133099
1.18,153.102417409275,-113.999890976056
1.181,152.872230521133,-114.260941723105
1.182,152.641660115352,-114.522008422942
1.183,152.410714082494,-114.7830911264
1.184,152.17940012607,-115.044189886455
1.185,151.947725768565,-115.305304758235
1.186,151.715698357213,-115.566435799032
1.187,151.48332506956,-115.827583068311
1.188,151.250612918803,-116.088746627714
1.189,151.017568758933,-116.349926541075
1.19,150.78419928968,-116.611122874424
1.191,150.550511061267,-116.872335696001
1.192,150.316510478992,-117.133565076259
1.193,150.082203807639,-117.394811087876
1.194,149.847597175717,-117.656073805763
1.195,149.612696579558,-117.91735330707
1.196,149.377507887248,-118.178649671199
1.197,149.142036842434,-118.439962979808
1.198,148.906289067975,-118.701293316819
1.199,148.670270069476,-118.96264076843
1.2,148.43398523869,-119.224005423119
1.201,148.197439856803,-119.485387371655
1.202,147.960639097595,-119.746786707102
1.203,147.723588030506,-120.008203524829
1.204,147.48629162358,-120.269637922518
1.205,147.248754746315,-120.531090000171
