Freq,HFSS,Analytical,Z0lver
2.178,-1.195962819,-1.0471,-1.204917684
2.179,-1.19593205,-1.0471,-1.204917684
2.18,-1.195901478,-1.0471,-1.204917684
2.181,-1.195871104,-1.0471,-1.204917684
2.182,-1.195840928,-1.0471,-1.204917684
2.183,-1.19581095,-1.0471,-1.204917684
2.184,-1.195781171,-1.0471,-1.204917684
2.185,-1.19575159,-1.0471,-1.204917684
2.186,-1.195722207,-1.0471,-1.204917684
2.187,-1.195693024,-1.0471,-1.204917684
2.188,-1.195664039,-1.0471,-1.204917684
2.189,-1.195635252,-1.0471,-1.204917684
2.19,-1.195606665,-1.0471,-1.204917684
2.191,-1.195578277,-1.0471,-1.204917684
2.192,-1.195550088,-1.0471,-1.204917684
2.193,-1.195522098,-1.0471,-1.204917684
2.194,-1.195494307,-1.0471,-1.204917684
2.195,-1.195466716,-1.0471,-1.204917684
2.196,-1.195439325,-1.0471,-1.204917684
2.197,-1.195412132,-1.0471,-1.204917684
2.198,-1.19538514,-1.0471,-1.204917684
2.199,-1.195358347,-1.0471,-1.204917684
2.2,-1.195331754,-1.0471,-1.204917684
2.201,-1.195305361,-1.0471,-1.204917684
2.202,-1.195279168,-1.0471,-1.204917684
2.203,-1.195253174,-1.0471,-1.204917684
2.204,-1.195227381,-1.0471,-1.204917684
2.205,-1.195201787,-1.0471,-1.204917684
2.206,-1.195176394,-1.0471,-1.204917684
2.207,-1.1951512,-1.0471,-1.204917684
2.208,-1.195126207,-1.0471,-1.204917684
2.209,-1.195101414,-1.0471,-1.204917684
2.21,-1.195076821,-1.0471,-1.204917684
2.211,-1.195052428,-1.0471,-1.204917684
2.212,-1.195028235,-1.0471,-1.204917684
2.213,-1.195004243,-1.0471,-1.204917684
2.214,-1.19498045,-1.0471,-1.204917684
2.215,-1.194956858,-1.0471,-1.204917684
2.216,-1.194933466,-1.0471,-1.204917684
2.217,-1.194910275,-1.0471,-1.204917684
2.218,-1.194887283,-1.0471,-1.204917684
2.219,-1.194864492,-1.0471,-1.204917684
2.22,-1.194841901,-1.0471,-1.204917684
2.221,-1.19481951,-1.0471,-1.204917684
2.222,-1.194797319,-1.0471,-1.204917684
2.223,-1.194775328,-1.0471,-1.204917684
2.224,-1.194753538,-1.0471,-1.204917684
2.225,-1.194731947,-1.0471,-1.204917684
2.226,-1.194710556,-1.0471,-1.204917684
2.227,-1.194689366,-1.0471,-1.204917684
2.228,-1.194668375,-1.0471,-1.204917684
2.229,-1.194647584,-1.0471,-1.204917684
2.23,-1.194626993,-1.0471,-1.204917684
2.231,-1.194606602,-1.0471,-1.204917684
2.232,-1.19458641,-1.0471,-1.204917684
2.233,-1.194566418,-1.0471,-1.204917684
2.234,-1.194546625,-1.0471,-1.204917684
2.235,-1.194527032,-1.0471,-1.204917684
2.236,-1.194507639,-1.0471,-1.204917684
2.237,-1.194488444,-1.0471,-1.204917684
2.238,-1.194469449,-1.0471,-1.204917684
2.239,-1.194450654,-1.0471,-1.204917684
2.24,-1.194432057,-1.0471,-1.204917684
2.241,-1.194413659,-1.0471,-1.204917684
2.242,-1.19439546,-1.0471,-1.204917684
2.243,-1.19437746,-1.0471,-1.204917684
2.244,-1.194359659,-1.0471,-1.204917684
2.245,-1.194342056,-1.0471,-1.204917684
2.246,-1.194324651,-1.0471,-1.204917684
2.247,-1.194307445,-1.0471,-1.204917684
2.248,-1.194290437,-1.0471,-1.204917684
2.249,-1.194273628,-1.0471,-1.204917684
2.25,-1.194257016,-1.0471,-1.204917684
2.251,-1.194240602,-1.0471,-1.204917684
2.252,-1.194224386,-1.0471,-1.204917684
2.253,-1.194208367,-1.0471,-1.204917684
2.254,-1.194192546,-1.0471,-1.204917684
2.255,-1.194176922,-1.0471,-1.204917684
2.256,-1.194161495,-1.0471,-1.204917684
2.257,-1.194146266,-1.0471,-1.204917684
2.258,-1.194131233,-1.0471,-1.204917684
2.259,-1.194116397,-1.0471,-1.204917684
2.26,-1.194101757,-1.0471,-1.204917684
2.261,-1.194087314,-1.0471,-1.204917684
2.262,-1.194073067,-1.0471,-1.204917684
2.263,-1.194059016,-1.0471,-1.204917684
2.264,-1.194045161,-1.0471,-1.204917684
2.265,-1.194031501,-1.0471,-1.204917684
2.266,-1.194018037,-1.0471,-1.204917684
2.267,-1.194004769,-1.0471,-1.204917684
2.268,-1.193991695,-1.0471,-1.204917684
2.269,-1.193978817,-1.0471,-1.204917684
2.27,-1.193966133,-1.0471,-1.204917684
2.271,-1.193953644,-1.0471,-1.204917684
2.272,-1.193941349,-1.0471,-1.204917684
2.273,-1.193929248,-1.0471,-1.204917684
2.274,-1.193917341,-1.0471,-1.204917684
2.275,-1.193905628,-1.0471,-1.204917684
2.276,-1.193894108,-1.0471,-1.204917684
2.277,-1.193882782,-1.0471,-1.204917684
2.278,-1.193871649,-1.0471,-1.204917684
2.279,-1.193860708,-1.0471,-1.204917684
2.28,-1.19384996,-1.0471,-1.204917684
2.281,-1.193839405,-1.0471,-1.204917684
2.282,-1.193829042,-1.0471,-1.204917684
2.283,-1.19381887,-1.0471,-1.204917684
2.284,-1.19380889,-1.0471,-1.204917684
2.285,-1.193799102,-1.0471,-1.204917684
2.286,-1.193789505,-1.0471,-1.204917684
2.287,-1.193780099,-1.0471,-1.204917684
2.288,-1.193770884,-1.0471,-1.204917684
2.289,-1.193761858,-1.0471,-1.204917684
2.29,-1.193753024,-1.0471,-1.204917684
2.291,-1.193744379,-1.0471,-1.204917684
2.292,-1.193735923,-1.0471,-1.204917684
2.293,-1.193727657,-1.0471,-1.204917684
2.294,-1.19371958,-1.0471,-1.204917684
2.295,-1.193711692,-1.0471,-1.204917684
2.296,-1.193703993,-1.0471,-1.204917684
2.297,-1.193696481,-1.0471,-1.204917684
2.298,-1.193689158,-1.0471,-1.204917684
2.299,-1.193682022,-1.0471,-1.204917684
2.3,-1.193675074,-1.0471,-1.204917684
2.301,-1.193668313,-1.0471,-1.204917684
2.302,-1.193661739,-1.0471,-1.204917684
2.303,-1.193655351,-1.0471,-1.204917684
2.304,-1.193649149,-1.0471,-1.204917684
2.305,-1.193643133,-1.0471,-1.204917684
2.306,-1.193637303,-1.0471,-1.204917684
2.307,-1.193631658,-1.0471,-1.204917684
2.308,-1.193626198,-1.0471,-1.204917684
2.309,-1.193620923,-1.0471,-1.204917684
2.31,-1.193615832,-1.0471,-1.204917684
2.311,-1.193610925,-1.0471,-1.204917684
2.312,-1.193606201,-1.0471,-1.204917684
2.313,-1.193601661,-1.0471,-1.204917684
2.314,-1.193597304,-1.0471,-1.204917684
2.315,-1.19359313,-1.0471,-1.204917684
2.316,-1.193589138,-1.0471,-1.204917684
2.317,-1.193585328,-1.0471,-1.204917684
2.318,-1.193581699,-1.0471,-1.204917684
2.319,-1.193578252,-1.0471,-1.204917684
2.32,-1.193574986,-1.0471,-1.204917684
2.321,-1.1935719,-1.0471,-1.204917684
2.322,-1.193568995,-1.0471,-1.204917684
2.323,-1.193566269,-1.0471,-1.204917684
2.324,-1.193563723,-1.0471,-1.204917684
2.325,-1.193561356,-1.0471,-1.204917684
2.326,-1.193559168,-1.0471,-1.204917684
2.327,-1.193557158,-1.0471,-1.204917684
2.328,-1.193555326,-1.0471,-1.204917684
2.329,-1.193553672,-1.0471,-1.204917684
2.33,-1.193552195,-1.0471,-1.204917684
2.331,-1.193550895,-1.0471,-1.204917684
