Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S21(dB)_HFSS,S21(dB)_measured,S31(dB)_HFSS,S31(dB)_measured,S41(dB)_HFSS,S41(dB)_measured
1.11,-3.912254297,-4.1842017,-6.912723418,-6.4626675,-13.26720715,-12.447502,-5.188996633,-4.9874406
1.111,-3.908894276,-4.1949115,-6.917942281,-6.4595461,-13.28511644,-12.466761,-5.18790611,-4.9760208
1.112,-3.905536896,-4.1940937,-6.92319116,-6.4701581,-13.30297399,-12.447061,-5.186820178,-4.9651027
1.113,-3.902182213,-4.1933866,-6.928470222,-6.4848299,-13.32077768,-12.528844,-5.18573889,-4.9884548
1.114,-3.898830285,-4.1867261,-6.933779632,-6.4924531,-13.33852537,-12.499675,-5.1846623,-4.9977846
1.115,-3.895481169,-4.1590929,-6.939119556,-6.4964752,-13.35621487,-12.517983,-5.183590461,-4.9702702
1.116,-3.892134924,-4.1856356,-6.944490161,-6.5002284,-13.37384399,-12.550388,-5.182523428,-4.9994936
1.117,-3.888791609,-4.1280727,-6.949891615,-6.4959064,-13.39141046,-12.544469,-5.181461255,-4.9537358
1.118,-3.885451283,-4.1713462,-6.955324087,-6.4989901,-13.40891201,-12.578399,-5.180403998,-5.0068078
1.119,-3.882114005,-4.1490335,-6.960787746,-6.5017009,-13.42634633,-12.566892,-5.179351712,-4.9585381
1.12,-3.878779836,-4.1590729,-6.966282762,-6.5303845,-13.44371107,-12.602318,-5.178304452,-4.9660048
1.121,-3.875448836,-4.154233,-6.971809308,-6.530509,-13.46100385,-12.617537,-5.177262275,-4.9845343
1.122,-3.872121066,-4.1493177,-6.977367554,-6.5530705,-13.47822224,-12.65115,-5.176225238,-4.9985266
1.123,-3.868796588,-4.1469069,-6.982957675,-6.5376897,-13.49536382,-12.645952,-5.175193398,-4.9552178
1.124,-3.865475464,-4.1206422,-6.988579842,-6.5213332,-13.51242608,-12.638355,-5.174166812,-4.9500761
1.125,-3.862157757,-4.1539006,-6.994234231,-6.5514627,-13.52940651,-12.672854,-5.173145539,-4.9800773
1.126,-3.858843529,-4.1183887,-6.999921018,-6.5765471,-13.54630256,-12.696718,-5.172129636,-4.9748764
1.127,-3.855532843,-4.1287804,-7.005640378,-6.576335,-13.56311165,-12.714885,-5.171119163,-4.9734612
1.128,-3.852225765,-4.1562419,-7.011392488,-6.5603971,-13.57983116,-12.726635,-5.170114178,-4.966527
1.129,-3.848922358,-4.1102138,-7.017177527,-6.5974927,-13.59645843,-12.775947,-5.169114742,-4.9815869
1.13,-3.845622688,-4.1089478,-7.022995672,-6.5914221,-13.61299078,-12.801017,-5.168120914,-4.9769335
1.131,-3.84232682,-4.1076126,-7.028847103,-6.5649824,-13.62942549,-12.757758,-5.167132755,-4.931706
1.132,-3.839034819,-4.1156411,-7.034732001,-6.5757151,-13.6457598,-12.785239,-5.166150325,-4.9573798
1.133,-3.835746753,-4.1056261,-7.040650547,-6.5851355,-13.66199093,-12.794791,-5.165173687,-4.9614921
1.134,-3.832462689,-4.1208034,-7.046602923,-6.5980883,-13.67811607,-12.809446,-5.164202901,-4.9335623
1.135,-3.829182694,-4.1246586,-7.052589311,-6.6362734,-13.69413235,-12.836063,-5.163238031,-5.0001588
1.136,-3.825906836,-4.1548204,-7.058609896,-6.6207209,-13.7100369,-12.851799,-5.162279138,-4.9836287
1.137,-3.822635184,-4.126441,-7.064664861,-6.662107,-13.7258268,-12.854437,-5.161326287,-4.9857316
1.138,-3.819367807,-4.0962601,-7.070754393,-6.6023097,-13.74149909,-12.867628,-5.16037954,-4.9498849
1.139,-3.816104774,-4.1269302,-7.076878677,-6.6547079,-13.75705082,-12.891377,-5.159438962,-4.9939771
1.14,-3.812846156,-4.105864,-7.083037901,-6.6490493,-13.77247895,-12.92155,-5.158504617,-4.9844556
1.141,-3.809592024,-4.0986352,-7.089232252,-6.682539,-13.78778046,-12.954173,-5.157576569,-4.9658766
1.142,-3.806342449,-4.1280298,-7.095461919,-6.6697254,-13.80295226,-12.931775,-5.156654886,-4.9935641
1.143,-3.803097502,-4.0842533,-7.101727092,-6.6402445,-13.81799127,-12.935592,-5.155739632,-4.9498487
1.144,-3.799857256,-4.1015277,-7.108027961,-6.6784472,-13.83289436,-12.979545,-5.154830873,-4.9568105
1.145,-3.796621784,-4.0715027,-7.114364718,-6.6948895,-13.84765835,-12.961267,-5.153928678,-4.9508681
1.146,-3.79339116,-4.0463004,-7.120737554,-6.6777267,-13.86228008,-13.006383,-5.153033112,-4.9358711
1.147,-3.790165456,-4.0396667,-7.127146663,-6.662024,-13.87675633,-12.970529,-5.152144244,-4.9409165
1.148,-3.786944749,-4.1092076,-7.133592238,-6.7006936,-13.89108385,-13.017822,-5.151262141,-4.946023
1.149,-3.783729113,-4.0901465,-7.140074474,-6.7029929,-13.90525939,-13.006257,-5.150386874,-4.9589648
1.15,-3.780518623,-4.0735974,-7.146593567,-6.7083964,-13.91927965,-13.006583,-5.14951851,-4.9723954
1.151,-3.777313357,-4.0711446,-7.153149713,-6.717875,-13.93314131,-13.04845,-5.14865712,-4.9663286
1.152,-3.77411339,-4.0487852,-7.159743108,-6.7060146,-13.94684105,-13.038939,-5.147802773,-4.9484277
1.153,-3.770918801,-4.0502844,-7.166373952,-6.722507,-13.96037551,-13.036695,-5.146955541,-4.946476
1.154,-3.767729666,-4.0532446,-7.173042443,-6.7553201,-13.97374129,-13.078793,-5.146115495,-4.9579124
1.155,-3.764546066,-4.0148349,-7.179748781,-6.7623043,-13.98693499,-13.100924,-5.145282706,-4.9559402
1.156,-3.761368079,-4.0075536,-7.186493166,-6.7530808,-13.9999532,-13.104805,-5.144457247,-4.9514756
1.157,-3.758195784,-4.0153189,-7.1932758,-6.7580857,-14.01279247,-13.112258,-5.14363919,-4.9486179
1.158,-3.755029263,-4.0141749,-7.200096884,-6.754426,-14.02544935,-13.126553,-5.142828608,-4.9554806
1.159,-3.751868595,-4.036943,-7.206956623,-6.7746205,-14.03792035,-13.143438,-5.142025575,-4.9517393
1.16,-3.748713863,-3.9859405,-7.213855219,-6.7570724,-14.05020199,-13.131624,-5.141230166,-4.9221368
1.161,-3.745565148,-4.0093269,-7.220792878,-6.7765083,-14.06229076,-13.141769,-5.140442455,-4.9349737
1.162,-3.742422534,-4.013597,-7.227769805,-6.7960787,-14.07418314,-13.1424,-5.139662517,-4.9197006
1.163,-3.739286103,-4.0202541,-7.234786207,-6.8231416,-14.08587561,-13.204951,-5.138890428,-4.9718504
1.164,-3.73615594,-4.0234413,-7.241842291,-6.8167024,-14.09736462,-13.199711,-5.138126264,-4.9543324
1.165,-3.73303213,-3.9899242,-7.248938264,-6.8228726,-14.10864662,-13.189734,-5.137370103,-4.9548283
1.166,-3.729914756,-4.0118442,-7.256074336,-6.8181024,-14.11971806,-13.19632,-5.136622021,-4.9366078
1.167,-3.726803906,-4.0050216,-7.263250716,-6.8335061,-14.13057538,-13.175035,-5.135882097,-4.9260125
1.168,-3.723699665,-3.9846733,-7.270467615,-6.8478217,-14.141215,-13.213828,-5.135150408,-4.9372234
1.169,-3.72060212,-4.0202012,-7.277725244,-6.8372183,-14.15163336,-13.243796,-5.134427034,-4.941083
1.17,-3.71751136,-3.9567447,-7.285023816,-6.8534789,-14.16182688,-13.218577,-5.133712054,-4.9069791
1.171,-3.714427472,-3.9782965,-7.292363542,-6.8380218,-14.17179199,-13.214361,-5.133005549,-4.9301009
1.172,-3.711350546,-3.9788127,-7.299744638,-6.8535905,-14.18152512,-13.250739,-5.132307598,-4.9480815
1.173,-3.708280671,-3.9918613,-7.307167317,-6.9022923,-14.1910227,-13.295245,-5.131618283,-4.9548922
1.174,-3.705217936,-3.9988966,-7.314631794,-6.9077225,-14.20028117,-13.286184,-5.130937686,-4.9429312
1.175,-3.702162434,-3.9629395,-7.322138287,-6.8709478,-14.20929698,-13.274633,-5.130265889,-4.9574227
1.176,-3.699114256,-3.9750917,-7.329687011,-6.8358407,-14.21806657,-13.295719,-5.129602974,-4.9281254
1.177,-3.696073493,-3.9795368,-7.337278184,-6.9241467,-14.22658642,-13.318336,-5.128949026,-4.9658527
1.178,-3.693040238,-3.9618971,-7.344912025,-6.9252729,-14.23485299,-13.306139,-5.128304127,-4.9364796
1.179,-3.690014586,-3.9839549,-7.352588753,-6.905642,-14.24286278,-13.300486,-5.127668363,-4.9192824
1.18,-3.68699663,-3.9677856,-7.360308588,-6.9044065,-14.25061228,-13.293086,-5.127041818,-4.9338641
1.181,-3.683986464,-3.9678741,-7.368071751,-6.9253502,-14.25809804,-13.319901,-5.126424578,-4.9354143
1.182,-3.680984185,-3.9465578,-7.375878462,-6.9279051,-14.26531658,-13.326238,-5.125816729,-4.9218879
1.183,-3.677989888,-3.9479363,-7.383728946,-6.9530444,-14.27226447,-13.289247,-5.125218358,-4.9373999
1.184,-3.67500367,-3.9816411,-7.391623424,-6.9799657,-14.27893831,-13.380974,-5.124629553,-4.9608879
1.185,-3.672025629,-3.9643626,-7.399562119,-6.9763937,-14.28533471,-13.38018,-5.1240504,-4.9367714
1.186,-3.669055863,-3.9281647,-7.407545258,-6.9915996,-14.29145031,-13.388533,-5.12348099,-4.9379845
1.187,-3.666094471,-3.9631732,-7.415573064,-6.990366,-14.29728179,-13.372264,-5.12292141,-4.9509459
1.188,-3.663141551,-3.9079132,-7.423645764,-6.9993815,-14.30282585,-13.370221,-5.12237175,-4.9360008
1.189,-3.660197205,-3.9375262,-7.431763584,-7.0274453,-14.30807924,-13.389797,-5.121832102,-4.9532094
1.19,-3.657261533,-3.9190121,-7.439926752,-6.9949374,-14.31303873,-13.350351,-5.121302555,-4.9227009
1.191,-3.654334637,-3.9171917,-7.448135496,-6.9950643,-14.31770113,-13.351057,-5.120783201,-4.9384084
1.192,-3.651416619,-3.9062672,-7.456390044,-7.0114517,-14.3220633,-13.372689,-5.120274132,-4.9303875
1.193,-3.648507583,-3.9283681,-7.464690625,-7.0485334,-14.32612214,-13.355528,-5.11977544,-4.9301219
1.194,-3.64560763,-3.9179871,-7.47303747,-7.0206723,-14.32987459,-13.401847,-5.11928722,-4.9552174
1.195,-3.642716867,-3.8925247,-7.48143081,-7.0567679,-14.33331765,-13.387122,-5.118809565,-4.945487
1.196,-3.639835399,-3.8899019,-7.489870875,-7.0676417,-14.33644836,-13.391435,-5.118342569,-4.9469609
1.197,-3.63696333,-3.907294,-7.498357898,-7.0702362,-14.3392638,-13.399961,-5.117886328,-4.9290762
1.198,-3.634100768,-3.9039838,-7.506892111,-7.0842633,-14.34176112,-13.383564,-5.117440937,-4.9384851
1.199,-3.63124782,-3.8737957,-7.515473748,-7.0664654,-14.34393753,-13.411898,-5.117006493,-4.9077477
1.2,-3.628404593,-3.8938875,-7.524103042,-7.0755548,-14.34579027,-13.417631,-5.116583092,-4.9533257
1.201,-3.625571197,-3.8862896,-7.532780228,-7.1090117,-14.34731668,-13.370718,-5.116170832,-4.9226437
1.202,-3.622747741,-3.8777597,-7.541505541,-7.1182489,-14.34851412,-13.400186,-5.115769812,-4.9360232
1.203,-3.619934334,-3.9081752,-7.550279217,-7.1330032,-14.34938004,-13.418363,-5.11538013,-4.9506626
1.204,-3.617131089,-3.8827295,-7.559101491,-7.1383066,-14.34991195,-13.418267,-5.115001885,-4.956809
1.205,-3.614338116,-3.8712747,-7.5679726,-7.138834,-14.35010743,-13.386862,-5.114635178,-4.9368339
1.206,-3.611555528,-3.8870807,-7.576892783,-7.1629415,-14.34996412,-13.398293,-5.11428011,-4.9493055
1.207,-3.608783438,-3.8848433,-7.585862275,-7.1552176,-14.34947974,-13.435428,-5.113936781,-4.9452696
1.208,-3.606021959,-3.8642333,-7.594881317,-7.1745057,-14.34865209,-13.374977,-5.113605295,-4.9439411
1.209,-3.603271207,-3.8626986,-7.603950145,-7.1804194,-14.34747902,-13.390272,-5.113285752,-4.9214334
1.21,-3.600531296,-3.8841074,-7.613069001,-7.1957669,-14.34595849,-13.43059,-5.112978258,-4.9860702
1.211,-3.597802343,-3.8703628,-7.622238123,-7.2045603,-14.34408852,-13.396912,-5.112682916,-4.9352617
1.212,-3.595084464,-3.8596709,-7.631457752,-7.2044106,-14.3418672,-13.385115,-5.112399829,-4.9405475
1.213,-3.592377778,-3.8572607,-7.640728128,-7.2138119,-14.33929274,-13.399917,-5.112129105,-4.9591451
1.214,-3.589682402,-3.857435,-7.650049493,-7.2356448,-14.33636338,-13.394025,-5.111870848,-4.92169
1.215,-3.586998455,-3.8505599,-7.659422088,-7.2249308,-14.33307749,-13.388332,-5.111625166,-4.922441
1.216,-3.584326058,-3.8296194,-7.668846154,-7.2229991,-14.32943351,-13.362575,-5.111392164,-4.9110103
1.217,-3.581665331,-3.852581,-7.678321934,-7.239912,-14.32542996,-13.38399,-5.111171952,-4.9170265
1.218,-3.579016395,-3.8201928,-7.687849671,-7.2661214,-14.32106547,-13.37944,-5.110964638,-4.9204397
1.219,-3.576379373,-3.8161643,-7.697429607,-7.2703562,-14.31633874,-13.373928,-5.110770331,-4.9396472
1.22,-3.573754387,-3.846261,-7.707061986,-7.2584639,-14.31124857,-13.390283,-5.110589141,-4.9182453
1.221,-3.571141561,-3.8577456,-7.716747051,-7.2695303,-14.30579386,-13.336628,-5.110421178,-4.9619379
1.222,-3.568541021,-3.8450742,-7.726485046,-7.3027682,-14.29997358,-13.354466,-5.110266555,-4.9498734
1.223,-3.56595289,-3.8369982,-7.736276214,-7.3088603,-14.29378683,-13.358545,-5.110125381,-4.9490943
1.224,-3.563377295,-3.8250549,-7.746120801,-7.3015237,-14.28723278,-13.315265,-5.109997772,-4.9118524
1.225,-3.560814363,-3.8378477,-7.756019051,-7.3494363,-14.2803107,-13.351526,-5.109883838,-4.9496984
1.226,-3.558264222,-3.85182,-7.765971208,-7.3487949,-14.27301997,-13.3606,-5.109783696,-4.9596286
1.227,-3.555727,-3.8697028,-7.775977517,-7.3774219,-14.26536005,-13.357895,-5.109697458,-4.9611206
1.228,-3.553202826,-3.8298249,-7.786038224,-7.3765869,-14.25733051,-13.336719,-5.109625241,-4.9643106
1.229,-3.550691831,-3.8315227,-7.796153572,-7.3618464,-14.24893101,-13.316751,-5.10956716,-4.9173117
1.23,-3.548194144,-3.800163,-7.806323808,-7.4003143,-14.24016133,-13.303679,-5.109523333,-4.9216051
