!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:07:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S11 Phase(°)
1419000000,-4.7458048,142.86768
1420000000,-4.7690735,142.54523
1421000000,-4.7544971,142.46239
1422000000,-4.7650013,142.68817
1423000000,-4.7906566,142.51921
1424000000,-4.7704883,142.31313
1425000000,-4.7423353,142.29829
1426000000,-4.7628942,142.3821
1427000000,-4.7927241,142.31801
1428000000,-4.7864466,142.1683
1429000000,-4.7629261,142.32343
1430000000,-4.8030591,142.21306
1431000000,-4.7545171,141.97165
1432000000,-4.7857423,141.82257
1433000000,-4.7778378,142.02299
1434000000,-4.7960892,141.58574
1435000000,-4.7778697,141.81056
1436000000,-4.7802906,141.76657
1437000000,-4.8034143,141.80252
1438000000,-4.780375,141.71532
1439000000,-4.7918563,141.31598
1440000000,-4.8012543,141.61151
1441000000,-4.7943783,141.58525
1442000000,-4.7948241,141.3651
1443000000,-4.7783737,141.3022
1444000000,-4.8138952,141.45552
1445000000,-4.787384,141.26662
1446000000,-4.7848816,141.23981
1447000000,-4.8224196,141.10878
1448000000,-4.7988605,141.058
1449000000,-4.8376303,141.06424
1450000000,-4.8162861,141.17773
1451000000,-4.8302922,140.78175
1452000000,-4.8133297,141.02335
1453000000,-4.8289275,140.80022
1454000000,-4.8198524,140.90063
1455000000,-4.7922225,140.65758
1456000000,-4.8214512,140.6752
1457000000,-4.8213277,140.6817
1458000000,-4.8399186,140.44095
1459000000,-4.831378,140.42314
1460000000,-4.8434987,140.53004
1461000000,-4.8193212,140.35483
1462000000,-4.8193898,140.43663
1463000000,-4.8093181,140.26955
1464000000,-4.836998,140.15236
1465000000,-4.8435631,140.09201
1466000000,-4.8202906,139.91907
1467000000,-4.8338404,140.15923
1468000000,-4.8422804,139.94313
1469000000,-4.8473525,140.06712
1470000000,-4.8137922,139.92511
1471000000,-4.832303,139.74135
1472000000,-4.8373713,139.85738
1473000000,-4.8572378,139.79884
1474000000,-4.8514719,139.53831
1475000000,-4.8718562,139.36197
1476000000,-4.8570924,139.69278
1477000000,-4.8423176,139.58144
1478000000,-4.870019,139.52644
1479000000,-4.8863931,139.44646
1480000000,-4.8451052,139.3622
1481000000,-4.8494725,139.20822
1482000000,-4.8593001,139.12996
1483000000,-4.8786521,139.2959
1484000000,-4.8740549,139.04272
1485000000,-4.8650084,139.06265
1486000000,-4.8696675,139.04382
1487000000,-4.8936615,138.92256
1488000000,-4.9029393,139.02426
1489000000,-4.8778944,138.8717
1490000000,-4.8514628,138.8653
1491000000,-4.8608384,138.62088
1492000000,-4.8899693,138.62056
1493000000,-4.8603244,138.68964
1494000000,-4.8944807,138.51846
1495000000,-4.9040256,138.60936
1496000000,-4.9087958,138.39584
1497000000,-4.9085088,138.45251
1498000000,-4.8980784,138.30865
1499000000,-4.8991466,138.34833
1500000000,-4.9142203,138.03259
1501000000,-4.9045639,138.06482
1502000000,-4.9267397,138.12329
1503000000,-4.8889918,137.96353
1504000000,-4.8687291,137.87357
1505000000,-4.9005299,137.87813
1506000000,-4.9652328,137.85493
1507000000,-4.9088244,137.97643
1508000000,-4.8780575,137.84402
1509000000,-4.9146509,137.78116
1510000000,-4.929872,137.62653
1511000000,-4.9136515,137.71547
1512000000,-4.9303918,137.43431
1513000000,-4.9044938,137.5988
1514000000,-4.9139009,137.5166
1515000000,-4.9305673,137.15358
1516000000,-4.9393344,137.29047
1517000000,-4.9520979,137.22247
1518000000,-4.9188471,137.14641
1519000000,-4.9516687,137.22433
1520000000,-4.9537592,137.02754
1521000000,-4.9598598,136.92111
1522000000,-4.9389071,136.95514
1523000000,-4.9439836,136.98718
1524000000,-4.956521,136.71123
1525000000,-4.9676013,136.70314
1526000000,-4.9733992,136.67339
1527000000,-4.9668889,136.55379
1528000000,-4.9517727,136.66426
1529000000,-4.9928842,136.59451
1530000000,-5.0023127,136.57912
1531000000,-4.9570336,136.38763
1532000000,-4.9759979,136.44583
1533000000,-4.9988832,136.39389
1534000000,-4.9775176,136.36986
1535000000,-4.969027,136.13396
1536000000,-4.9573274,136.11594
1537000000,-5.009038,136.10596
1538000000,-4.993969,136.11066
1539000000,-5.0073552,135.97591
1540000000,-4.9875917,135.84236
1541000000,-4.9970961,135.63043
1542000000,-5.0097704,135.63503
1543000000,-5.0144806,135.65553
1544000000,-5.016511,135.90985
1545000000,-5.0102768,135.50177
1546000000,-4.9918275,135.45456
1547000000,-5.0615358,135.32675
1548000000,-5.0047035,135.57648
1549000000,-5.0173998,135.38333
1550000000,-5.0417061,135.35707
1551000000,-5.0190639,135.25018
1552000000,-5.0280094,135.21716
1553000000,-5.0290208,135.04207
1554000000,-5.018652,135.03053
1555000000,-5.0268421,135.01642
1556000000,-5.0067239,135.11707
1557000000,-5.0283141,134.89957
1558000000,-5.0418348,134.69522
1559000000,-5.0331702,134.60948
1560000000,-5.0656605,134.7236
1561000000,-5.0303054,134.65115
1562000000,-5.0376425,134.43759
1563000000,-5.1026387,134.5475
1564000000,-5.0609441,134.43735
1565000000,-5.0626159,134.49281
1566000000,-5.0536518,134.32239
1567000000,-5.0734386,134.29869
1568000000,-5.063076,134.20723
1569000000,-5.0683632,134.09572
1570000000,-5.0738902,134.07072
1571000000,-5.0663381,134.13004
1572000000,-5.0534792,134.01428
1573000000,-5.0609775,133.78645
1574000000,-5.095088,133.85339
1575000000,-5.0598235,133.78656
1576000000,-5.058567,133.56522
1577000000,-5.0705223,133.46077
1578000000,-5.1055574,133.80226
1579000000,-5.1119204,133.47661
1580000000,-5.124094,133.50278
1581000000,-5.103797,133.49706
1582000000,-5.1154866,133.47493
1583000000,-5.1076384,133.40985
1584000000,-5.1140676,132.84572
1585000000,-5.1187992,133.19597
1586000000,-5.1000257,132.85597
1587000000,-5.1190314,132.90443
1588000000,-5.1462946,132.75368
1589000000,-5.1071472,132.77786
1590000000,-5.1313272,132.90387
1591000000,-5.1343312,132.68784
1592000000,-5.1560564,132.76756
1593000000,-5.1053596,132.72656
1594000000,-5.1525407,132.41005
1595000000,-5.129066,132.48886
1596000000,-5.1614709,132.5061
1597000000,-5.1357903,132.33586
1598000000,-5.1352549,132.37874
1599000000,-5.1495843,132.26863
1600000000,-5.1460867,132.17242
1601000000,-5.1539702,131.98677
1602000000,-5.1645474,131.90656
1603000000,-5.1840653,131.94527
1604000000,-5.150209,131.81371
1605000000,-5.1721125,132.127
1606000000,-5.2094312,131.74948
1607000000,-5.1956234,131.84724
1608000000,-5.2062893,131.60649
1609000000,-5.1669679,131.48125
1610000000,-5.1805615,131.7571
1611000000,-5.2248187,131.3555
1612000000,-5.197288,131.51671
1613000000,-5.18506,131.65727
1614000000,-5.2158785,131.52222
1615000000,-5.1879449,131.379
1616000000,-5.22368,131.2515
1617000000,-5.2213435,131.39626
1618000000,-5.2122116,131.06453
1619000000,-5.2416649,130.91788
1620000000,-5.2214446,130.84079
1621000000,-5.2370548,130.97237
1622000000,-5.2142105,130.81401
1623000000,-5.2117839,130.53941
1624000000,-5.2141399,130.57935
1625000000,-5.2546406,130.56856
1626000000,-5.2496185,130.49532
1627000000,-5.2658911,130.5808
1628000000,-5.2416816,130.43188
1629000000,-5.30825,130.40146
1630000000,-5.2389927,130.29529
1631000000,-5.2223167,130.21698
1632000000,-5.2492208,130.22256
1633000000,-5.2562852,130.26598
1634000000,-5.2690082,129.89772
1635000000,-5.2630229,130.06702
1636000000,-5.2782192,129.91147
1637000000,-5.2284536,130.13031
1638000000,-5.2679639,129.77214
1639000000,-5.2910504,129.53125
1640000000,-5.307312,129.70313
1641000000,-5.3067122,129.63574
1642000000,-5.3027835,129.47079
1643000000,-5.2798715,129.31924
1644000000,-5.3038816,129.34586
1645000000,-5.3267875,129.2532
1646000000,-5.3263326,129.0609
1647000000,-5.3200092,129.10851
1648000000,-5.3240981,129.11375
1649000000,-5.3222046,129.08582
1650000000,-5.3377442,128.82487
1651000000,-5.3137865,128.97232
1652000000,-5.336339,128.83098
1653000000,-5.3697171,128.70595
1654000000,-5.3411875,128.55922
1655000000,-5.3503151,128.64088
1656000000,-5.3387256,128.58516
1657000000,-5.3578382,128.41479
1658000000,-5.3845453,128.4584
1659000000,-5.3643966,128.34941
1660000000,-5.3506899,127.97475
1661000000,-5.4015708,128.17482
1662000000,-5.3841858,128.11452
1663000000,-5.3910379,128.16615
1664000000,-5.3671179,127.9456
1665000000,-5.3868179,127.91293
1666000000,-5.391211,127.87656
1667000000,-5.405035,127.88458
1668000000,-5.4396329,127.69219
1669000000,-5.4271092,127.5684
1670000000,-5.3915682,127.64284
1671000000,-5.4388599,127.49898
1672000000,-5.4052067,127.36079
1673000000,-5.4595304,127.41556
1674000000,-5.4396768,127.3874
1675000000,-5.4412394,127.18617
1676000000,-5.4645619,127.17126
1677000000,-5.4748535,127.08023
1678000000,-5.4528985,127.11755
1679000000,-5.4866428,126.94428
1680000000,-5.4813571,126.84066
1681000000,-5.4649663,126.88305
1682000000,-5.4694638,126.67497
1683000000,-5.4793401,126.80608
1684000000,-5.4921074,126.68802
1685000000,-5.4885406,126.81065
1686000000,-5.5047503,126.48032
1687000000,-5.5217619,126.22729
1688000000,-5.528307,126.48929
1689000000,-5.5200357,126.37353
1690000000,-5.53474,126.33157
1691000000,-5.5063167,126.02708
1692000000,-5.5257416,126.08233
1693000000,-5.5347428,125.94429
1694000000,-5.5526605,125.8612
1695000000,-5.5573859,125.87263
1696000000,-5.5231853,125.72163
1697000000,-5.5680108,125.68568
1698000000,-5.5563393,125.63285
1699000000,-5.5390806,125.37791
1700000000,-5.5735898,125.67275
1701000000,-5.5964327,125.50011
1702000000,-5.6030807,125.08897
1703000000,-5.5967994,125.25252
1704000000,-5.5869694,125.23754
1705000000,-5.6028781,125.1657
1706000000,-5.5953894,125.06879
1707000000,-5.6551695,124.71098
1708000000,-5.5947304,124.81613
1709000000,-5.5990496,124.93665
1710000000,-5.6312633,124.77597
1711000000,-5.6468153,124.51073
1712000000,-5.643353,124.70647
1713000000,-5.6413445,124.47773
1714000000,-5.645926,124.31144
1715000000,-5.6716204,124.40123
1716000000,-5.7027116,124.34595
1717000000,-5.6446381,124.43262
1718000000,-5.6908898,124.22448
1719000000,-5.6455393,124.12116
1720000000,-5.7251143,123.90021
1721000000,-5.6712179,124.10357
1722000000,-5.7104421,123.9185
1723000000,-5.7002015,123.99042
1724000000,-5.6915221,123.68978
1725000000,-5.7122378,123.75617
1726000000,-5.7213244,123.63697
1727000000,-5.71662,123.5368
1728000000,-5.7437196,123.76796
1729000000,-5.7292008,123.41629
1730000000,-5.7307096,123.24952
1731000000,-5.7169561,123.45415
1732000000,-5.7657008,123.20409
1733000000,-5.7651391,122.96027
1734000000,-5.7884388,123.1361
1735000000,-5.765264,123.11877
1736000000,-5.7644958,122.89577
1737000000,-5.7762852,122.81428
1738000000,-5.7847843,122.80402
1739000000,-5.7819915,122.8298
1740000000,-5.7831602,122.66368
1741000000,-5.8089886,122.61034
1742000000,-5.7920384,122.66499
1743000000,-5.817709,122.35126
1744000000,-5.8153582,122.37146
1745000000,-5.8267331,122.40049
1746000000,-5.8167663,122.22594
1747000000,-5.8257623,122.02401
1748000000,-5.8589945,122.15829
1749000000,-5.8507977,122.05598
1750000000,-5.8319335,121.86563
1751000000,-5.8606038,121.92007
1752000000,-5.8789248,121.8029
1753000000,-5.8599629,121.83141
1754000000,-5.8939452,121.75559
1755000000,-5.8838387,121.48837
1756000000,-5.8766828,121.78428
1757000000,-5.8791599,121.3829
1758000000,-5.8798919,121.44968
1759000000,-5.9247947,121.31767
1760000000,-5.9217925,121.20407
1761000000,-5.9007025,121.20324
1762000000,-5.9358797,121.14321
1763000000,-5.9556231,121.02698
1764000000,-5.9638643,120.7308
1765000000,-5.950006,120.81758
1766000000,-5.9661455,120.84655
