Freq,Measured,Simulated
1.239,0.025730116,-0.023569504
1.24,0.050171517,-0.023581424
1.241,0.033527952,-0.023593215
1.242,0.050789133,-0.023604879
1.243,0.049966142,-0.023616414
1.244,0.053496782,-0.023627823
1.245,0.064854756,-0.023639105
1.246,0.075751565,-0.02365026
1.247,0.023052726,-0.023661289
1.248,0.045621756,-0.023672194
1.249,0.052179359,-0.023682973
1.25,0.052429151,-0.023693627
1.251,0.039923731,-0.023704157
1.252,0.062605083,-0.023714564
1.253,0.06439843,-0.023724847
1.254,0.061050024,-0.023735008
1.255,0.046419021,-0.023745046
1.256,0.053983632,-0.023754962
1.257,0.060047559,-0.023764757
1.258,0.047378879,-0.023774431
1.259,0.055615358,-0.023783984
1.26,0.069340937,-0.023793417
1.261,0.030741224,-0.02380273
1.262,0.024623478,-0.023811924
1.263,0.03643674,-0.023820998
1.264,0.037585549,-0.023829955
1.265,0.038918696,-0.023838793
1.266,0.067021035,-0.023847514
1.267,0.057134956,-0.023856117
1.268,0.043121677,-0.023864604
1.269,0.052985828,-0.023872974
1.27,0.04823406,-0.023881229
1.271,0.052458279,-0.023889368
1.272,0.040353194,-0.023897392
1.273,0.047747809,-0.023905301
1.274,0.038562354,-0.023913096
1.275,0.046508372,-0.023920777
1.276,0.055864692,-0.023928345
1.277,0.019291459,-0.0239358
1.278,0.060175497,-0.023943142
1.279,0.071398474,-0.023950372
1.28,0.072230294,-0.023957491
1.281,0.063701056,-0.023964498
1.282,0.038466852,-0.023971395
1.283,0.065608613,-0.023978181
1.284,0.06055788,-0.023984857
1.285,0.006237311,-0.023991423
1.286,0.034880683,-0.02399788
1.287,0.022466889,-0.024004229
1.288,0.061854411,-0.024010469
1.289,0.031619754,-0.024016601
1.29,0.026722681,-0.024022625
1.291,0.064108878,-0.024028542
1.292,0.046133202,-0.024034353
1.293,0.044184733,-0.024040057
1.294,0.06456428,-0.024045656
1.295,0.031756852,-0.024051149
1.296,0.070603766,-0.024056536
1.297,0.067303501,-0.024061819
1.298,0.05544588,-0.024066998
1.299,0.05637145,-0.024072073
1.3,0.045317337,-0.024077045
1.301,0.060995687,-0.024081913
1.302,0.032913163,-0.024086679
1.303,0.048941251,-0.024091342
1.304,0.078537896,-0.024095904
1.305,0.028578946,-0.024100364
1.306,0.055658448,-0.024104723
1.307,0.057537418,-0.024108981
1.308,0.042615321,-0.024113139
1.309,0.030673668,-0.024117197
1.31,0.037360296,-0.024121156
1.311,0.047365446,-0.024125016
1.312,0.063625768,-0.024128777
1.313,0.029870419,-0.024132439
1.314,0.039049547,-0.024136004
1.315,0.053790055,-0.024139471
1.316,0.058846124,-0.024142842
1.317,0.050828647,-0.024146115
1.318,0.03304055,-0.024149292
1.319,0.063890159,-0.024152373
1.32,0.040800828,-0.024155359
1.321,0.031645607,-0.024158249
1.322,0.032392487,-0.024161045
1.323,0.033415563,-0.024163746
1.324,0.061723363,-0.024166354
1.325,0.029403102,-0.024168867
1.326,0.022430805,-0.024171288
1.327,0.040550854,-0.024173615
1.328,0.036112372,-0.02417585
1.329,0.025398789,-0.024177993
1.33,0.032722373,-0.024180045
1.331,0.025109392,-0.024182004
1.332,0.030673308,-0.024183874
1.333,0.050751299,-0.024185652
1.334,0.04743699,-0.02418734
1.335,0.042269059,-0.024188939
1.336,0.0516419,-0.024190448
1.337,0.016351864,-0.024191868
1.338,-0.000840889,-0.024193199
1.339,0.044200592,-0.024194442
1.34,0.047364634,-0.024195597
1.341,0.046141021,-0.024196665
1.342,0.023280377,-0.024197645
1.343,0.008890338,-0.024198538
1.344,0.046766222,-0.024199346
1.345,0.006946844,-0.024200067
1.346,0.025684401,-0.024200702
1.347,0.03842194,-0.024201252
1.348,0.034424536,-0.024201717
1.349,0.043970622,-0.024202097
1.35,0.048594266,-0.024202393
1.351,0.030915184,-0.024202606
1.352,0.050599799,-0.024202734
1.353,0.041731201,-0.02420278
1.354,0.017312093,-0.024202743
1.355,0.043947194,-0.024202623
1.356,0.043243732,-0.024202422
1.357,0.035479527,-0.024202139
1.358,0.029420139,-0.024201774
1.359,0.028366454,-0.024201328
1.36,0.041376326,-0.024200802
1.361,0.04293564,-0.024200196
1.362,0.031839419,-0.02419951
1.363,0.051355336,-0.024198744
1.364,0.021266261,-0.024197899
1.365,0.041402929,-0.024196975
1.366,0.054380529,-0.024195973
1.367,0.036268894,-0.024194892
1.368,0.046978403,-0.024193734
1.369,0.034114312,-0.024192498
1.37,0.026497036,-0.024191186
1.371,0.026718348,-0.024189796
1.372,0.031484485,-0.02418833
1.373,0.024712993,-0.024186789
1.374,0.002632409,-0.024185171
1.375,0.035818547,-0.024183478
1.376,0.020583464,-0.024181711
1.377,0.028139848,-0.024179868
1.378,0.039444607,-0.024177952
1.379,0.022875424,-0.024175961
1.38,0.042841747,-0.024173897
1.381,0.025735367,-0.02417176
1.382,0.044626541,-0.024169549
1.383,0.006147251,-0.024167266
1.384,0.033720627,-0.024164911
1.385,0.049313229,-0.024162484
1.386,0.043384358,-0.024159986
1.387,0.026091315,-0.024157416
1.388,0.030453287,-0.024154775
1.389,0.012541469,-0.024152064
1.39,0.02200068,-0.024149283
1.391,0.017818397,-0.024146432
1.392,0.042559441,-0.024143511
1.393,0.018856166,-0.024140521
1.394,-0.001482992,-0.024137462
1.395,0.019171126,-0.024134335
1.396,0.037855756,-0.02413114
1.397,0.014458005,-0.024127876
1.398,0.025235781,-0.024124545
1.399,0.037085369,-0.024121147
1.4,0.031556316,-0.024117682
1.401,0.033004303,-0.024114151
1.402,0.03615902,-0.024110553
1.403,0.032239586,-0.02410689
1.404,0.028952125,-0.02410316
1.405,0.023549257,-0.024099366
1.406,0.013647922,-0.024095507
1.407,0.041131862,-0.024091583
1.408,0.03317162,-0.024087594
1.409,0.015472295,-0.024083542
1.41,0.014744837,-0.024079426
1.411,0.023527371,-0.024075247
1.412,-0.000139064,-0.024071005
1.413,0.014298853,-0.0240667
1.414,0.027374554,-0.024062333
1.415,0.02545663,-0.024057904
1.416,0.067122571,-0.024053413
1.417,0.028294045,-0.024048861
1.418,0.044467669,-0.024044248
1.419,0.03387152,-0.024039573
1.42,0.056053698,-0.024034839
1.421,0.024864679,-0.024030044
1.422,0.020363891,-0.024025189
1.423,0.037333392,-0.024020275
1.424,0.031801112,-0.024015302
1.425,0.032069944,-0.02401027
1.426,0.014799058,-0.024005179
1.427,0.036798377,-0.02400003
1.428,-0.006979784,-0.023994823
1.429,0.04013529,-0.023989558
1.43,0.006655397,-0.023984236
1.431,0.042471837,-0.023978856
1.432,0.020025343,-0.02397342
1.433,0.051908813,-0.023967928
1.434,0.031398673,-0.023962379
1.435,0.062421951,-0.023956775
1.436,0.038854551,-0.023951115
1.437,0.013337303,-0.0239454
1.438,0.002344774,-0.02393963
1.439,0.036559328,-0.023933805
1.44,0.001717299,-0.023927926
1.441,0.027384365,-0.023921992
1.442,0.032658238,-0.023916005
1.443,0.025953101,-0.023909965
1.444,0.033565927,-0.023903871
1.445,0.03510021,-0.023897725
1.446,0.009627675,-0.023891526
1.447,0.01576999,-0.023885274
1.448,0.019876575,-0.023878971
1.449,0.028746678,-0.023872616
1.45,0.051346265,-0.02386621
1.451,0.020362286,-0.023859752
1.452,0.012378288,-0.023853244
1.453,0.028676713,-0.023846685
1.454,0.018704707,-0.023840076
1.455,0.020856304,-0.023833417
1.456,0.031002453,-0.023826708
1.457,0.028616026,-0.02381995
1.458,0.033486832,-0.023813143
1.459,0.026285471,-0.023806286
1.46,0.046267781,-0.023799382
1.461,0.014958903,-0.023792429
1.462,0.014138196,-0.023785428
