Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
4.157,-4.8509726462,-6.5126039052,-9.9490439685,-5.5733371781
4.158,-4.8539304647,-6.5110984597,-9.9375925323,-5.5747828436
4.159,-4.8568873507,-6.50960185,-9.9261688476,-5.5762282634
4.16,-4.8598432926,-6.5081140254,-9.9147729173,-5.5776734328
4.161,-4.8627982787,-6.5066349353,-9.9034047429,-5.5791183468
4.162,-4.8657522974,-6.5051645295,-9.8920643246,-5.5805630008
4.163,-4.8687053374,-6.5037027581,-9.8807516611,-5.5820073903
4.164,-4.8716573872,-6.5022495714,-9.8694667499,-5.5834515105
4.165,-4.8746084356,-6.5008049199,-9.8582095869,-5.5848953571
4.166,-4.8775584715,-6.4993687546,-9.8469801672,-5.5863389255
4.167,-4.8805074837,-6.4979410265,-9.835778484,-5.5877822114
4.168,-4.8834554612,-6.496521687,-9.8246045298,-5.5892252105
4.169,-4.8864023932,-6.4951106877,-9.8134582956,-5.5906679185
4.17,-4.8893482688,-6.4937079805,-9.8023397712,-5.5921103311
4.171,-4.8922930773,-6.4923135177,-9.7912489453,-5.5935524443
4.172,-4.895236808,-6.4909272515,-9.7801858055,-5.594994254
4.173,-4.8981794504,-6.4895491347,-9.769150338,-5.596435756
4.174,-4.9011209941,-6.4881791203,-9.7581425283,-5.5978769465
4.175,-4.9040614285,-6.4868171612,-9.7471623605,-5.5993178215
4.176,-4.9070007433,-6.4854632111,-9.7362098176,-5.6007583771
4.177,-4.9099389285,-6.4841172236,-9.725284882,-5.6021986095
4.178,-4.9128759737,-6.4827791525,-9.7143875345,-5.603638515
4.179,-4.9158118689,-6.4814489522,-9.7035177552,-5.6050780897
4.18,-4.9187466042,-6.4801265769,-9.6926755233,-5.6065173301
4.181,-4.9216801696,-6.4788119814,-9.6818608168,-5.6079562325
4.182,-4.9246125553,-6.4775051205,-9.6710736129,-5.6093947933
4.183,-4.9275437514,-6.4762059495,-9.6603138879,-5.610833009
4.184,-4.9304737485,-6.4749144237,-9.6495816172,-5.6122708761
4.185,-4.9334025367,-6.4736304987,-9.6388767751,-5.6137083911
4.186,-4.9363301066,-6.4723541304,-9.6281993353,-5.6151455507
4.187,-4.9392564488,-6.4710852749,-9.6175492705,-5.6165823515
4.188,-4.9421815539,-6.4698238885,-9.6069265526,-5.6180187901
4.189,-4.9451054124,-6.4685699278,-9.5963311528,-5.6194548633
4.19,-4.9480280153,-6.4673233497,-9.5857630412,-5.6208905679
4.191,-4.9509493533,-6.4660841111,-9.5752221876,-5.6223259007
4.192,-4.9538694174,-6.4648521694,-9.5647085605,-5.6237608584
