"Freq [GHz]","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1'"
3.828,-3.96083395502288,-4.44689017563285,-3.659226434017,-3.10561534446518
3.829,-3.97013816961054,-4.44190588345503,-3.65240326168874,-3.10941549228496
3.83,-3.97948688846491,-4.43692705505506,-3.64557574064489,-3.11321915186331
3.831,-3.98888039855289,-4.43195368621676,-3.63874390417106,-3.11702632239656
3.832,-3.99831898912201,-4.42698577272359,-3.63190778595468,-3.12083700307363
3.833,-4.00780295172179,-4.42202331035862,-3.62506742008848,-3.12465119307584
3.834,-4.01733258022562,-4.41706629490464,-3.61822284107389,-3.12846889157698
3.835,-4.0269081708527,-4.41211472214413,-3.61137408382457,-3.13229009774327
3.836,-4.03653002219028,-4.40716858785936,-3.60452118366992,-3.13611481073326
3.837,-4.04619843521617,-4.40222788783243,-3.59766417635861,-3.13994302969785
3.838,-4.05591371332146,-4.3972926178453,-3.59080309806213,-3.14377475378029
3.839,-4.06567616233349,-4.39236277367985,-3.58393798537842,-3.14760998211606
3.84,-4.07548609053916,-4.38743835111793,-3.5770688753354,-3.15144871383288
3.841,-4.08534380870838,-4.38251934594139,-3.57019580539472,-3.15529094805068
3.842,-4.09524963011789,-4.37760575393217,-3.56331881345531,-3.1591366838816
3.843,-4.10520387057525,-4.37269757087228,-3.55643793785714,-3.16298592042985
3.844,-4.11520684844315,-4.36779479254393,-3.54955321738492,-3.16683865679171
3.845,-4.12525888466405,-4.36289741472952,-3.54266469127181,-3.17069489205562
3.846,-4.135360302785,-4.35800543321171,-3.53577239920322,-3.17455462530193
3.847,-4.14551142898279,-4.35311884377347,-3.52887638132057,-3.17841785560305
3.848,-4.15571259208937,-4.34823764219813,-3.52197667822512,-3.18228458202322
3.849,-4.16596412361759,-4.34336182426945,-3.51507333098181,-3.18615480361864
3.85,-4.17626635778719,-4.33849138577163,-3.50816638112312,-3.19002851943741
3.851,-4.18661963155109,-4.3336263224894,-3.50125587065298,-3.19390572851935
3.852,-4.19702428462208,-4.32876663020803,-3.49434184205066,-3.19778642989606
3.853,-4.20748065949961,-4.32391230471344,-3.48742433827473,-3.20167062259092
3.854,-4.21798910149712,-4.31906334179223,-3.48050340276704,-3.20555830561893
3.855,-4.22854995876951,-4.31421973723166,-3.47357907945669,-3.20944947798675
3.856,-4.23916358234102,-4.30938148681986,-3.46665141276407,-3.21334413869262
3.857,-4.24983032613339,-4.3045485863457,-3.45972044760493,-3.21724228672631
3.858,-4.26055054699436,-4.299721031599,-3.45278622939441,-3.22114392106913
3.859,-4.27132460472653,-4.2948988183705,-3.44584880405117,-3.22504904069376
3.86,-4.28215286211647,-4.29008194245193,-3.43890821800152,-3.22895764456432
3.861,-4.29303568496426,-4.28527039963606,-3.43196451818355,-3.23286973163627
3.862,-4.30397344211333,-4.2804641857168,-3.42501775205133,-3.23678530085637
3.863,-4.31496650548067,-4.27566329648919,-3.41806796757915,-3.24070435116261
3.864,-4.32601525008735,-4.27086772774949,-3.41111521326566,-3.24462688148415
3.865,-4.33712005408943,-4.26607747529523,-3.40415953813825,-3.24855289074133
3.866,-4.34828129880929,-4.2612925349253,-3.39720099175724,-3.25248237784555
3.867,-4.35949936876719,-4.25651290243996,-3.39023962422025,-3.25641534169925
3.868,-4.37077465171334,-4.25173857364089,-3.3832754861665,-3.26035178119581
3.869,-4.38210753866026,-4.24696954433131,-3.37630862878124,-3.26429169521958
3.87,-4.39349842391556,-4.24220581031598,-3.36933910380007,-3.26823508264571
3.871,-4.40494770511512,-4.2374473674013,-3.36236696351341,-3.27218194234019
3.872,-4.41645578325668,-4.23269421139533,-3.35539226077094,-3.27613227315972
3.873,-4.42802306273368,-4.22794633810788,-3.34841504898607,-3.28008607395171
3.874,-4.4396499513698,-4.22320374335054,-3.34143538214042,-3.28404334355418
3.875,-4.45133686045357,-4.21846642293679,-3.33445331478841,-3.28800408079569
3.876,-4.4630842047737,-4.213734372682,-3.32746890206174,-3.29196828449532
3.877,-4.47489240265458,-4.20900758840354,-3.32048219967403,-3.29593595346253
3.878,-4.48676187599245,-4.20428606592082,-3.31349326392539,-3.29990708649724
3.879,-4.49869305029176,-4.19956980105533,-3.30650215170708,-3.30388168238954
3.88,-4.51068635470221,-4.19485878963077,-3.29950892050617,-3.30785973991988
3.881,-4.522742222056,-4.190153027473,-3.29251362841023,-3.31184125785878
3.882,-4.53486108890579,-4.18545251041025,-3.28551633411202,-3.31582623496689
3.883,-4.54704339556285,-4.18075723427305,-3.27851709691428,-3.31981466999492
3.884,-4.55928958613594,-4.17606719489436,-3.27151597673446,-3.32380656168345
3.885,-4.57160010857045,-4.17138238810963,-3.26451303410952,-3.32780190876302
3.886,-4.58397541468814,-4.16670280975685,-3.25750833020078,-3.33180070995395
3.887,-4.59641596022735,-4.16202845567662,-3.25050192679875,-3.33580296396627
3.888,-4.60892220488366,-4.15735932171222,-3.243493886328,-3.33980866949972
3.889,-4.62149461235113,-4.15269540370966,-3.23648427185207,-3.3438178252436
3.89,-4.63413365036397,-4.14803669751778,-3.2294731470784,-3.34783042987668
