"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1))_1 []"
1.712,-1.57069839065106,-8.42875040605071
1.713,-1.57043968749142,-8.42804277009848
1.714,-1.57017646400144,-8.42735248919326
1.715,-1.56990874286577,-8.4266794660021
1.716,-1.56963654676205,-8.42602360360401
1.717,-1.56935989835986,-8.42538480548898
1.718,-1.56907882031984,-8.42476297555677
1.719,-1.56879333529314,-8.42415801811579
1.72,-1.56850346592063,-8.42356983788189
1.721,-1.56820923483189,-8.42299833997728
1.722,-1.56791066464459,-8.42244342992926
1.723,-1.56760777796398,-8.42190501366907
1.724,-1.56730059738155,-8.42138299753068
1.725,-1.56698914547479,-8.42087728824954
1.726,-1.56667344480629,-8.42038779296141
1.727,-1.5663535179231,-8.41991441920105
1.728,-1.56602938735569,-8.419457074901
1.729,-1.56570107561777,-8.41901566839037
1.73,-1.56536860520502,-8.41859010839347
1.731,-1.56503199859472,-8.41818030402864
1.732,-1.56469127824528,-8.41778616480685
1.733,-1.56434646659478,-8.4174076006305
1.734,-1.56399758606117,-8.41704452179204
1.735,-1.56364465904089,-8.41669683897271
1.736,-1.56328770790901,-8.4163644632412
1.737,-1.56292675501759,-8.41604730605228
1.738,-1.56256182269578,-8.41574527924553
1.739,-1.56219293324894,-8.41545829504395
1.74,-1.56182010895791,-8.4151862660526
1.741,-1.56144337207852,-8.41492910525725
1.742,-1.56106274484106,-8.41468672602305
1.743,-1.56067824944923,-8.41445904209312
1.744,-1.56028990808013,-8.41424596758714
1.745,-1.55989774288324,-8.41404741700003
1.746,-1.55950177597985,-8.41386330520053
1.747,-1.55910202946284,-8.41369354742977
1.748,-1.55869852539559,-8.41353805929995
1.749,-1.5582912858118,-8.41339675679282
1.75,-1.55788033271476,-8.41326955625839
1.751,-1.55746568807676,-8.4131563744134
1.752,-1.5570473738387,-8.41305712833998
1.753,-1.5566254119094,-8.41297173548418
1.754,-1.55619982416506,-8.41290011365457
1.755,-1.55577063244878,-8.41284218102077
1.756,-1.55533785857011,-8.41279785611206
1.757,-1.55490152430429,-8.41276705781587
1.758,-1.55446165139217,-8.41274970537641
1.759,-1.55401826153916,-8.41274571839319
1.76,-1.55357137641513,-8.41275501681956
1.761,-1.55312101765376,-8.41277752096125
1.762,-1.55266720685215,-8.41281315147496
1.763,-1.55220996557028,-8.41286182936687
1.764,-1.55174931533044,-8.41292347599116
1.765,-1.55128527761687,-8.41299801304858
1.766,-1.55081787387545,-8.413085362585
1.767,-1.55034712551291,-8.41318544698989
1.768,-1.54987305389668,-8.41329818899489
1.769,-1.54939568035419,-8.41342351167234
1.77,-1.54891502617264,-8.41356133843381
1.771,-1.54843111259858,-8.41371159302861
1.772,-1.54794396083739,-8.41387419954234
1.773,-1.54745359205263,-8.41404908239543
1.774,-1.54696002736624,-8.41423616634162
1.775,-1.5464632878577,-8.4144353764665
1.776,-1.54596339456336,-8.41464663818611
1.777,-1.54546036847687,-8.41486987724535
1.778,-1.54495423054794,-8.4151050197166
1.779,-1.54444500168253,-8.41535199199817
1.78,-1.54393270274224,-8.41561072081291
1.781,-1.54341735454396,-8.41588113320666
1.782,-1.5428989778595,-8.41616315654685
1.783,-1.54237759341526,-8.41645671852094
1.784,-1.54185322189185,-8.41676174713503
1.785,-1.54132588392377,-8.41707817071238
1.786,-1.54079560009905,-8.41740591789187
1.787,-1.54026239095905,-8.41774491762662
1.788,-1.53972627699764,-8.41809509918249
1.789,-1.53918727866166,-8.41845639213659
1.79,-1.53864541634981,-8.41882872637587
1.791,-1.53810071041297,-8.41921203209559
1.792,-1.53755318115342,-8.41960623979795
1.793,-1.5370028488249,-8.42001128029052
1.794,-1.5364497336319,-8.42042708468492
1.795,-1.53589385572976,-8.42085358439524
1.796,-1.53533523522425,-8.42129071113665
1.797,-1.53477389217123,-8.42173839692393
1.798,-1.53420984657643,-8.4221965740701
1.799,-1.53364311839487,-8.42266517518484
1.8,-1.53307372753134,-8.42314413317314
1.801,-1.53250169383931,-8.42363338123386
1.802,-1.53192703712115,-8.42413285285828
1.803,-1.53134977712778,-8.42464248182863
1.804,-1.53076993355826,-8.42516220221673
1.805,-1.53018752605981,-8.42569194838248
1.806,-1.52960257422742,-8.42623165497254
1.807,-1.52901509760355,-8.42678125691882
1.808,-1.52842511567806,-8.42734068943709
1.809,-1.5278326478878,-8.42790988802558
1.81,-1.52723771361669,-8.42848878846356
1.811,-1.5266403321951,-8.42907732680994
1.812,-1.5260405228999,-8.42967543940185
1.813,-1.52543830495434,-8.43028306285326
1.814,-1.5248336975275,-8.43090013405357
1.815,-1.52422671973445,-8.43152659016623
1.816,-1.52361739063589,-8.43216236862733
1.817,-1.52300572923788,-8.43280740714426
1.818,-1.52239175449176,-8.43346164369427
1.819,-1.52177548529406,-8.43412501652316
1.82,-1.52115694048613,-8.43479746414385
1.821,-1.52053613885415,-8.43547892533504
1.822,-1.5199130991287,-8.43616933913986
1.823,-1.51928783998501,-8.43686864486448
1.824,-1.51866038004241,-8.43757678207679
1.825,-1.5180307378642,-8.43829369060499
1.826,-1.51739893195783,-8.43901931053634
