"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
3.116,-11.4583149581017,-0.731584592037525
3.117,-11.4469977426083,-0.732736364803088
3.118,-11.435692008903,-0.733890316777145
3.119,-11.4243977230991,-0.735046452020413
3.12,-11.4131148514337,-0.736204774606176
3.121,-11.4018433602667,-0.73736528862034
3.122,-11.3905832160805,-0.73852799816144
3.123,-11.3793343854793,-0.739692907340714
3.124,-11.3680968351886,-0.740860020282114
3.125,-11.3568705320548,-0.742029341122362
3.126,-11.345655443044,-0.743200874011003
3.127,-11.3344515352424,-0.744374623110407
3.128,-11.3232587758549,-0.74555059259584
3.129,-11.3120771322049,-0.746728786655493
3.13,-11.3009065717338,-0.747909209490532
3.131,-11.2897470620004,-0.749091865315129
3.132,-11.2785985706803,-0.750276758356498
3.133,-11.2674610655652,-0.751463892854961
3.134,-11.256334514563,-0.75265327306396
3.135,-11.2452188856963,-0.753844903250102
3.136,-11.2341141471028,-0.755038787693237
3.137,-11.2230202670342,-0.756234930686447
3.138,-11.2119372138557,-0.757433336536119
3.139,-11.2008649560459,-0.758634009561985
3.14,-11.1898034621958,-0.759836954097161
3.141,-11.1787527010086,-0.76104217448818
3.142,-11.1677126412991,-0.762249675095045
3.143,-11.1566832519929,-0.763459460291283
3.144,-11.1456645021266,-0.76467153446395
3.145,-11.1346563608465,-0.765885902013714
3.146,-11.1236587974087,-0.767102567354885
3.147,-11.1126717811782,-0.768321534915442
3.148,-11.1016952816287,-0.769542809137101
3.149,-11.090729268342,-0.770766394475337
3.15,-11.0797737110075,-0.77199229539945
3.151,-11.0688285794215,-0.773220516392583
3.152,-11.0578938434874,-0.774451061951788
3.153,-11.0469694732143,-0.775683936588072
3.154,-11.0360554387173,-0.776919144826412
3.155,-11.0251517102166,-0.778156691205826
3.156,-11.0142582580373,-0.779396580279417
3.157,-11.0033750526085,-0.780638816614408
3.158,-10.9925020644634,-0.781883404792188
3.159,-10.9816392642385,-0.783130349408363
3.16,-10.9707866226731,-0.784379655072793
3.161,-10.9599441106092,-0.785631326409654
3.162,-10.9491116989905,-0.786885368057462
3.163,-10.9382893588625,-0.788141784669132
3.164,-10.9274770613718,-0.789400580912016
3.165,-10.9166747777655,-0.790661761467972
3.166,-10.9058824793912,-0.791925331033377
3.167,-10.8951001376959,-0.793191294319193
3.168,-10.8843277242265,-0.794459656051016
3.169,-10.8735652106283,-0.795730420969105
3.17,-10.8628125686455,-0.79700359382846
3.171,-10.8520697701201,-0.798279179398835
