Freq(Hz),S11 ON,,S11 OFF,,S21 ON,,S21 OFF,,S11 Sim,S21 Sim
1105000000,-6.4384294,,-1.1892712,,-1.6285453,,-15.313169,,-0.761966967,-16.35151005
1106000000,-6.463028,,-1.1953882,,-1.6287962,,-15.282865,,-0.76339773,-16.32340748
1107000000,-6.4713564,,-1.2146876,,-1.6594139,,-15.291932,,-0.764835764,-16.29534017
1108000000,-6.495739,,-1.2436291,,-1.6651531,,-15.283927,,-0.766281048,-16.26730828
1109000000,-6.4781828,,-1.199687,,-1.6353469,,-15.267482,,-0.767733564,-16.23931193
1110000000,-6.4934907,,-1.2040063,,-1.6056095,,-15.229996,,-0.769193292,-16.21135126
1111000000,-6.5295444,,-1.219007,,-1.6094342,,-15.247478,,-0.770660211,-16.18342642
1112000000,-6.5660982,,-1.2223674,,-1.6060894,,-15.208553,,-0.7721343,-16.15553754
1113000000,-6.5505738,,-1.2090575,,-1.6020839,,-15.231869,,-0.773615539,-16.12768476
1114000000,-6.5492258,,-1.1922948,,-1.6096784,,-15.223186,,-0.775103906,-16.09986821
1115000000,-6.6057601,,-1.2195593,,-1.5824074,,-15.165306,,-0.776599381,-16.07208805
1116000000,-6.6032686,,-1.2250054,,-1.6238581,,-15.206924,,-0.778101941,-16.0443444
1117000000,-6.6088438,,-1.21691,,-1.5935069,,-15.147226,,-0.779611564,-16.01663742
1118000000,-6.6245761,,-1.2386529,,-1.6248196,,-15.161939,,-0.781128228,-15.98896723
1119000000,-6.6202803,,-1.2224013,,-1.6313654,,-15.143381,,-0.78265191,-15.96133397
1120000000,-6.6280661,,-1.2273927,,-1.5860255,,-15.124262,,-0.784182588,-15.9337378
1121000000,-6.6684618,,-1.2244343,,-1.5910512,,-15.130917,,-0.785720238,-15.90617884
1122000000,-6.6713252,,-1.2283124,,-1.5776414,,-15.098563,,-0.787264836,-15.87865725
1123000000,-6.6743932,,-1.222963,,-1.5875684,,-15.09287,,-0.788816359,-15.85117315
1124000000,-6.6767936,,-1.2653893,,-1.6019094,,-15.081538,,-0.790374782,-15.8237267
1125000000,-6.6883879,,-1.237447,,-1.5675709,,-15.06346,,-0.791940081,-15.79631803
1126000000,-6.7112098,,-1.2442431,,-1.5960727,,-15.042419,,-0.793512232,-15.76894728
1127000000,-6.7320194,,-1.2464514,,-1.5719352,,-15.044503,,-0.795091209,-15.7416146
1128000000,-6.7077885,,-1.2500079,,-1.5828246,,-15.040432,,-0.796676987,-15.71432013
1129000000,-6.7484145,,-1.2513001,,-1.5857519,,-15.015381,,-0.79826954,-15.68706401
1130000000,-6.7432308,,-1.2411209,,-1.5495657,,-15.030469,,-0.799868843,-15.65984639
1131000000,-6.7978177,,-1.2829504,,-1.5928679,,-15.058935,,-0.801474869,-15.63266739
1132000000,-6.7889585,,-1.274913,,-1.5906831,,-15.019586,,-0.803087591,-15.60552718
1133000000,-6.7728157,,-1.2535017,,-1.5664713,,-15.005802,,-0.804706984,-15.57842589
1134000000,-6.7988682,,-1.2199112,,-1.5575134,,-14.950699,,-0.806333019,-15.55136366
1135000000,-6.8236318,,-1.2540991,,-1.5677807,,-14.977475,,-0.807965669,-15.52434064
1136000000,-6.8565068,,-1.2380891,,-1.5544626,,-14.959341,,-0.809604908,-15.49735697
1137000000,-6.8559499,,-1.255886,,-1.544736,,-14.929033,,-0.811250705,-15.47041279
1138000000,-6.8682098,,-1.2649624,,-1.5448775,,-14.903901,,-0.812903034,-15.44350825
1139000000,-6.8728771,,-1.2498628,,-1.5326358,,-14.893998,,-0.814561866,-15.4166435
1140000000,-6.9118614,,-1.2767937,,-1.5304754,,-14.874721,,-0.816227172,-15.38981867
1141000000,-6.8952885,,-1.2464705,,-1.5065229,,-14.890275,,-0.817898922,-15.3630339
1142000000,-6.8829684,,-1.2408327,,-1.5383316,,-14.854868,,-0.819577088,-15.33628936
1143000000,-6.8959465,,-1.2419251,,-1.4988397,,-14.86254,,-0.821261639,-15.30958517
1144000000,-6.9612365,,-1.2546374,,-1.5237174,,-14.846143,,-0.822952546,-15.28292148
1145000000,-6.9543672,,-1.243942,,-1.5232497,,-14.851933,,-0.824649778,-15.25629844
1146000000,-6.974113,,-1.242072,,-1.5326672,,-14.829827,,-0.826353304,-15.22971619
1147000000,-6.9783683,,-1.2620659,,-1.5228435,,-14.832691,,-0.828063094,-15.20317488
