"Freq [GHz]","S(1,1) []"
1.329,-0.992268015655572 + 0.0793965618267516i
1.33,-0.992232399699536 + 0.0798456212557309i
1.331,-0.992196576743042 + 0.0802944675450775i
1.332,-0.992160547051642 + 0.0807431013268788i
1.333,-0.992124310889378 + 0.0811915232319992i
1.334,-0.992087868518786 + 0.0816397338900781i
1.335,-0.992051220200905 + 0.0820877339295417i
1.336,-0.992014366195274 + 0.0825355239776013i
1.337,-0.991977306759945 + 0.0829831046602612i
1.338,-0.991940042151482 + 0.0834304766023262i
1.339,-0.991902572624966 + 0.0838776404273973i
1.34,-0.991864898434003 + 0.0843245967578897i
1.341,-0.991827019830723 + 0.084771346215026i
1.342,-0.991788937065789 + 0.0852178894188482i
1.343,-0.991750650388399 + 0.0856642269882185i
1.344,-0.991712160046292 + 0.0861103595408269i
1.345,-0.99167346628575 + 0.0865562876931925i
1.346,-0.991634569351605 + 0.0870020120606713i
1.347,-0.991595469487239 + 0.087447533257459i
1.348,-0.991556166934594 + 0.0878928518966011i
1.349,-0.991516661934173 + 0.0883379685899876i
1.35,-0.991476954725042 + 0.0887828839483641i
1.351,-0.991437045544838 + 0.0892275985813371i
1.352,-0.991396934629773 + 0.0896721130973796i
1.353,-0.991356622214636 + 0.0901164281038269i
1.354,-0.991316108532796 + 0.0905605442068914i
1.355,-0.99127539381621 + 0.0910044620116645i
1.356,-0.991234478295424 + 0.0914481821221167i
1.357,-0.991193362199578 + 0.0918917051411095i
1.358,-0.99115204575641 + 0.0923350316703923i
1.359,-0.991110529192261 + 0.092778162310613i
1.36,-0.991068812732075 + 0.0932210976613154i
1.361,-0.991026896599408 + 0.0936638383209595i
1.362,-0.990984781016427 + 0.0941063848869033i
1.363,-0.99094246620392 + 0.0945487379554236i
1.364,-0.990899952381291 + 0.0949908981217193i
1.365,-0.990857239766575 + 0.0954328659799056i
1.366,-0.990814328576429 + 0.0958746421230334i
1.367,-0.990771219026148 + 0.0963162271430764i
1.368,-0.990727911329661 + 0.0967576216309524i
1.369,-0.990684405699534 + 0.0971988261765191i
1.37,-0.990640702346982 + 0.0976398413685744i
1.371,-0.990596801481862 + 0.0980806677948732i
1.372,-0.990552703312685 + 0.0985213060421187i
1.373,-0.990508408046613 + 0.0989617566959748i
1.374,-0.99046391588947 + 0.0994020203410694i
1.375,-0.990419227045737 + 0.0998420975609951i
1.376,-0.990374341718564 + 0.10028198893832i
1.377,-0.990329260109764 + 0.100721695054583i
1.378,-0.990283982419829 + 0.101161216490306i
1.379,-0.99023850884792 + 0.101600553824997i
1.38,-0.99019283959188 + 0.10203970763715i
1.381,-0.990146974848231 + 0.102478678504252i
1.382,-0.990100914812186 + 0.10291746700279i
1.383,-0.990054659677641 + 0.103356073708247i
1.384,-0.990008209637186 + 0.10379449919512i
1.385,-0.989961564882108 + 0.104232744036909i
1.386,-0.989914725602392 + 0.104670808806131i
1.387,-0.989867691986723 + 0.105108694074321i
1.388,-0.989820464222494 + 0.105546400412036i
1.389,-0.989773042495805 + 0.105983928388862i
1.39,-0.989725426991466 + 0.106421278573413i
1.391,-0.989677617893006 + 0.10685845153334i
1.392,-0.989629615382667 + 0.107295447835331i
1.393,-0.989581419641415 + 0.107732268045121i
1.394,-0.98953303084894 + 0.108168912727489i
1.395,-0.989484449183659 + 0.108605382446267i
1.396,-0.989435674822717 + 0.109041677764345i
1.397,-0.989386707941996 + 0.109477799243666i
1.398,-0.989337548716111 + 0.109913747445243i
1.399,-0.989288197318418 + 0.110349522929157i
1.4,-0.989238653921016 + 0.110785126254557i
1.401,-0.989188918694748 + 0.111220557979668i
1.402,-0.989138991809203 + 0.1116558186618i
1.403,-0.989088873432725 + 0.112090908857343i
1.404,-0.98903856373241 + 0.112525829121773i
1.405,-0.98898806287411 + 0.112960580009666i
1.406,-0.988937371022438 + 0.113395162074684i
1.407,-0.988886488340769 + 0.113829575869596i
1.408,-0.988835414991242 + 0.114263821946273i
1.409,-0.988784151134765 + 0.114697900855694i
1.41,-0.988732696931018 + 0.115131813147946i
1.411,-0.988681052538452 + 0.115565559372238i
1.412,-0.988629218114295 + 0.115999140076895i
1.413,-0.988577193814554 + 0.116432555809366i
1.414,-0.988524979794018 + 0.116865807116228i
1.415,-0.98847257620626 + 0.117298894543188i
1.416,-0.988419983203639 + 0.117731818635092i
1.417,-0.988367200937303 + 0.11816457993592i
1.418,-0.988314229557195 + 0.118597178988801i
1.419,-0.988261069212049 + 0.119029616336001i
1.42,-0.988207720049399 + 0.119461892518948i
1.421,-0.988154182215574 + 0.119894008078217i
1.422,-0.988100455855712 + 0.120325963553545i
1.423,-0.98804654111375 + 0.12075775948383i
1.424,-0.987992438132434 + 0.121189396407134i
1.425,-0.98793814705332 + 0.121620874860692i
1.426,-0.987883668016774 + 0.12205219538091i
1.427,-0.987829001161981 + 0.122483358503372i
1.428,-0.987774146626937 + 0.122914364762843i
1.429,-0.98771910454846 + 0.123345214693273i
1.43,-0.98766387506219 + 0.123775908827801i
1.431,-0.98760845830259 + 0.124206447698756i
1.432,-0.987552854402948 + 0.124636831837666i
1.433,-0.987497063495383 + 0.125067061775257i
1.434,-0.987441085710842 + 0.125497138041458i
1.435,-0.987384921179107 + 0.125927061165407i
1.436,-0.987328570028793 + 0.126356831675448i
1.437,-0.987272032387354 + 0.126786450099146i
1.438,-0.987215308381085 + 0.12721591696328i
1.439,-0.987158398135118 + 0.127645232793851i
1.44,-0.987101301773434 + 0.128074398116085i
1.441,-0.987044019418856 + 0.128503413454441i
1.442,-0.986986551193058 + 0.128932279332605i
1.443,-0.986928897216564 + 0.129360996273503i
1.444,-0.986871057608748 + 0.129789564799299i
1.445,-0.986813032487841 + 0.130217985431404i
1.446,-0.986754821970928 + 0.130646258690472i
1.447,-0.986696426173956 + 0.131074385096405i
1.448,-0.986637845211729 + 0.131502365168369i
1.449,-0.986579079197914 + 0.131930199424781i
1.45,-0.986520128245044 + 0.132357888383319i
1.451,-0.986460992464518 + 0.132785432560931i
1.452,-0.986401671966602 + 0.133212832473827i
1.453,-0.986342166860434 + 0.133640088637491i
1.454,-0.986282477254023 + 0.134067201566687i
1.455,-0.986222603254251 + 0.134494171775455i
1.456,-0.986162544966879 + 0.134920999777113i
1.457,-0.986102302496543 + 0.135347686084273i
1.458,-0.986041875946759 + 0.135774231208832i
1.459,-0.985981265419924 + 0.136200635661983i
1.46,-0.985920471017321 + 0.136626899954209i
1.461,-0.985859492839114 + 0.137053024595303i
1.462,-0.985798330984356 + 0.137479010094354i
1.463,-0.985736985550987 + 0.137904856959761i
1.464,-0.98567545663584 + 0.138330565699229i
1.465,-0.985613744334636 + 0.138756136819785i
1.466,-0.985551848741991 + 0.139181570827766i
1.467,-0.985489769951417 + 0.139606868228835i
1.468,-0.985427508055322 + 0.140032029527973i
1.469,-0.985365063145014 + 0.140457055229493i
1.47,-0.985302435310697 + 0.14088194583704i
1.471,-0.985239624641482 + 0.141306701853589i
1.472,-0.98517663122538 + 0.141731323781454i
1.473,-0.985113455149306 + 0.142155812122293i
1.474,-0.985050096499085 + 0.142580167377107i
1.475,-0.984986555359446 + 0.143004390046244i
1.476,-0.984922831814029 + 0.1434284806294i
1.477,-0.984858925945386 + 0.143852439625633i
1.478,-0.984794837834981 + 0.144276267533353i
1.479,-0.984730567563188 + 0.144699964850334i
1.48,-0.984666115209302 + 0.145123532073713i
1.481,-0.984601480851532 + 0.145546969699994i
1.482,-0.984536664567004 + 0.145970278225056i
1.483,-0.984471666431765 + 0.146393458144148i
1.484,-0.984406486520782 + 0.146816509951899i
1.485,-0.984341124907946 + 0.14723943414232i
1.486,-0.98427558166607 + 0.147662231208806i
1.487,-0.984209856866892 + 0.148084901644136i
1.488,-0.984143950581075 + 0.148507445940484i
1.489,-0.984077862878213 + 0.148929864589417i
1.49,-0.984011593826826 + 0.149352158081901i
1.491,-0.983945143494364 + 0.149774326908299i
1.492,-0.983878511947209 + 0.150196371558379i
1.493,-0.983811699250676 + 0.150618292521321i
1.494,-0.983744705469014 + 0.151040090285708i
1.495,-0.983677530665404 + 0.151461765339541i
1.496,-0.983610174901967 + 0.151883318170239i
1.497,-0.983542638239758 + 0.152304749264638i
1.498,-0.983474920738772 + 0.152726059108996i
1.499,-0.983407022457944 + 0.153147248189003i
1.5,-0.983338943455149 + 0.153568316989775i
1.501,-0.983270683787202 + 0.15398926599586i
1.502,-0.983202243509863 + 0.154410095691244i
1.503,-0.983133622677837 + 0.154830806559352i
1.504,-0.98306482134477 + 0.155251399083052i
1.505,-0.982995839563257 + 0.155671873744654i
1.506,-0.982926677384838 + 0.156092231025923i
1.507,-0.982857334860004 + 0.156512471408069i
1.508,-0.982787812038192 + 0.156932595371764i
1.509,-0.982718108967789 + 0.15735260339713i
1.51,-0.982648225696135 + 0.157772495963758i
1.511,-0.982578162269519 + 0.158192273550698i
1.512,-0.982507918733185 + 0.158611936636471i
1.513,-0.982437495131331 + 0.159031485699067i
1.514,-0.982366891507106 + 0.15945092121595i
1.515,-0.982296107902618 + 0.159870243664062i
1.516,-0.982225144358929 + 0.160289453519823i
1.517,-0.982154000916061 + 0.160708551259138i
1.518,-0.982082677612989 + 0.161127537357397i
1.519,-0.982011174487651 + 0.161546412289479i
1.52,-0.981939491576943 + 0.161965176529758i
1.521,-0.981867628916722 + 0.162383830552097i
1.522,-0.981795586541803 + 0.162802374829866i
1.523,-0.981723364485968 + 0.163220809835932i
1.524,-0.981650962781955 + 0.163639136042666i
1.525,-0.981578381461473 + 0.164057353921946i
1.526,-0.981505620555187 + 0.164475463945167i
1.527,-0.981432680092733 + 0.164893466583229i
1.528,-0.981359560102708 + 0.165311362306554i
1.529,-0.981286260612676 + 0.165729151585083i
1.53,-0.981212781649169 + 0.166146834888282i
1.531,-0.981139123237686 + 0.166564412685138i
1.532,-0.981065285402691 + 0.166981885444169i
1.533,-0.98099126816762 + 0.167399253633426i
