Freq [GHz],S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB)
2.943,-13.12231926,-3.730639538,-14.94747219,-3.707665727,-17.42279942,-14.89908288
2.944,-13.12076004,-3.730835151,-14.94797066,-3.70782998,-17.43109191,-14.90037914
2.945,-13.11921134,-3.731030138,-14.94847545,-3.707993762,-17.43939038,-14.90168147
2.946,-13.11767316,-3.731224498,-14.94898657,-3.708157072,-17.44769485,-14.90298986
2.947,-13.11614552,-3.731418233,-14.94950401,-3.708319912,-17.45600532,-14.90430431
2.948,-13.11462841,-3.73161134,-14.95002777,-3.70848228,-17.46432181,-14.90562482
2.949,-13.11312184,-3.73180382,-14.95055786,-3.708644176,-17.47264432,-14.90695138
2.95,-13.1116258,-3.731995673,-14.95109428,-3.7088056,-17.48097288,-14.90828398
2.951,-13.11014032,-3.732186898,-14.95163702,-3.708966551,-17.48930748,-14.90962263
2.952,-13.10866539,-3.732377495,-14.95218608,-3.709127029,-17.49764814,-14.91096733
2.953,-13.10720101,-3.732567464,-14.95274148,-3.709287034,-17.50599488,-14.91231806
2.954,-13.10574718,-3.732756805,-14.9533032,-3.709446566,-17.51434769,-14.91367482
2.955,-13.10430392,-3.732945516,-14.95387125,-3.709605624,-17.5227066,-14.91503761
2.956,-13.10287122,-3.733133598,-14.95444563,-3.709764207,-17.53107161,-14.91640644
2.957,-13.10144909,-3.733321051,-14.95502634,-3.709922317,-17.53944274,-14.91778128
2.958,-13.10003754,-3.733507875,-14.95561338,-3.710079952,-17.54781999,-14.91916214
2.959,-13.09863656,-3.733694068,-14.95620675,-3.710237112,-17.55620339,-14.92054902
2.96,-13.09724616,-3.733879632,-14.95680644,-3.710393797,-17.56459293,-14.92194191
2.961,-13.09586634,-3.734064565,-14.95741247,-3.710550007,-17.57298863,-14.92334081
2.962,-13.09449711,-3.734248868,-14.95802483,-3.710705741,-17.58139051,-14.92474571
2.963,-13.09313847,-3.73443254,-14.95864352,-3.710860999,-17.58979856,-14.92615661
2.964,-13.09179043,-3.734615581,-14.95926854,-3.71101578,-17.59821282,-14.9275735
2.965,-13.09045298,-3.734797991,-14.95989988,-3.711170086,-17.60663328,-14.92899638
2.966,-13.08912614,-3.73497977,-14.96053756,-3.711323915,-17.61505995,-14.93042525
2.967,-13.0878099,-3.735160917,-14.96118157,-3.711477267,-17.62349286,-14.9318601
2.968,-13.08650427,-3.735341433,-14.96183191,-3.711630141,-17.631932,-14.93330093
2.969,-13.08520925,-3.735521317,-14.96248858,-3.711782539,-17.6403774,-14.93474773
2.97,-13.08392485,-3.73570057,-14.96315158,-3.711934458,-17.64882907,-14.9362005
2.971,-13.08265107,-3.73587919,-14.96382091,-3.7120859,-17.65728701,-14.93765924
2.972,-13.0813879,-3.736057178,-14.96449657,-3.712236864,-17.66575123,-14.93912393
2.973,-13.08013537,-3.736234534,-14.96517855,-3.71238735,-17.67422176,-14.94059458
2.974,-13.07889347,-3.736411258,-14.96586687,-3.712537357,-17.6826986,-14.94207118
2.975,-13.07766219,-3.736587349,-14.96656151,-3.712686886,-17.69118176,-14.94355372
2.976,-13.07644156,-3.736762807,-14.96726248,-3.712835936,-17.69967126,-14.9450422
2.977,-13.07523156,-3.736937634,-14.96796978,-3.712984507,-17.7081671,-14.94653662
2.978,-13.07403221,-3.737111827,-14.9686834,-3.713132598,-17.71666931,-14.94803697
2.979,-13.0728435,-3.737285387,-14.96940335,-3.71328021,-17.72517788,-14.94954324
2.98,-13.07166544,-3.737458315,-14.97012963,-3.713427342,-17.73369284,-14.95105543
