Freq [GHz],S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
2.108,2.558073258,53.00249022,173.7067388,53.00472982,-40.80275063,173.6272947
2.109,2.530156834,52.85427429,173.5862526,52.85654074,-40.98325567,173.5077835
2.11,2.502208871,52.70605805,173.4657219,52.70835107,-41.16375854,173.3882251
2.111,2.474228605,52.55784151,173.3451468,52.56016081,-41.34425925,173.2686195
2.112,2.446215269,52.40962469,173.2245271,52.41196997,-41.52475778,173.1489666
2.113,2.418168099,52.26140758,173.103863,52.26377856,-41.70525413,173.0292664
2.114,2.390086331,52.1131902,172.9831545,52.11558659,-41.88574829,172.909519
2.115,2.361969201,51.96497256,172.8624015,51.96739407,-42.06624027,172.7897244
2.116,2.333815944,51.81675467,172.7416041,51.81920101,-42.24673005,172.6698826
2.117,2.305625797,51.66853654,172.6207622,51.67100741,-42.42721762,172.5499935
2.118,2.277397998,51.52031817,172.499876,51.52281329,-42.60770299,172.4300572
2.119,2.249131784,51.37209957,172.3789454,51.37461865,-42.78818615,172.3100736
2.12,2.220826394,51.22388075,172.2579704,51.2264235,-42.9686671,172.1900429
2.121,2.192481066,51.07566173,172.136951,51.07822786,-43.14914582,172.069965
2.122,2.164095041,50.92744251,172.0158873,50.93003173,-43.32962232,171.9498399
2.123,2.135667557,50.7792231,171.8947793,50.78183511,-43.51009658,171.8296676
2.124,2.107197857,50.6310035,171.773627,50.63363803,-43.69056861,171.7094481
2.125,2.078685182,50.48278374,171.6524303,50.48544048,-43.87103839,171.5891815
2.126,2.050128773,50.33456381,171.5311894,50.33724248,-44.05150593,171.4688677
2.127,2.021527875,50.18634373,171.4099043,50.18904403,-44.23197121,171.3485068
2.128,1.992881732,50.0381235,171.2885749,50.04084515,-44.41243424,171.2280987
2.129,1.964189588,49.88990314,171.1672013,49.89264585,-44.59289501,171.1076436
2.13,1.935450689,49.74168264,171.0457835,49.74444612,-44.7733535,170.9871413
2.131,1.906664282,49.59346203,170.9243215,49.59624599,-44.95380973,170.866592
2.132,1.877829616,49.44524132,170.8028154,49.44804545,-45.13426368,170.7459956
2.133,1.848945938,49.2970205,170.6812651,49.29984453,-45.31471535,170.6253521
2.134,1.820012499,49.14879959,170.5596707,49.15164322,-45.49516473,170.5046616
2.135,1.79102855,49.0005786,170.4380323,49.00344154,-45.67561181,170.3839241
2.136,1.761993344,48.85235753,170.3163497,48.85523949,-45.8560566,170.2631396
2.137,1.732906132,48.7041364,170.1946232,48.70703709,-46.03649909,170.142308
2.138,1.703766171,48.55591522,170.0728526,48.55883434,-46.21693927,170.0214295
2.139,1.674572716,48.40769398,169.951038,48.41063126,-46.39737714,169.9005041
2.14,1.645325024,48.25947272,169.8291795,48.26242785,-46.57781269,169.7795317
2.141,1.616022353,48.11125142,169.707277,48.11422412,-46.75824592,169.6585124
2.142,1.586663963,47.9630301,169.5853306,47.96602007,-46.93867682,169.5374462
2.143,1.557249116,47.81480878,169.4633404,47.81781573,-47.11910539,169.4163332
2.144,1.527777074,47.66658745,169.3413063,47.66961109,-47.29953162,169.2951732
2.145,1.498247101,47.51836613,169.2192283,47.52140617,-47.47995551,169.1739665
2.146,1.468658462,47.37014483,169.0971065,47.37320098,-47.66037706,169.0527129
2.147,1.439010425,47.22192355,168.974941,47.22499552,-47.84079626,168.9314126
2.148,1.409302258,47.07370231,168.8527317,47.0767898,-48.02121309,168.8100655
2.149,1.379533232,46.92548111,168.7304788,46.92858383,-48.20162757,168.6886716
2.15,1.349702617,46.77725996,168.6081821,46.78037763,-48.38203968,168.5672311
2.151,1.319809689,46.62903887,168.4858418,46.63217119,-48.56244943,168.4457438
