frequency, S11, S12, S21, S22
2371917056.0000000000, -5.7902106472, -1.9136708041, -1.9136708041, -5.7902095837
2372916992.0000000000, -5.7689713221, -1.9234705407, -1.9234719857, -5.7689649545
2373916928.0000000000, -5.7477558320, -1.9333109867, -1.9333102635, -5.7477537139
2374916864.0000000000, -5.7266021647, -1.9431973200, -1.9431937005, -5.7265989943
2375916800.0000000000, -5.7054741689, -1.9531130013, -1.9531137259, -5.7054783870
2376916736.0000000000, -5.6843896658, -1.9630762415, -1.9630747909, -5.6843938751
2377916672.0000000000, -5.6633694771, -1.9730828168, -1.9730878992, -5.6633589760
2378916608.0000000000, -5.6423650869, -1.9831335741, -1.9831343009, -5.6423713743
2379916544.0000000000, -5.6214235456, -1.9932191790, -1.9932206340, -5.6214183170
2380916480.0000000000, -5.6005142885, -2.0033491940, -2.0033484658, -5.6005153321
2381916416.0000000000, -5.5796538668, -2.0135252021, -2.0135252021, -5.5796517841
2382916352.0000000000, -5.5588410270, -2.0237378465, -2.0237422250, -5.5588347918
2383916288.0000000000, -5.5380641554, -2.0339959950, -2.0339945340, -5.5380620813
2384916224.0000000000, -5.5173303622, -2.0442975832, -2.0442946582, -5.5173262226
2385916160.0000000000, -5.4966425673, -2.0546354146, -2.0546324866, -5.4966353380
2386916096.0000000000, -5.4759882069, -2.0650161856, -2.0650154529, -5.4759882069
2387916032.0000000000, -5.4553928749, -2.0754400189, -2.0754400189, -5.4553867039
2388915968.0000000000, -5.4348378197, -2.0859033666, -2.0859041009, -5.4348347406
2389915904.0000000000, -5.4143249289, -2.0964232480, -2.0964217779, -5.4143218561
2390915840.0000000000, -5.3938540299, -2.1069762830, -2.1069726038, -5.3938540299
2391915776.0000000000, -5.3734218907, -2.1175699314, -2.1175691947, -5.3734269912
2392915712.0000000000, -5.3530395578, -2.1282057852, -2.1282050478, -5.3530436299
2393915648.0000000000, -5.3327027483, -2.1388891346, -2.1388898728, -5.3327037642
2394915584.0000000000, -5.3124031578, -2.1496068182, -2.1496075572, -5.3124072134
2395915520.0000000000, -5.2921537978, -2.1603789083, -2.1603789083, -5.2921527859
2396915456.0000000000, -5.2719534370, -2.1711974221, -2.1711922380, -5.2719584861
2397915392.0000000000, -5.2517837218, -2.1820432217, -2.1820424803, -5.2517927917
2398915328.0000000000, -5.2316767328, -2.1929408756, -2.1929431022, -5.2316737156
