Freq,Simulated,Measured
1.196,-6.944915762,-7.6026015
1.197,-6.957753089,-7.6119986
1.198,-6.970608699,-7.6050887
1.199,-6.983482439,-7.6285138
1.2,-6.996374161,-7.6350212
1.201,-7.009283724,-7.6929212
1.202,-7.022210995,-7.6650481
1.203,-7.035155847,-7.656179
1.204,-7.048118157,-7.7012277
1.205,-7.06109781,-7.7245965
1.206,-7.074094694,-7.7244787
1.207,-7.087108704,-7.7317929
1.208,-7.100139736,-7.7671247
1.209,-7.113187695,-7.7700906
1.21,-7.126252486,-7.8017931
1.211,-7.139334019,-7.7718973
1.212,-7.152432207,-7.8178339
1.213,-7.165546969,-7.8179979
1.214,-7.178678223,-7.861999
1.215,-7.191825893,-7.8867979
1.216,-7.204989904,-7.8706899
1.217,-7.218170185,-7.8830924
1.218,-7.231366667,-7.867979
1.219,-7.244579282,-7.8992634
1.22,-7.257807967,-7.9287667
1.221,-7.271052659,-7.9441395
1.222,-7.284313297,-7.9347525
1.223,-7.297589822,-7.9536648
1.224,-7.310882177,-7.9643726
1.225,-7.324190308,-7.9772477
1.226,-7.337514161,-8.0135975
1.227,-7.350853683,-8.00776
1.228,-7.364208824,-8.0321054
1.229,-7.377579535,-8.0472755
1.23,-7.390965767,-8.0399723
1.231,-7.404367474,-8.0651703
1.232,-7.417784609,-8.0897713
1.233,-7.431217129,-8.1150808
1.234,-7.44466499,-8.1031237
1.235,-7.45812815,-8.125042
1.236,-7.471606566,-8.1608601
1.237,-7.485100198,-8.1272249
1.238,-7.498609007,-8.1542892
1.239,-7.512132954,-8.2045908
1.24,-7.525671999,-8.1789198
1.241,-7.539226107,-8.2409134
1.242,-7.552795239,-8.2133665
1.243,-7.566379361,-8.2622118
1.244,-7.579978436,-8.2683716
1.245,-7.59359243,-8.261034
1.246,-7.607221308,-8.2766409
1.247,-7.620865038,-8.2981539
1.248,-7.634523585,-8.3268452
1.249,-7.648196916,-8.3183632
1.25,-7.661885001,-8.3623505
1.251,-7.675587807,-8.3398724
1.252,-7.689305303,-8.3624496
1.253,-7.703037457,-8.392643
1.254,-7.716784241,-8.426137
1.255,-7.730545622,-8.418479
1.256,-7.744321573,-8.417284
1.257,-7.758112062,-8.456111
1.258,-7.771917062,-8.4425201
1.259,-7.785736543,-8.4741201
1.26,-7.799570477,-8.4781818
1.261,-7.813418836,-8.5110188
1.262,-7.827281592,-8.543602
1.263,-7.841158717,-8.5092487
