"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1.083,-14.0251058170857,-3.41426243948655,-17.1682296815342,-3.44658857180653,-9.94704300887942,-16.9172446627925
1.084,-14.0305593540348,-3.41422286989347,-17.1725209610589,-3.44661771910302,-9.95380755414981,-16.9208137168098
1.085,-14.0360113326962,-3.41418361743858,-17.1768252746049,-3.44664655963461,-9.96057393010746,-16.9243925407903
1.086,-14.0414617537361,-3.41414468141904,-17.1811427759563,-3.44667509529371,-9.96734214568852,-16.9279812865908
1.087,-14.0469106178156,-3.41410606113238,-17.1854736199245,-3.44670332797106,-9.97411220985812,-16.9315801073273
1.088,-14.0523579255903,-3.41406775587655,-17.1898179623454,-3.4467312595557,-9.98088413161028,-16.935189157377
1.089,-14.0578036777102,-3.41402976494993,-17.1941759600762,-3.44675889193502,-9.98765791996788,-16.9388085923803
1.09,-14.0632478748192,-3.41399208765136,-17.198547770992,-3.44678622699474,-9.99443358398267,-16.9424385692421
1.091,-14.0686905175554,-3.41395472328018,-17.202933553982,-3.44681326661889,-10.0012111327351,-16.9460792461335
1.092,-14.0741316065505,-3.41391767113622,-17.2073334689455,-3.44684001268982,-10.0079905753346,-16.9497307824926
1.093,-14.0795711424298,-3.41388093051987,-17.2117476767873,-3.44686646708821,-10.0147719209189,-16.9533933390257
1.094,-14.0850091258119,-3.41384450073205,-17.2161763394128,-3.44689263169305,-10.0215551786548,-16.9570670777074
1.095,-14.0904455573085,-3.41380838107428,-17.2206196197232,-3.44691850838164,-10.0283403577374,-16.9607521617814
1.096,-14.0958804375243,-3.41377257084871,-17.2250776816098,-3.44694409902963,-10.0351274673905,-16.96444875576
1.097,-14.1013137670568,-3.4137370693581,-17.2295506899483,-3.44696940551094,-10.0419165168666,-16.968157025424
1.098,-14.1067455464957,-3.41370187590586,-17.2340388105924,-3.44699442969784,-10.0487075154463,-16.9718771378219
1.099,-14.1121757764236,-3.41366698979612,-17.2385422103674,-3.44701917346088,-10.055500472439,-16.9756092612692
1.1,-14.1176044574146,-3.41363241033368,-17.2430610570629,-3.44704363866894,-10.0622953971822,-16.979353565347
1.101,-14.1230315900353,-3.4135981368241,-17.2475955194256,-3.44706782718921,-10.0690922990422,-16.9831102209
1.102,-14.1284571748435,-3.41356416857368,-17.2521457671518,-3.44709174088716,-10.0758911874131,-16.986879400035
1.103,-14.1338812123889,-3.41353050488951,-17.2567119708785,-3.44711538162659,-10.0826920717177,-16.9906612761183
1.104,-14.1393037032122,-3.41349714507947,-17.2612943021752,-3.4471387512696,-10.0894949614068,-16.9944560237729
1.105,-14.1447246478456,-3.41346408845228,-17.2658929335347,-3.44716185167658,-10.0962998659595,-16.9982638188756
1.106,-14.1501440468118,-3.41343133431752,-17.2705080383635,-3.44718468470623,-10.103106794883,-17.0020848385533
1.107,-14.1555619006244,-3.41339888198563,-17.2751397909719,-3.44720725221554,-10.1099157577127,-17.0059192611791
1.108,-14.1609782097873,-3.41336673076797,-17.2797883665634,-3.44722955605979,-10.116726764012,-17.0097672663679
1.109,-14.1663929747949,-3.4133348799768,-17.2844539412236,-3.44725159809258,-10.1235398233724,-17.0136290349719
1.11,-14.1718061961316,-3.41330332892535,-17.2891366919091,-3.44727338016576,-10.1303549454133,-17.017504749075
1.111,-14.1772178742715,-3.4132720769278,-17.2938367964353,-3.44729490412951,-10.1371721397823,-17.0213945919874
1.112,-14.1826280096784,-3.41324112329935,-17.2985544334639,-3.44731617183228,-10.1439914161546,-17.0252987482395
1.113,-14.1880366028057,-3.41321046735619,-17.3032897824901,-3.44733718512081,-10.1508127842335,-17.0292174035751
1.114,-14.1934436540958,-3.41318010841558,-17.3080430238288,-3.44735794584011,-10.1576362537501,-17.0331507449444
1.115,-14.1988491639802,-3.41315004579582,-17.3128143386006,-3.44737845583349,-10.1644618344632,-17.0370989604965
1.116,-14.2042531328793,-3.41312027881632,-17.3176039087174,-3.44739871694254,-10.1712895361597,-17.041062239571
1.117,-14.2096555612018,-3.41309080679759,-17.3224119168668,-3.44741873100711,-10.1781193686537,-17.0450407726896
1.118,-14.215056449345,-3.41306162906126,-17.3272385464965,-3.44743849986535,-10.1849513417875,-17.0490347515471
1.119,-14.2204557976943,-3.41303274493016,-17.332083981798,-3.44745802535366,-10.1917854654308,-17.053044369001
1.12,-14.225853606623,-3.41300415372825,-17.3369484076895,-3.44747730930674,-10.1986217494808,-17.0570698190619
1.121,-14.2312498764922,-3.41297585478073,-17.3418320097981,-3.44749635355753,-10.2054602038626,-17.0611112968823
1.122,-14.2366446076502,-3.41294784741401,-17.346734974442,-3.44751515993726,-10.2123008385287,-17.0651689987451
1.123,-14.2420378004331,-3.41292013095575,-17.3516574886112,-3.4475337302754,-10.219143663459,-17.0692431220515
1.124,-14.2474294551636,-3.41289270473488,-17.356599739948,-3.44755206639973,-10.2259886886609,-17.0733338653083
1.125,-14.2528195721515,-3.41286556808164,-17.3615619167271,-3.44757017013623,-10.2328359241694,-17.0774414281145
1.126,-14.2582081516932,-3.41283872032755,-17.3665442078346,-3.44758804330918,-10.2396853800467,-17.0815660111476
1.127,-14.2635951940714,-3.41281216080551,-17.3715468027459,-3.44760568774111,-10.2465370663825,-17.0857078161482
1.128,-14.268980699555,-3.41278588884975,-17.3765698915044,-3.44762310525279,-10.2533909932938,-17.0898670459056
1.129,-14.274364668399,-3.41275990379589,-17.3816136646975,-3.44764029766326,-10.2602471709247,-17.0940439042406
1.13,-14.279747100844,-3.41273420498098,-17.3866783134334,-3.44765726678979,-10.2671056094469,-17.0982385959897
1.131,-14.2851279971163,-3.41270879174346,-17.3917640293167,-3.44767401444792,-10.273966319059,-17.1024513269871
1.132,-14.2905073574272,-3.41268366342325,-17.3968710044229,-3.4476905424514,-10.2808293099869,-17.1066823040464
1.133,-14.2958851819734,-3.41265881936171,-17.4019994312723,-3.44770685261225,-10.2876945924838,-17.1109317349418
1.134,-14.3012614709362,-3.41263425890171,-17.4071495028036,-3.44772294674074,-10.2945621768297,-17.1151998283878
1.135,-14.3066362244817,-3.41260998138765,-17.412321412346,-3.44773882664534,-10.301432073332,-17.1194867940194
1.136,-14.3120094427602,-3.41258598616545,-17.4175153535909,-3.44775449413277,-10.3083042923249,-17.1237928423697
1.137,-14.3173811259063,-3.41256227258256,-17.4227315205626,-3.447769951008,-10.3151788441697,-17.1281181848486
1.138,-14.3227512740386,-3.41253883998806,-17.4279701075884,-3.44778519907421,-10.3220557392547,-17.1324630337188
1.139,-14.3281198872593,-3.41251568773259,-17.4332313092675,-3.4478002401328,-10.3289349879951,-17.1368276020724
1.14,-14.3334869656541,-3.41249281516844,-17.4385153204394,-3.44781507598341,-10.3358166008331,-17.1412121038059
1.141,-14.338852509292,-3.41247022164953,-17.4438223361511,-3.4478297084239,-10.3427005882377,-17.1456167535944
1.142,-14.3442165182249,-3.41244790653142,-17.4491525516235,-3.44784413925035,-10.3495869607047,-17.1500417668648
1.143,-14.3495789924877,-3.41242586917141,-17.4545061622172,-3.44785837025703,-10.3564757287568,-17.1544873597685
1.144,-14.3549399320977,-3.41240410892844,-17.459883363397,-3.44787240323646,-10.3633669029435,-17.1589537491525
1.145,-14.3602993370545,-3.41238262516324,-17.4652843506954,-3.44788623997935,-10.3702604938408,-17.16344115253
1.146,-14.3656572073399,-3.41236141723824,-17.4707093196757,-3.44789988227461,-10.3771565120517,-17.16794978805
1.147,-14.3710135429175,-3.41234048451764,-17.4761584658934,-3.44791333190938,-10.3840549682058,-17.1724798744654
1.148,-14.3763683437326,-3.41231982636747,-17.4816319848575,-3.44792659066898,-10.3909558729593,-17.1770316311011
1.149,-14.3817216097118,-3.41229944215551,-17.4871300719899,-3.44793966033694,-10.3978592369951,-17.1816052778194
1.15,-14.3870733407628,-3.41227933125142,-17.4926529225843,-3.44795254269498,-10.4047650710225,-17.1862010349863
1.151,-14.3924235367744,-3.41225949302668,-17.4982007317642,-3.44796523952302,-10.4116733857776,-17.1908191234351
1.152,-14.3977721976159,-3.41223992685464,-17.5037736944398,-3.44797775259915,-10.4185841920228,-17.1954597644301
1.153,-14.4031193231372,-3.41222063211055,-17.5093720052633,-3.44799008369968,-10.4254975005472,-17.2001231796278
1.154,-14.4084649131681,-3.41220160817156,-17.514995858584,-3.44800223459907,-10.4324133221661,-17.2048095910388
1.155,-14.4138089675187,-3.41218285441675,-17.5206454484016,-3.44801420706999,-10.4393316677215,-17.2095192209868
1.156,-14.4191514859786,-3.41216437022717,-17.5263209683193,-3.44802600288327,-10.4462525480817,-17.2142522920675
1.157,-14.424492468317,-3.4121461549858,-17.5320226114948,-3.44803762380793,-10.4531759741413,-17.2190090271057
1.158,-14.4298319142823,-3.41212820807763,-17.5377505705906,-3.44804907161114,-10.4601019568213,-17.2237896491119
1.159,-14.4351698236017,-3.41211052888966,-17.5435050377238,-3.44806034805825,-10.467030507069,-17.2285943812368
