Freq,Simulated,Measured
1.451,-1.288420862,-1.2687043
1.452,-1.288932057,-1.2971293
1.453,-1.289440943,-1.2992803
1.454,-1.289947522,-1.268452
1.455,-1.290451796,-1.2802987
1.456,-1.290953766,-1.2708937
1.457,-1.291453434,-1.3007128
1.458,-1.291950802,-1.2716733
1.459,-1.292445871,-1.2628101
1.46,-1.292938644,-1.2628256
1.461,-1.293429122,-1.2836673
1.462,-1.293917307,-1.2545869
1.463,-1.294403201,-1.2371215
1.464,-1.294886806,-1.2443413
1.465,-1.295368124,-1.2387747
1.466,-1.295847157,-1.2463158
1.467,-1.296323906,-1.2618941
1.468,-1.296798375,-1.2599812
1.469,-1.297270565,-1.2357986
1.47,-1.297740478,-1.2403549
1.471,-1.298208117,-1.2795166
1.472,-1.298673482,-1.2693827
1.473,-1.299136578,-1.2435886
1.474,-1.299597405,-1.2396597
1.475,-1.300055967,-1.2553847
1.476,-1.300512265,-1.2554529
1.477,-1.300966302,-1.2660124
1.478,-1.301418079,-1.2736245
1.479,-1.3018676,-1.259887
1.48,-1.302314867,-1.2580611
1.481,-1.302759882,-1.2664521
1.482,-1.303202648,-1.2788572
1.483,-1.303643166,-1.2776924
1.484,-1.304081441,-1.2834221
1.485,-1.304517473,-1.254568
1.486,-1.304951266,-1.257637
1.487,-1.305382821,-1.2517891
1.488,-1.305812143,-1.2730505
1.489,-1.306239233,-1.2660069
1.49,-1.306664094,-1.257504
1.491,-1.307086728,-1.2803249
1.492,-1.307507139,-1.2857069
1.493,-1.307925328,-1.2442545
1.494,-1.3083413,-1.2575794
1.495,-1.308755055,-1.2892687
1.496,-1.309166599,-1.2508599
1.497,-1.309575932,-1.2410222
1.498,-1.309983058,-1.2843003
1.499,-1.310387979,-1.25257
1.5,-1.3107907,-1.2571524
1.501,-1.311191222,-1.2437813
1.502,-1.311589548,-1.2398305
1.503,-1.311985681,-1.2394831
1.504,-1.312379625,-1.2313575
1.505,-1.312771382,-1.257525
1.506,-1.313160956,-1.2314305
1.507,-1.313548349,-1.2586893
1.508,-1.313933564,-1.2335705
1.509,-1.314316605,-1.2510101
1.51,-1.314697475,-1.2428987
1.511,-1.315076176,-1.2482989
1.512,-1.315452712,-1.236208
1.513,-1.315827086,-1.2526981
1.514,-1.316199301,-1.2277133
1.515,-1.316569361,-1.2293653
1.516,-1.316937268,-1.2616833
1.517,-1.317303026,-1.273641
1.518,-1.317666639,-1.2389282
1.519,-1.318028108,-1.2254547
1.52,-1.318387439,-1.2346625
1.521,-1.318744634,-1.2401026
1.522,-1.319099696,-1.2486956
1.523,-1.319452629,-1.2653786
1.524,-1.319803436,-1.2483468
1.525,-1.320152121,-1.2495438
1.526,-1.320498687,-1.2459121
1.527,-1.320843138,-1.2562587
1.528,-1.321185477,-1.2691312
1.529,-1.321525707,-1.2515669
1.53,-1.321863832,-1.2488463
1.531,-1.322199856,-1.2685293
1.532,-1.322533782,-1.2392902
1.533,-1.322865613,-1.2440065
1.534,-1.323195354,-1.2330172
1.535,-1.323523008,-1.2596267
1.536,-1.323848578,-1.2301086
1.537,-1.324172068,-1.2202675
1.538,-1.324493482,-1.2123723
1.539,-1.324812824,-1.230037
1.54,-1.325130097,-1.2068367
1.541,-1.325445304,-1.221917
1.542,-1.325758451,-1.2506894
1.543,-1.326069539,-1.2427315
1.544,-1.326378574,-1.2241797
1.545,-1.326685559,-1.224757
1.546,-1.326990498,-1.2167668
